DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
KERB_05185,KERB,E5185,ARAUCARIA,PARANA,PR,Brazil,ABUNDANCE,Secondary Forest,-25.588749,-49.347156,Forest fragment,REPAR,Ferns,Polypodiaceae,Campyloneurum,austrobrasilianum,Campyloneurum austrobrasilianum,holoepiphyte,,,,,2000,2002,Abundance,914,1284,20.8999996185303,Ombrophilous Forest,YES,
JABOT_03760,JABOT,226012,PETROPOLIS,RIO DE JANEIRO,RJ,Brazil,,,-22.5,-43.17,Municipality,,Ferns,Polypodiaceae,Campyloneurum,austrobrasilianum,Campyloneurum austrobrasilianum,holoepiphyte,,,,,1968,1968,Presence_only,856,1910,21.7000007629395,Ombrophilous Forest,YES,
MENE2_12777,MENE2,E20706,CASIMIRO DE ABREU,RIO DE JANEIRO,RJ,Brazil,,,-22.5,-42.25,Coordinates given in the herbarium record,"Estrada para Juturnaiba, trilha Rodolfo Norte, caminho para a Pelonha.",Angiosperms,Araceae,Philodendron,ornatum,Philodendron ornatum,hemiepiphyte,,,,,,,Presence_only,69,1114,25.8999996185303,Ombrophilous Forest,YES,
KERB_11904,KERB,E11904,PARANAGUA,PARANA,PR,Brazil,ABUNDANCE,Low Restinga Forest,-25.521936,-48.316041,Forest fragment,Low height restinga forest,Angiosperms,Orchidaceae,Stelis,fraterna,Stelis fraterna,holoepiphyte,Lauraceae,Ocotea,pulchella,Ocotea pulchella,1997,1999,Presence_only,,,,Ombrophilous Forest,YES,
JABOT_02907,JABOT,419091,ITATIAIA,RIO DE JANEIRO,RJ,Brazil,,,-22.49,-44.56,Municipality,,Angiosperms,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,holoepiphyte,,,,,2005,2005,Presence_only,462,1500,24.3999996185303,Seasonal Forest,YES,
MENE2_15969,MENE2,E23608,SANTA BARBARA,MATO GROSSO DO SUL,MS,Brazil,,,-19.9594,-43.4153,Coordinates given in the herbarium record,Coletada na mata da Fazenda da Floresta.  na estufa,Angiosperms,Orchidaceae,Acianthera,strupifolia,Acianthera strupifolia,holoepiphyte,,,,,,,Presence_only,787,1376,23,Seasonal Forest,YES,
JABOT_02635,JABOT,499712,GARUVA,SANTA CATARINA,SC,Brazil,,,-26.02,-48.85,Municipality,,Angiosperms,Piperaceae,Peperomia,glabella,Peperomia glabella,holoepiphyte,,,,,2009,2009,Presence_only,138,1785,25.2000007629395,Ombrophilous Forest,YES,
MENE2_20171,MENE2,E27428,LIMA DUARTE,MATO GROSSO DO SUL,MS,Brazil,,,-21.7166667,-43.8833333,Coordinates given in the herbarium record,"Parque Estadual do Ibitipoca, paredao da Ponte de Pedra proximo a lanchonete.",Angiosperms,Bromeliaceae,Tillandsia,gardneri,Tillandsia gardneri,facultative,,,,,,,Presence_only,1576,1685,19.2999992370605,Seasonal Forest,YES,
ANNE_04001,ANNE,23324,BOTUVERA,SANTA CATARINA,SC,Brazil,,Dense Ombrophilous Forest,-27.2667,-49.2167,Municipality,Cinema,Angiosperms,Piperaceae,Peperomia,pseudoestrellensis,Peperomia pseudoestrellensis,holoepiphyte,,,,,2010,2010,Presence_only,610,1629,22.2000007629395,Ombrophilous Forest,YES,
KERB_08080,KERB,E8080,GUARAPUAVA,PARANA,PR,Brazil,ABUNDANCE,,-25.521863,-51.416667,Forest fragment,Rio Sao Jeronimo,Angiosperms,Piperaceae,Peperomia,catharinae,Peperomia catharinae,holoepiphyte,Lauraceae,Ocotea,porosa,Ocotea porosa,2003,2003,Abundance,984,1735,19.7000007629395,Savanna,YES,
