SpName,Longitude,Latitude
Casearia gossypiosperma,-52.4442,-23.7681
Randia armata,-40.570833,-13.238889
Diospyros hispida,-52.8947,-14.5156
Trichilia catigua,-46.1725,-17.7425
Psychotria suterella,-46.43981111,-23.77921389
Ateleia glazioveana,-42.4280556,-22.0677778
Esenbeckia febrifuga,-52.33,-22.85
Cybistax antisyphilitica,-40.676944,-20.298611
Austroeupatorium inulaefolium,-46.1447,-22.7553
Miconia albicans,-49.2153,-18.4192
Lafoensia pacari,-49.7058,-24.2511
Casearia sylvestris,-35.1261,-6.83861
Ocotea puberula,-49.64,-27.21
Cordyline spectabilis,-50.5803,-23.9108
Chaetocarpus myrsinites,-42.0186,-22.8794
Enterolobium contortisiliquum,-40.9094,-15.5314
Xylosma prockia,-39.05,-14.79
Piper dilatatum,-50.5,-10.42
Blepharocalyx salicifolius,-49.4858,-28.9347
Hymenaea courbaril,-44.516667,-12.333333
Solanum didymum,-47.42,-21.99
Eugenia pyriformis,-52.876111,-26.998611
Senegalia riparia,-43.609167,-14.286389
Indigofera suffruticosa,-51.1794,-29.1681
Psychotria suterella,-45.05,-23.22
Pterodon emarginatus,-44.3617,-15.4881
Aspidosperma pyrifolium,-40.5008,-9.39861
Xylopia sericea,-43.5372222,-9.245
Aspidosperma subincanum,-57.580556,-18.883056
Pityrocarpa moniliformis,-38.9683,-3.60722
Myrsine guianensis,-43.3503,-21.7642
Pterocarpus rohrii,-40.482778,-20.441944
Rudgea coriacea,-48.610556,-26.393333
Ilex brevicuspis,-50.8156,-29.3656
Ocotea glaziovii,-44.96,-23.07
Byrsonima cydoniifolia,-36.0936,-9.78111
Macropeplus ligustrinus,-43.18,-22.51
Guapira graciliflora,-52.256944,-20.621111
Cupania vernalis,-50.98,-23.2542
Croton heliotropiifolius,-36.75,-6.116667
Ficus insipida,-45.653611,-23.754444
Sloanea guianensis,-48.3603,-10.2128
Astronium graveolens,-42.275,-22.5055556
Alchornea sidifolia,-49.179722,-27.116111
Vismia guianensis,-35.7286,-8.47028
Allophylus puberulus,-41.9694445,-22.7322223
Piper caldense,-40.620556,-19.931111
Cynophalla flexuosa,-39.4094,-7.23417
Myrcia hebepetala,-53.6397,-26.255
Andira vermifuga,-42.8897,-16.5594
Geissanthus ambiguus,-63.18,3.55
Guettarda platypoda,-35.265556,-6.6275
Casearia commersoniana,-42.92,-16.7
Ficus obtusifolia,-50.64,-21.26
Luehea divaricata,-52.3425,-31.7719
Spondias tuberosa,-36.4444,-8.52278
Thyrsodium spruceanum,-34.863056,-7.115
Simira sampaioana,-46.9,-22.866667
Genipa americana,-42.0186,-22.8794
Ouratea parviflora,-47.5,-23.96
Byrsonima sericea,-39.03,-16.32
Eugenia oblongata,-45.080223,-23.373498
Myrcia multiflora,-47.766667,-15.85
Psychotria leiocarpa,-49.65,-23.92
Croton floribundus,-46.6574,-23.5864
Dasyphyllum brasiliense,-48.36,-21.6
Bauhinia acuruana,-42.016111,-8.0225
Tibouchina trichopoda,-47.8811,-24.715
Licania rigida,-38.6833333,-6.2166667
Piper mollicomum,-43.21,-22.9
Senegalia martiusiana,-48.1597,-17.7219
Genipa americana,-53.61,-23.39
Sorocea hilarii,-39.5652778,-15.3916666
Coussarea hydrangeifolia,-43.44,-16.83
Dilodendron bipinnatum,-49.2539,-16.6786
Siparuna guianensis,-43.4075,-20.0747
Eugenia egensis,-55.583333,-19.749444
Schwartzia adamantium,-41.8114,-13.5789
Piper hispidum,-40.0722,-19.3911
Dilodendron bipinnatum,-35.9394,-8.9725
Myracrodruon urundeuva,-41.149444,-9.410556
Paypayrola blanchetiana,-34.8811,-8.05389
Symplocos tenuifolia,-49.2869,-27.5069
Casearia sylvestris,-43.7861,-20.6603
Bauhinia acuruana,-37.6903,-8.54056
Cordia sellowiana,-40.929167,-11.642778
Miconia pusilliflora,-45.84,-23.53
Eugenia burkartiana,-52.275,-24.6028
Boehmeria caudata,-49.141694,-26.587414
Virola sebifera,-52.02138889,-18.44666667
Luehea speciosa,-58.74,-11.37
Leandra bergiana,-49.497222,-28.529167
Bowdichia virgilioides,-41.7728,-13.1519
Psychotria mapourioides,-52.7178,-22.1875
Symplocos tetrandra,-49.9444,-27.7444
Diospyros sericea,-52.8731,-10.8339
Apuleia leiocarpa,-52.9867,-27.0703
Myrsine coriacea,-48.69,-27.72
Diospyros hispida,-47.85,-15.866667
Trichilia emarginata,-46.63,-23.54
Anadenanthera colubrina,-47.64,-22.72
Araucaria angustifolia,-51.1144,-29.3764
Miconia albicans,-40.4939,-12.2839
Piper glabratum,-46.668731,-22.69599
Ficus organensis,-42.6142,-21.1953
Matayba guianensis,-47.9464,-18.1658
Symplocos oblongifolia,-43.7408,-18.4544
Deguelia costata,-43.9378,-19.9208
Tibouchina arborea,-40.66,-20.36
Campomanesia guaviroba,-48.1,-24.52
Vochysia magnifica,-49.71,-24.25
Psidium cattleianum,-39.7255556,-19.3725
Pterogyne nitens,-35.2914,-8.11806
Ocotea lancifolia,-41.163333,-11.570556
Symplocos uniflora,-51.7292,-30.0772
Ocotea elegans,-43.005,-22.4586111
Lantana camara,-60.025,-3.10194
Cyathea delgadii,-49.087778,-27.056667
Ocotea lobbii,-41.2847,-13.4106
Varronia multispicata,-35.069444,-8.226944
Myrcia splendens,-46.0833333,-19.3833333
Brosimum guianense,-40.087837,-19.14446
Solanum scuticum,-48.433333,-22.866667
Vochysia tucanorum,-48.7,-17.716667
Himatanthus obovatus,-47.4583,-13.7975
Anacardium occidentale,-39.882778,-19.671944
Nectandra oppositifolia,-49.378611,-26.250556
Piptocarpha rotundifolia,-47.720556,-15.738333
Pereskia grandifolia,-41.0639,-19.4958
Senna macranthera,-40.536944,-19.985278
Myrcia grandifolia,-42.7767,-19.8428
Erythrina crista-galli,-52.6233,-24.0997
Macrocarpaea obtusifolia,-42.5311,-22.2819
Ocotea glauca,-40.583333,-19.984167
Croton nepetifolius,-36.29302778,-7.349638889
Coccoloba densifrons,-39.4953,-15.1914
Cavanillesia umbellata,-46.7725,-13.615556
Myracrodruon urundeuva,-37.6844,-9.805
Connarus blanchetii,-36.4711,-9.31889
Myrcia guianensis,-47.880278,-22.181111
Terminalia glabrescens,-51.0436,-22.2223
Ocotea vaccinioides,-48.879167,-25.9375
Swartzia polyphylla,-51.64,-1.405
Chomelia obtusa,-37.125833,-10.855
Ocotea bicolor,-51.4825,-26.818056
Trichilia pallens,-49.229444,-26.820833
Inga marginata,-44.0431,-19.6181
Astronium graveolens,-42.02,-22.88
Psychotria schlechtendaliana,-39.070278,-16.156389
Solanum stipulaceum,-37.4333333,-8.7166667
Hirtella hebeclada,-42.8488889,-22.0744445
Attalea humilis,-40.833889,-21.011111
Eugenia pyriformis,-51.4189,-20.3672
Palicourea marcgravii,-42.879167,-16.591389
Vismia brasiliensis,-45.31,-23.22
Swartzia apetala,-39.716667,-13.6
