scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Casearia eichleriana,Salicaceae,Casearia eichleriana Sleumer,Salicaceae,Casearia eichleriana,Sleumer,flowering plants,Accepted,Salicaceae,Sleumer,,,1986-11-18,MO,MO,MO,MO,,280,1
Eragrostis maypurensis,Poaceae,Eragrostis maypurensis Steud.,Poaceae,Eragrostis maypurensis,(Kunth) Steud.,flowering plants,Accepted,Poaceae,(Kunth) Steud.,-13.17078,-47.824956,2014-06-07,GBIF,UnB,UnB,UnB,UB,3120,1
Mimosa sensitiva,Fabaceae,Mimosa sensitiva L.,Fabaceae,Mimosa sensitiva,L.,flowering plants,Accepted,Fabaceae,L.,-20.390833,-43.651389,2011-05-17,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Aegiphila integrifolia,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,Lamiaceae,Aegiphila integrifolia,(Jacq.) Jacq.,flowering plants,Accepted,Lamiaceae,(Jacq.) Jacq.,-7.195278,-48.434722,2010-05-15,GBIF,UNITINS,UNITINS,UNITINS,HUTO,2430,1
,Orchidaceae,Acianthera Scheidw.,Orchidaceae,Acianthera,Scheidw.,flowering plants,Accepted,Orchidaceae,Scheidw.,,,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Rhodospatha venosa,Araceae,Rhodospatha venosa,Araceae,Rhodospatha venosa,Gleason,flowering plants,Accepted,Araceae,Gleason,-2,-60,2010-08-10,SpeciesLink,IFAM - CMZL,IFAM - CMZL,IFAM - CMZL,EAFM,964,1
Ditassa succedanea,Apocynaceae,Ditassa succedanea Rapini,Apocynaceae,Ditassa succedanea,Rapini,flowering plants,Accepted,Apocynaceae,Rapini,-18.007222,-43.615833,2001-02-15,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
Sebastiania macrocarpa,Euphorbiaceae,Sebastiania macrocarpa,Euphorbiaceae,Sebastiania macrocarpa,Müll. Arg.,flowering plants,Accepted,Euphorbiaceae,Müll. Arg.,-8.454722,-39.404722,2009-01-21,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
Caladium bicolor,Araceae,Caladium bicolor (Aiton) Vent.,Araceae,Caladium bicolor,(Aiton) Vent.,flowering plants,Accepted,Araceae,(Aiton) Vent.,-7.696667,-34.960278,2009-05-25,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Amaioua intermedia,Rubiaceae,Amaioua intermedia Mart.,Rubiaceae,Amaioua intermedia,Mart.,flowering plants,Accepted,Rubiaceae,Mart.,-23.4339,-45.0711,1959-03-11,GBIF,IAC,IAC,IAC,IAC,3493,1
Mikania officinalis,Asteraceae,Mikania officinalis Mart.,Asteraceae,Mikania officinalis,Mart.,flowering plants,Accepted,Asteraceae,Mart.,-17.024167,-48.801389,2008-12-15,GBIF,UFG,UFG,UFG,UFG,3801,1
,Myrtaceae,Myrcia DC.,Myrtaceae,Myrcia,DC.,flowering plants,Accepted,Myrtaceae,DC.,-20.766667,-42.033333,1992-03-03,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Chiococca alba,Rubiaceae,Chiococca alba Hitchc.,Rubiaceae,Chiococca alba,(L.) Hitchc.,flowering plants,Accepted,Rubiaceae,(L.) Hitchc.,-16.0375,-47.30944,,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
,,Plantae,Plantaginaceae,Plantago,L.,flowering plants,Accepted,Plantaginaceae,L.,-10,-67.83,1980-10-12,GBIF,Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",2095,1
Lastreopsis amplissima,Dryopteridaceae,Lastreopsis amplissima (C.Presl) Tindale,Dryopteridaceae,Lastreopsis amplissima,(C. Presl) Tindale,ferns and allies,Accepted,Dryopteridaceae,(C. Presl) Tindale,-25.25,-48.833333,2007-09-29,GBIF,UFPR,UFPR,UFPR,UPCB,2201,1
Xylosma pseudosalzmanii,flacourtiaceae,xylosma pseudosalzmanii,Salicaceae,Xylosma pseudosalzmanii,Sleumer,flowering plants,Accepted,Salicaceae,Sleumer,-23.6939,-47.0672,2000-03-01,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Pouteria anomala,Sapotaceae,Sapotaceae Pouteria anomala,Sapotaceae,Pouteria anomala,(Pires) T.D. Penn.,flowering plants,Accepted,Sapotaceae,(Pires) T.D. Penn.,,,2005-12-10,TEAM,Manaus,Eduardo Eler,,,42,1
Xyris lucida,Xyridaceae,Xyris lucida Malme,Xyridaceae,Xyris lucida,Malme,flowering plants,Accepted,Xyridaceae,Malme,-25.889722,-48.956389,2013-11-16,GBIF,UFRGS,UFRGS,UFRGS,ICN,2637,1
Tetrapterys anisoptera,Malpighiaceae,Tetrapterys anisoptera A.Juss.,Malpighiaceae,Tetrapterys anisoptera,A. Juss.,flowering plants,Accepted,Malpighiaceae,A. Juss.,-10.8339,-52.8731,,GBIF,F,F,F,Botany,3567,1
Tillandsia tenuifolia,Bromeliaceae,Tillandsia tenuifolia L.,Bromeliaceae,Tillandsia tenuifolia,L.,flowering plants,Accepted,Bromeliaceae,L.,-23.933333,-48.553889,2007-10-23,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
,Bignoniaceae,Mansoa DC.,Bignoniaceae,Mansoa,DC.,flowering plants,Accepted,Bignoniaceae,DC.,-14.125833,-42.434167,,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Ouratea floribunda,Ochnaceae,Ouratea floribunda Engl.,Ochnaceae,Ouratea floribunda,Engl.,flowering plants,Accepted,Ochnaceae,Engl.,-15.77972,-47.92944,1976-03-24,NY,NY,NY,NY,Herbarium,104,1
,Lentibulariaceae,Lentibulariaceae,Lentibulariaceae,Lentibulariaceae,Rich.,flowering plants,Accepted,Lentibulariaceae,Rich.,-20.111111,-43.893333,2010-04-22,GBIF,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG),BHCB,2515,1
,Euphorbiaceae,Acalypha L.,Euphorbiaceae,Acalypha,L.,flowering plants,Accepted,Euphorbiaceae,L.,-13.148056,-46.659722,2000-10-31,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
,Cyperaceae,Eleocharis,Cyperaceae,Eleocharis,R. Br.,flowering plants,Accepted,Cyperaceae,R. Br.,-13.483333,-39.033333,2006-08-12,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
,Poaceae,Echinochloa P.Beauv.,Poaceae,Echinochloa,P. Beauv.,flowering plants,Accepted,Poaceae,P. Beauv.,-12.705833,-39.392222,2010-03-21,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Ischnosiphon gracilis,Marantaceae,Ischnosiphon gracilis Körn.,Marantaceae,Ischnosiphon gracilis,(Rudge) Körn.,flowering plants,Accepted,Marantaceae,(Rudge) Körn.,-12.166667,-37.966667,2013-08-21,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
