Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Xylopia sericea A.St.-Hil.,Xylopia sericea A.St.-Hil.,"Ituiutaba, floresta semidecidual",Brazil,-18.948900222778,-49.425300598145,564,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Cedrela odorata L.,Cedrela odorata L.,"Arealva, floresta semidecidual",Brazil,-21.975299835205,-48.909400939941,506,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,"Conselheiro Pena, floresta semidecidual",Brazil,-19.30060005188,-41.551700592041,662,Seasonally dry Semideciduous Broadleaved Forest,"SCOLFORO, J.R.S. & CARVALHO, L.M.T. (EDS.) 2007 Editora UFLA, Lavras, MG, Brasil. Mapeamento e inventário da flora nativa e dos reflorestamentos de Minas Gerais.",
Machaerium paraguariense Hassl.,Machaerium paraguariense Hassl.,"Santa Fé, floresta semidecidual",Brazil,-23.076700210571,-52.790599822998,378,Seasonally dry Semideciduous Broadleaved Forest,"GOETZKE, S. 1990 Dissertação de Mestrado, Universidade Federal do Paraná, Curitiba, PR, Brasil. Estudo fitossociológico de uma sucessão secundária no Noroeste do Paraná, proposta para recuperação de áreas degradadas.",
Eriotheca macrophylla (K.Schum.) A.Robyns,Eriotheca macrophylla (K.Schum.) A.Robyns,"São João de Petrópolis, floresta semidecidual",Brazil,-19.804800033569,-40.671398162842,,,"CARVALHO, D.C.; TOLEDO, L.O.; SAITER, F.Z.; PEREIRA, M.G. 2012 Fitossociologia, aporte de serapilheira, estoques de carbono sob plantio de Corymbia citriodora com regeneração natural e floresta estacional semidecidual, Santa Teresa, ES Dissertação de Mestrado (Ciências Ambientais e Florestais), Universidade Federal Rural do Rio de Janeiro",
Maclura tinctoria (L.) D.Don ex Steud.,Maclura tinctoria (L.) D.Don ex Steud.,"Leópolis, floresta semidecidual",Brazil,-22.97500038147,-51.183898925781,564,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Aspidosperma tomentosum Mart.,Aspidosperma tomentosum Mart.,"Fazenda Sucupira, floresta ripícola",Brazil,-15.89999961853,-48.016700744629,,,"AMARAL, A.G., PEREIRA, F.F.O. AND MUNHOZ, C.B.R. 2006 Fitossociologia de uma área de cerrado rupestre na fazenda Sucupira, Brasília-DF. Cerne 12(4):350–359.",
Cenostigma macrophyllum Tul.,Cenostigma macrophyllum Tul.,"Coxipó da Ponte, floresta ripícola",Brazil,-16.507499694824,-56.37670135498,129,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Aralia warmingiana (Marchal) J.Wen,Aralia warmingiana (Marchal) J.Wen,"Cornélio Procópio, floresta semidecidual",Brazil,-23.163600921631,-50.340301513672,492,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Duguetia lanceolata A.St.-Hil.,Duguetia lanceolata A.St.-Hil.,"Potirendaba, floresta semidecidual",Brazil,-21.126699447632,-49.326900482178,398,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",
Alchornea glandulosa Poepp. & Endl.,Alchornea glandulosa Poepp. & Endl.,"Campos, Morro do Itaoca, floresta semidecidual",Brazil,-21.793600082397,-41.448101043701,391,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Myrsine gardneriana A.DC.,Myrsine gardneriana A.DC.,"Serra de Pacatuba, floresta decidual de brejo",Brazil,-4.0146999359131,-38.662498474121,667,Seasonally dry Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",
Piptocarpha macropoda Baker,Piptocarpha macropoda Baker,"Bandeira e Macarani, floresta semidecidual de cipó",Brazil,-15.780300140381,-40.51969909668,876,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T.; TAMEIRÃO-NETO, E.; CARVALHO, W.A.C.; BRINA, A.E.; WERNECK, M. & ; VIDAL, C.V.; REZENDE, S.C. & PEREIRA, J.A.A. 2005  Analise floristica do compartimento arboreo de areas de floresta atlantica sensu lato na regiao das Bacias do Leste (Bahia, Minas Gerais, Espirito Santo e Rio de Janeiro). (Floristic analysis of the tree component of atlantic forest areas in central eastern Brazil .)",
