original_site_code,sitename,lat,long,country,species_name
AtlMG114,"Belo Horizonte, floresta semidecídua",-19.8769444444444,-43.9719444444444,Brasil,Swartzia pilulifera
AtlRJ006,"Mambucaba, mosaico arenícola costeiro",-23.0458333333333,-44.5744444444444,Brasil,Andira fraxinifolia
AtlBA101,"Cândido Sales, floresta semidecídua",-15.2216666666667,-41.1377777777778,Brasil,Erythroxylum deciduum
AtlMG086,"Serra da Piedade, Santuário, nanofloresta rupícola",-19.8155555555556,-43.6777777777778,Brasil,Ilex brasiliensis
CaaBA059,"Manoel Vitorino, caatinga alcalina",-14.0958333333333,-40.2772222222222,Brasil,Libidibia ferrea
AtlPR093,"Irati, floresta estacional de araucária",-25.4080555555556,-50.6863888888889,Brasil,Peltophorum dubium
AmzRO061,"Santa Luzia d’Oeste, floresta estacional subserrana",-12.0347222222222,-61.7344444444444,Brasil,Couratari macrosperma
AtlSP017,"São Vicente, floresta pluvial",-23.9875,-46.385,Brasil,Piper richardiifolium
CerBA012,"Licínio de Almeida, cerrado",-14.4944444444444,-42.5738888888889,Brasil,Mimosa pithecolobioides
AtlSP096,"Mira Estrela, floresta semidecídua",-19.9444444444444,-50.12,Brasil,Aegiphila integrifolia
AtlPR139,"Guaíra, floresta semidecídua",-24.0911111111111,-54.2788888888889,Brasil,Ficus obtusiuscula
AtlRJ068,"Morro do Mendanha, floresta pluvial",-22.8091666666667,-43.5072222222222,Brasil,Hymenaea altissima
CerRO002,"Vilhena, Rio Apertadinho, floresta ripícola",-12.5902777777778,-60.2708333333333,Brasil,Schefflera distractiflora
AtlSP117,"Mirandópolis, floresta semidecídua",-21.0916666666667,-51.0375,Brasil,Campomanesia guaviroba
AtlRN015,"Canguaretama e Baía Formosa, floresta semidecídua",-6.41,-35.0769444444444,Brasil,Senna multijuga
AtlMG273,"Pouso Alegre, floresta semidecídua",-22.2225,-45.9872222222222,Brasil,Sloanea guianensis
CerMG204,"Patrocínio, Cratera, floresta semidecídua",-18.8788888888889,-46.8627777777778,Brasil,Cupania platycarpa
AmzAM148,"Rio Preto da Eva, Reserva Egler, floresta pluvial de terra firme",-2.75777777777778,-59.7583333333333,Brasil,Sloanea eichleri
CerMS096,"Santa Rita do Pardo, cerradão distrófico",-21.335,-52.9283333333333,Brasil,Pouteria torta
AtlCE017,"São Gonçalo do Amarante, floresta semidecídua",-3.56527777777778,-38.8488888888889,Brasil,Apuleia leiocarpa
CerMS098,"Camapuã, cerrado",-19.3936111111111,-53.6008333333333,Brasil,Connarus suberosus
AtlRJ031,"Seropédica, floresta pluvial",-22.7283333333333,-43.7097222222222,Brasil,Cedrela odorata
AmzAM190,"Uarini, Rio Mamirauá, floresta inundável de água branca",-3.0575,-64.8508333333333,Brasil,Clitoria amazonum
AtlSP139,"Bauru, floresta semidecídua",-22.2336111111111,-49.0847222222222,Brasil,Celtis brasiliensis
AtlSC121,"Mirim Doce, floresta pluvial de araucária",-27.1825,-50.2177777777778,Brasil,Alchornea triplinervia
AtlES074,"Caparaó, Santa Marta, floresta nebular",-20.4930555555556,-41.74,Brasil,Anaxagorea silvatica
AtlPB009,"João Pessoa, floresta pluvial",-7.145,-34.8608333333333,Brasil,Clitoria fairchildiana
AtlBA060,"Prado, floresta pluvial",-17.0916666666667,-39.2655555555556,Brasil,Guatteria pogonopus
AtlMG236,"Coqueiral, floresta semidecídua",-21.1552777777778,-45.4727777777778,Brasil,Luehea divaricata
AtlBA054,"Olivença, floresta pluvial",-14.9697222222222,-39.1158333333333,Brasil,Virola officinalis
CaaBA048,"Bom Jesus da Lapa, caatinga carbonática",-13.2747222222222,-43.1083333333333,Brasil,Anadenanthera colubrina
CerTO081,"Taguatinga, floresta decídua",-12.3930555555556,-46.4672222222222,Brasil,Rhamnidium elaeocarpum
AtlMG197,"Paraisópolis, floresta nebular de araucária",-22.5819444444444,-45.8186111111111,Brasil,Myrcia hartwegiana
AtlPE019,"Escada, floresta pluvial",-8.335,-35.1958333333333,Brasil,Erythroxylum ochrantum
AtlPB009,"João Pessoa, floresta pluvial",-7.145,-34.8608333333333,Brasil,Qualea cryptantha
AmzAM120,"Novo Airão, nanofloresta de areias brancas",-2.79555555555556,-60.9530555555556,Brasil,Licania hypoleuca
CerTO120,"Tocantínia, Funil, cerrado",-9.63527777777778,-48.3644444444444,Brasil,Guapira noxia
CerMG087,"Abaeté, floresta ripícola",-19.2663888888889,-45.2741666666667,Brasil,Inga ingoides
