database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.scientificName_empty,.basisOfRrecords_notStandard,country_suggested,countryCode,coordinates_transposed,.coordinates_country_inconsistent
BIEN_1,Casearia eichleriana,,,280,1986-11-18,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_5,"",,,2724,"",,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_17,Pouteria anomala,,,42,2005-12-10,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_28,Cyrtopodium virescens,,,1227,1994-10-05,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_31,Psychotria lupulina,,,2724,"",,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_36,Pouteria decorticans,,,36,2004-04-11,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_114,Mimosa taimbensis,,,1646,2007-10-04,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_122,Habenaria pratensis,,,690,2011-11-11,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_154,"",,,1928,2012-10-04,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_159,Psychotria deflexa,,,1928,1983-09-19,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_163,"",,,3510,2000-11-30,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_168,Eugenia protenta,,,3271,1995-10-13,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_170,"",,,3493,1999-02-26,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_211,"",,,1227,1964-08-23,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_228,"",,,3012,1963-09-01,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_241,Rhipsalis russellii,,,2724,"",,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_261,Cedrela fissilis,,,2756,2009-12-10,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_276,Dioscorea demourae,,,1278,2009-09-22,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_303,"",,,1307,1996-10-24,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_304,Casearia ulmifolia,,,2756,2017-04-17,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_318,"",,,1278,2008-04-08,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_319,"",,,619,1984-01-01,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_325,"",,,3083,2010-01-27,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_331,Habenaria repens,,,2756,2005-11-26,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_346,Psychotria loefgrenii,,,3567,1894-07-26,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_348,"",,,3120,1999-11-17,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_393,Eugenia cupulata,,,104,1981-08-14,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_428,"",,,1028,2006-01-21,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_446,Vouacapoua americana,,,36,2005-03-31,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_462,Casearia mestrensis,,,1928,2015-02-10,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_476,Eugenia punicifolia,,,1365,2001-11-21,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_489,Euphorbia phosphorea,,,3083,2014-05-17,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_492,Eugenia florida,,,196,1999-10-06,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_516,"",,,3271,2003-09-27,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_519,"",,,3493,1994-01-13,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_523,Cyathea microdonta,,,2095,1995-03-13,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_530,Pouteria krukovii,,,2075,1933-08-01,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_536,Casearia javitensis,,,280,1977-10-11,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_542,Cyperus hermaphroditus,,,2637,2005-01-20,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_543,Cyperus papyrus,,,3114,1995-08-29,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_547,Epidendrum dendrobioides,,,3716,1992-02-04,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_564,"",,,1928,2000-02-13,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_584,"",,,2724,2006-02-09,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_614,Bulbophyllum tripetalum,,,104,1966-03-04,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_625,Eugenia itacarensis,,,1928,1994-02-06,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_632,Prosthechea vespa,,,3380,2010-12-03,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_633,Thelypteris hispidula,,,3510,2013-05-04,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_637,Pouteria gardneriana,,,1928,2012-10-03,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_693,Cyathea phalerata,,,1646,2010-02-22,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_721,Dalbergia miscolobium,,,280,1966-03-06,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_722,Zygopetalum maculatum,,,125,2000-04-13,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_726,Psychotria colorata,,,1928,2015-02-19,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_727,Casearia commersoniana,,,3510,1998-09-22,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_728,"",,,2180,2016-06-26,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_764,Casearia arborea,,,3271,1979-10-27,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_768,"",,,3083,2013-07-23,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_778,Eugenia punicifolia,,,249,1997-09-30,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_789,Psychotria leiocarpa,,,2136,1999-11-25,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_820,"",,,1028,2007-10-13,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_821,Thelypteris vivipara,,,2201,2004-12-10,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_842,"",,,1758,1987-11-02,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_843,Psychotria myriantha,,,3567,"",,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_852,Cyperus haspan,,,3114,2007-08-23,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_858,Cyathea corcovadensis,,,2515,2008-11-01,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_873,Eugenia pisiformis,,,1928,2011-09-11,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_906,Cereus jamacaru,,,3165,1900-01-01,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_935,Eurystyles actinosophila,,,3510,2002-04-18,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_960,Epidendrum rigidum,,,1646,2010-06-21,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
BIEN_961,"",,,104,1962-01-05,,,,,,,,,,FALSE,TRUE,,,TRUE,FALSE
BIEN_965,Epidendrum fulgens,,,2774,2008-11-05,,,,,,,,,,TRUE,TRUE,,,TRUE,FALSE
