database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,.inverted_xy,iso2c,iso3c,.invalid_xy,.outside_xy,.no_xy,.no_name,.doubtful_provenance,.locality_no_xy
GBIF_1,2452890595,Tapirira guianensis Aubl.,NA,NA,1997-10-08T00:00:00Z,Anacardiaceae,BR,Minas Gerais,NA,Próximo da Ilha do Marimbondo,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,"Catharino, ELM",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_4,1563338511,Xanthium echinatum Murray,NA,NA,1909-02-27T00:00:00Z,Asteraceae,BR,Paraná,NA,"Ponta Grossa, in ruderatis",NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,P. K. Dusén,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_7,1316181641,Handroanthus albus (Cham.) Mattos,NA,NA,1978-07-05T00:00:00Z,Bignoniaceae,BR,São Paulo,NA,Pedra Grande,NA,PRESERVED_SPECIMEN,SPECIES,"Semir, J",NA,"Taroda, N",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_10,1702796880,Borreria G.Mey.,NA,NA,1972-01-18T00:00:00Z,Rubiaceae,BR,Minas Gerais,NA,"Serra do Cipo, 40 Km ao Norte (mun. Jaboticatuba).",NA,PRESERVED_SPECIMEN,GENUS,NA,NA,"G. Hatschbach, L. Smith & Ayensu",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_12,1424325587,Eragrostis solida Nees,NA,NA,1957-03-19T00:00:00Z,Poaceae,BR,Minas Gerais,NA,Serra do Curral.,NA,PRESERVED_SPECIMEN,SPECIES,Sonja de Castro Boechat,NA,Edmundo Pereira; Pabst,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_15,1095434658,Justicia carnea Lindl.,NA,NA,1953-02-23T00:00:00Z,Acanthaceae,BR,Paraná,NA,Ilha do Mel,NA,PRESERVED_SPECIMEN,SPECIES,"Hatschbach, G.",NA,"Tessmann, G.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_17,1090632014,Ligustrum lucidum W.T.Aiton,NA,NA,2012-08-27T00:00:00Z,Oleaceae,BR,São Paulo,NA,"Cidade Universitária Armando de Salles Oliveira, Em frente à prefeitura do campus.",NA,PRESERVED_SPECIMEN,SPECIES,"Pace, MR",NA,"Pace, MR; Gerolamo, CS; Majcher, J",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_19,2302345931,Poaceae,NA,NA,2011-03-22T00:00:00Z,Poaceae,BR,SãoPaulo,NA,BrasilSãoPauloSãoPauloRaposoTavaresParqueJequitibá(ParqueTIZO),NA,PRESERVED_SPECIMEN,FAMILY,S.Honda,NA,"B.Pucci;R.J.F.Garcia,V.S.Delboni,F.G.Pereira,Guilherme,Y.K.Fukushima-Hein,estagiárias(D-2)",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_20,2514799487,Anetium citrifolium (L.) Splitg.,NA,NA,NA,Pteridaceae,BR,NA,NA,Brasil.,NA,PRESERVED_SPECIMEN,SPECIES,NA,NA,Martius CFP von,BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
GBIF_21,1090786358,Cuphea melvilla Lindl.,NA,NA,1999-01-22T00:00:00Z,Lythraceae,BR,Minas Gerais,NA,Estação Ecológica do Panga,NA,PRESERVED_SPECIMEN,SPECIES,"Cvalcanti, T.B.",NA,"Melazzo, A.F.O.",BRAZIL,BR,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
