database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,.missing_name,.missing_xy,.invalid_xy,.xy_provenance,country_suggested,countryCode,transposed_xy,.xy_out_country,.summary
GBIF_1,Tapirira guianensis Aubl.,,,2452890595,1997-10-08 00:00:00,BR,Minas Gerais,,Próximo da Ilha do Marimbondo,,PRESERVED_SPECIMEN,"",,"Catharino, ELM",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_4,Xanthium echinatum Murray,,,1563338511,1909-02-27 00:00:00,BR,Paraná,,"Ponta Grossa, in ruderatis",,PRESERVED_SPECIMEN,"",,P. K. Dusén,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_7,Handroanthus albus (Cham.) Mattos,,,1316181641,1978-07-05 00:00:00,BR,São Paulo,,Pedra Grande,,PRESERVED_SPECIMEN,"Semir, J",,"Taroda, N",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_10,Borreria G.Mey.,,,1702796880,1972-01-18 00:00:00,BR,Minas Gerais,,"Serra do Cipo, 40 Km ao Norte (mun. Jaboticatuba).",,PRESERVED_SPECIMEN,"",,"G. Hatschbach, L. Smith & Ayensu",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_12,Eragrostis solida Nees,,,1424325587,1957-03-19 00:00:00,BR,Minas Gerais,,Serra do Curral.,,PRESERVED_SPECIMEN,Sonja de Castro Boechat,,Edmundo Pereira; Pabst,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_15,Justicia carnea Lindl.,,,1095434658,1953-02-23 00:00:00,BR,Paraná,,Ilha do Mel,,PRESERVED_SPECIMEN,"Hatschbach, G.",,"Tessmann, G.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_17,Ligustrum lucidum W.T.Aiton,,,1090632014,2012-08-27 00:00:00,BR,São Paulo,,"Cidade Universitária Armando de Salles Oliveira, Em frente à prefeitura do campus.",,PRESERVED_SPECIMEN,"Pace, MR",,"Pace, MR; Gerolamo, CS; Majcher, J",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_19,Poaceae,,,2302345931,2011-03-22 00:00:00,BR,SãoPaulo,,BrasilSãoPauloSãoPauloRaposoTavaresParqueJequitibá(ParqueTIZO),,PRESERVED_SPECIMEN,S.Honda,,"B.Pucci;R.J.F.Garcia,V.S.Delboni,F.G.Pereira,Guilherme,Y.K.Fukushima-Hein,estagiárias(D-2)",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_20,Anetium citrifolium (L.) Splitg.,,,2514799487,,BR,"",,Brasil.,,PRESERVED_SPECIMEN,"",,Martius CFP von,TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_21,Cuphea melvilla Lindl.,,,1090786358,1999-01-22 00:00:00,BR,Minas Gerais,,Estação Ecológica do Panga,,PRESERVED_SPECIMEN,"Cvalcanti, T.B.",,"Melazzo, A.F.O.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_22,Epidendrum mosenii Rchb.f.,,,1802900930,1949-01-09 00:00:00,BR,Rs,,Morro das Abertas,,PRESERVED_SPECIMEN,Emrich-Rambo-Pabst,,"Rambo, B.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_23,Serjania communis var. glabra Radlk.,,,2452802102,1978-10-26 00:00:00,BR,São Paulo,,"Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",,PRESERVED_SPECIMEN,"Barros, F; Cruz, MAV",,"Silvestre, MSF",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
GBIF_25,Swartzia bahiensis R.S.Cowan,,,1993827483,2018-06-30 00:00:00,BR,Pernambuco,,Usina Olho D'Água.,,PRESERVED_SPECIMEN,"",,"Araújo, A.B.",TRUE,FALSE,TRUE,TRUE,BRAZIL,BR,TRUE,FALSE,FALSE
