input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:2651289,1,GBIF:2651289,Hymenophyllum hirsutum,species,accepted,GBIF:2651289,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,hirsutum,,2651287,5275214,Sw. (L.),hairy filmy fern
GBIF:7288694,2,GBIF:7288694,Elaphoglossum scolopendrifolium,species,accepted,GBIF:7288694,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Elaphoglossum,scolopendrifolium,,2651032,3915148,J.Sm. (Raddi),
GBIF:2792004,3,GBIF:2792004,Polystachya foliosa,species,accepted,GBIF:2792004,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polystachya,foliosa,,2791998,5307895,Rchb.f.,lesser yellowspike orchid
GBIF:2650518,4,GBIF:2650518,Campyloneurum repens,species,accepted,GBIF:2650518,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Campyloneurum,repens,,7500358,5274990,C.Presl (Aubl.),creeping strapfern
GBIF:3607148,5,GBIF:3607148,Polyphlebium angustatum,species,accepted,GBIF:3607148,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Polyphlebium,angustatum,,6420172,,Ebihara & Dubuisson (Carmich.),
GBIF:5318449,6,GBIF:5318449,Maxillaria neowiedii,species,accepted,GBIF:5318449,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,neowiedii,,2825779,,Rchb.f.,
GBIF:5318019,7,GBIF:5318019,Maxillaria marginata,species,accepted,GBIF:5318019,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,marginata,,2825779,5318487,Fenzl (Lindl.),
GBIF:5572320,8,GBIF:5572320,Ficus americana guianensis,subspecies,accepted,GBIF:5572320,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,americana,guianensis,5361926,5570813,C.C.Berg (Desv.),
GBIF:5361910,9,GBIF:5361910,Ficus obtusifolia,species,accepted,GBIF:5361910,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,obtusifolia,,2984588,,Kunth,apuí
GBIF:7944396,10,GBIF:7944396,Ficus pertusa,species,accepted,GBIF:7944396,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,pertusa,,2984588,,L.f.,oleanderfikus
GBIF:7944396,11,GBIF:7944396,Ficus pertusa,species,accepted,GBIF:7944396,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,pertusa,,2984588,,L.f.,oleanderfikus
GBIF:7835333,12,GBIF:7835333,Ficus elastica,species,accepted,GBIF:7835333,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,elastica,,2984588,,Roxb.,印度橡膠樹
GBIF:2980360,13,GBIF:2980360,Senegalia polyphylla,species,accepted,GBIF:2980360,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,polyphylla,,7989631,,Britton & Rose ex Britton & Killip,white-tamarind
GBIF:3174923,14,GBIF:3174923,Myrcia guianensis,species,accepted,GBIF:3174923,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrcia,guianensis,,7395601,,DC.,Poivrier Jamaique
GBIF:3782598,15,GBIF:3782598,Siparuna brasiliensis,species,accepted,GBIF:3782598,Plantae,Tracheophyta,Magnoliopsida,Laurales,Siparunaceae,Siparuna,brasiliensis,,7264484,,A.DC.,negra-mina
GBIF:3124828,16,GBIF:3124828,Cyrtocymura scorpioides,species,accepted,GBIF:3124828,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cyrtocymura,scorpioides,,3130432,,H.Rob. (Lam.),Wild Patchouli
GBIF:3933670,17,GBIF:3933670,Sida acuta,species,accepted,GBIF:3933670,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,acuta,,3152100,,Burm.f.,細葉金午時花
GBIF:3933670,18,GBIF:3933670,Sida acuta,species,accepted,GBIF:3933670,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,acuta,,3152100,,Burm.f.,細葉金午時花
