database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,coordinates_transposed,.uncer_terms,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
AT_EPIPHYTES_86,Hymenophyllum polyanthos,-25.240888,-48.830907,E6144,2011,Brazil,PARANA,CAMPINA GRANDE DO SUL,Morro Caratuva,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_225,Hymenophyllum polyanthos,-22.1225,-44.7443,E6435,2013,Brazil,MATO GROSSO DO SUL,BAEPENDI,"Parque Estadual da Serra do Papagaio, Chapadao",500,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_227,Hymenophyllum polyanthos,-25.240888,-48.830907,E6147,2011,Brazil,PARANA,CAMPINA GRANDE DO SUL,Morro Caratuva,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_234,Elaphoglossum rigidum,-15.391667,-39.565278,E0324,2010,Brazil,BAHIA,CAMACAN,RPPN Serra Bonita,Study site,,,,,BRAZIL,BR,TRUE,TRUE,Elaphoglossum rigidum,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_429,Codonanthopsis uleana,-19.2328,-40.042,E0292,,Brazil,ESPIRITO SANTO,LINHARES,"Reserva Natural da CVRD. Estrada Flamengo, km 1,2, ao lado ant. campo de futebol.",Municipality,,,,,BRAZIL,BR,TRUE,TRUE,Codonanthopsis uleana,,,homotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_494,Elaphoglossum rigidum,-15.391667,-39.565278,E0323,2010,Brazil,BAHIA,CAMACAN,RPPN Serra Bonita,Study site,,,,,BRAZIL,BR,TRUE,TRUE,Elaphoglossum rigidum,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_621,Elaphoglossum rigidum,-15.391667,-39.565278,E0322,2010,Brazil,BAHIA,CAMACAN,RPPN Serra Bonita,Study site,,,,,BRAZIL,BR,TRUE,TRUE,Elaphoglossum rigidum,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_629,Hymenophyllum polyanthos,-25.447705,-48.929986,E9811,2001,Brazil,PARANA,MORRETES,Morro Facaozinho,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_697,Hymenophyllum polyanthos,-21.69636,-43.89749,E3747,2014,Brazil,MATO GROSSO DO SUL,LIMA DUARTE,"Parque Estadual do Ibitipoca, Gruta do Cruzeiro",100,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_708,Hymenophyllum polyanthos,-22.36986,-44.7097,E1251,2017,Brazil,RIO DE JANEIRO,RESENDE,"Parque Nacional do Itatiaia, Pedra do Camelo",20,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_720,Hymenophyllum polyanthos,-25.240888,-48.830907,E6138,2011,Brazil,PARANA,CAMPINA GRANDE DO SUL,Morro Caratuva,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_737,Hymenophyllum polyanthos,-25.447705,-48.929986,E9807,2001,Brazil,PARANA,MORRETES,Morro Facaozinho,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_844,Archilejeunea auberiana,-6.9836,-35.7445,E0030,2009,Brazil,PARAIBA,AREIA,Parque Estadual Mata do Pau-ferro,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Archilejeunea auberiana,,,homotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_959,Hymenophyllum polyanthos,-25.497056,-48.981299,E1577,2010,Brazil,PARANA,PIRAQUARA,PE Marumbi Nucleo Cayuguava,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_1073,Hymenophyllum polyanthos,-25.240888,-48.830907,E5935,2011,Brazil,PARANA,CAMPINA GRANDE DO SUL,Morro Caratuva,Forest fragment,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_1093,Hymenophyllum polyanthos,-21.70188,-43.88374,E2683,2014,Brazil,MATO GROSSO DO SUL,LIMA DUARTE,"Parque Estadual do Ibitipoca, Gruta do Monjolinho",100,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_1113,Hymenophyllum polyanthos,-29.070825,-49.96165556,47,2015,Brazil,RIO GRANDE DO SUL,CAMBARA DO SUL,Nacional Aparados da Serra Park,1.5,,,,,BRAZIL,BR,TRUE,TRUE,Hymenophyllum polyanthos,,,heterotypic synonym,,,,,,,,,,,,,,,,,
AT_EPIPHYTES_1171,Christensonella paranaensis,-25.0239,-50.5842,E12535,,Brazil,PARANA,IPIRANGA,Ipiranga. Coatis.,Coordinates given in the herbarium record,,,,,BRAZIL,BR,TRUE,TRUE,Christensonella paranaensis,,,homotypic synonym,,,,,,,,,,,,,,,,,
