sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,input,notes,original.search,distance
2385,GBIF:5348711,Abrus precatorius,species,accepted,GBIF:5348711,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Abrus,precatorius,,2943776,,L.,雞母珠;美麗相思子,Abrus precatorius,|check +1 accepted,Abrus precatorius,0
6745,GBIF:2900865,Cordia,genus,accepted,GBIF:2900865,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Cordia,,,4923856,,L.,,Cordia,|check +1 accepted,Cordia,0
6850,GBIF:2874105,Casearia,genus,accepted,GBIF:2874105,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Casearia,,,6664,,Jacq.,,Casearia,|check +1 accepted,Casearia,0
7276,GBIF:2944960,Hirtella,genus,accepted,GBIF:2944960,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,,,9111,,L.,,Hirtella,|check +1 accepted,Hirtella,0
7399,GBIF:7548631,Pterolepis parnassiifolia piatensis,subspecies,accepted,GBIF:7548631,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Pterolepis,parnassiifolia,piatensis,3866381,,Renner,,Pterolepis parnassiifolia piatensis,|check +1 accepted,Pterolepis parnassiifolia piatensis,0
7829,GBIF:3171840,Ruellia,genus,accepted,GBIF:3171840,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,,,2393,,L.,wild petunia,Ruellia,|check +1 accepted,Ruellia,0
7851,GBIF:7224736,Eriosema campestre campestre,variety,accepted,GBIF:7224736,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Eriosema,campestre,campestre,5349126,,,,Eriosema campestre campestre,|check +1 accepted,Eriosema campestre campestre,0
7902,GBIF:8844024,Banisteriopsis malifolia malifolia,subspecies,accepted,GBIF:8844024,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,malifolia,7285536,,,,Banisteriopsis malifolia malifolia,|check +1 accepted,Banisteriopsis malifolia malifolia,0
8094,GBIF:2705320,Eriochrysis,genus,accepted,GBIF:2705320,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Eriochrysis,,,3073,,P.Beauv.,moco de pavo,Eriochrysis,|check +1 accepted,Eriochrysis,0
8121,GBIF:5938221,Fuchsia,genus,accepted,GBIF:5938221,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,,,2430,,L.,fuchsior,Fuchsia,|check +1 accepted,Fuchsia,0
8250,GBIF:7545884,Passiflora foetida hispida,variety,accepted,GBIF:7545884,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,foetida,hispida,2874211,3587701,Killip ex Gleason (DC. ex Triana & Planchon),,Passiflora foetida hispida,|check +1 accepted,Passiflora foetida hispida,0
8315,GBIF:2911655,Randia,genus,accepted,GBIF:2911655,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Randia,,,8798,,L.,indigoberry,Randia,|check +1 accepted,Randia,0
8406,GBIF:2947992,Rhynchosia,genus,accepted,GBIF:2947992,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Rhynchosia,,,5386,,Lour.,snoutbean,Rhynchosia,|check +1 accepted,Rhynchosia,0
8454,GBIF:3152100,Sida,genus,accepted,GBIF:3152100,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sida,,,6685,,L.,wireweed,Sida,|check +1 accepted,Sida,0
8473,GBIF:2965936,Inga,genus,accepted,GBIF:2965936,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inga,,,5386,,Mill.,,Inga,|check +1 accepted,Inga,0
8530,GBIF:7067453,Eriosema crinitum crinitum,variety,accepted,GBIF:7067453,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Eriosema,crinitum,crinitum,5349020,,,,Eriosema crinitum crinitum,|check +1 accepted,Eriosema crinitum crinitum,0
8599,GBIF:7309965,Trigonia nivea nivea,form,accepted,GBIF:7309965,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,Trigonia,nivea,nivea,7309957,,,,Trigonia nivea nivea,|check +1 accepted,Trigonia nivea nivea,0
8657,GBIF:7782708,Arachis hypogaea fastigiata,variety,accepted,GBIF:7782708,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,hypogaea,fastigiata,5353770,,Waldron,,Arachis hypogaea fastigiata,|check +1 accepted,Arachis hypogaea fastigiata,0
8738,GBIF:3234753,Asemeia,genus,accepted,GBIF:3234753,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Asemeia,,,2417,,Raf.,,Asemeia,|check +1 accepted,Asemeia,0
8801,GBIF:2704525,Digitaria,genus,accepted,GBIF:2704525,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Digitaria,,,3073,,Haller,fingerhirser,Digitaria,|check +1 accepted,Digitaria,0
9070,GBIF:2956684,Arachis,genus,accepted,GBIF:2956684,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,,,5386,,L.,peanut,Arachis,|check +1 accepted,Arachis,0
9278,GBIF:7224573,Copaifera langsdorffii langsdorffii,variety,accepted,GBIF:7224573,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Copaifera,langsdorffii,langsdorffii,2978171,,,,Copaifera langsdorffii langsdorffii,|check +1 accepted,Copaifera langsdorffii langsdorffii,0
9345,GBIF:2731030,Becquerelia,genus,accepted,GBIF:2731030,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Becquerelia,,,7708,,Brongn.,,Becquerelia,|check +1 accepted,Becquerelia,0
9448,GBIF:2650111,Polypodium,genus,accepted,GBIF:2650111,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,,,2368,,L.,Tüpfelfarn,Polypodium,|check +1 accepted,Polypodium,0
9502,GBIF:9714684,Hymenopus,genus,accepted,GBIF:9714684,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hymenopus,,,9111,,Sothers & Prance (Benth.),,Hymenopus,|check +1 accepted,Hymenopus,0
9555,GBIF:2874506,Cucurbita,genus,accepted,GBIF:2874506,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,,,6634,,L.,squashes,Cucurbita,|check +1 accepted,Cucurbita,0
9730,GBIF:7271503,Cabralea canjerana canjerana,subspecies,accepted,GBIF:7271503,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Cabralea,canjerana,canjerana,7271502,,,trompillo macho,Cabralea canjerana canjerana,|check +1 accepted,Cabralea canjerana canjerana,0
9849,GBIF:7286786,Protium heptaphyllum heptaphyllum,variety,accepted,GBIF:7286786,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,heptaphyllum,heptaphyllum,7286785,,,,Protium heptaphyllum heptaphyllum,|check +1 accepted,Protium heptaphyllum heptaphyllum,0
9849,GBIF:8762304,Protium heptaphyllum heptaphyllum,form,accepted,GBIF:8762304,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,heptaphyllum,heptaphyllum,7286785,,,,Protium heptaphyllum heptaphyllum,|check +1 accepted,Protium heptaphyllum heptaphyllum,0
10090,GBIF:7225149,Vigna unguiculata unguiculata,subspecies,accepted,GBIF:7225149,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,unguiculata,unguiculata,2982583,,Walp. (L.),Yard-long Bean,Vigna unguiculata unguiculata,|check +1 accepted,Vigna unguiculata unguiculata,0
10173,GBIF:7268854,Esenbeckia grandiflora grandiflora,variety,accepted,GBIF:7268854,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Esenbeckia,grandiflora,grandiflora,7268853,,,Yellow Gasparee,Esenbeckia grandiflora grandiflora,|check +1 accepted,Esenbeckia grandiflora grandiflora,0
10191,GBIF:2705466,Olyra,genus,accepted,GBIF:2705466,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Olyra,,,3073,,L.,carrycillo,Olyra,|check +1 accepted,Olyra,0
10236,GBIF:7278542,Bauhinia forficata forficata,variety,accepted,GBIF:7278542,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,forficata,forficata,2953861,,,,Bauhinia forficata forficata,|check +1 accepted,Bauhinia forficata forficata,0
10248,GBIF:2960439,Ormosia,genus,accepted,GBIF:2960439,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ormosia,,,5386,,Jacks.,,Ormosia,|check +1 accepted,Ormosia,0
10376,GBIF:8952933,Senna macranthera nervosa,subspecies,accepted,GBIF:8952933,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,macranthera,nervosa,2957977,,H.S.Irwin & Barneby (Vogel),,Senna macranthera nervosa,|check +1 accepted,Senna macranthera nervosa,0
10377,GBIF:7324656,Triticum aestivum aestivum,variety,accepted,GBIF:7324656,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,aestivum,aestivum,7795888,,,,Triticum aestivum aestivum,|check +1 accepted,Triticum aestivum aestivum,0
10500,GBIF:4190194,Peperomia hispidula sellowiana,variety,accepted,GBIF:4190194,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,hispidula,sellowiana,7305892,,Dahlst.,,Peperomia hispidula sellowiana,|check +1 accepted,Peperomia hispidula sellowiana,0
10591,GBIF:2896652,Alibertia,genus,accepted,GBIF:2896652,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Alibertia,,,8798,,A.Rich. ex DC.,,Alibertia,|check +1 accepted,Alibertia,0
10811,GBIF:3794817,Mimosa acutistipula ferrea,variety,accepted,GBIF:3794817,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,acutistipula,ferrea,2969280,,Barneby,Jureminha,Mimosa acutistipula ferrea,|check +1 accepted,Mimosa acutistipula ferrea,0
10873,GBIF:7330062,Symphonia globulifera globulifera,variety,accepted,GBIF:7330062,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Symphonia,globulifera,globulifera,8185162,,,,Symphonia globulifera globulifera,|check +1 accepted,Symphonia globulifera globulifera,0
10968,GBIF:7229285,Lindsaea quadrangularis quadrangularis,subspecies,accepted,GBIF:7229285,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Lindsaeaceae,Lindsaea,quadrangularis,quadrangularis,2650767,,,,Lindsaea quadrangularis quadrangularis,|check +1 accepted,Lindsaea quadrangularis quadrangularis,0
10972,GBIF:5288504,Pitcairnia flammea floccosa,variety,accepted,GBIF:5288504,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Pitcairnia,flammea,floccosa,5288483,,L.B.Sm.,,Pitcairnia flammea floccosa,|check +1 accepted,Pitcairnia flammea floccosa,0
11076,GBIF:8951366,Mimosa gemmulata gemmulata,subspecies,accepted,GBIF:8951366,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,gemmulata,gemmulata,2969768,,,,Mimosa gemmulata gemmulata,|check +1 accepted,Mimosa gemmulata gemmulata,0
11264,GBIF:2985823,Crassula,genus,accepted,GBIF:2985823,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,,,2406,,L.,pygmyweed,Crassula,|check +1 accepted,Crassula,0
11389,GBIF:7304815,Ottonia,genus,accepted,GBIF:7304815,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Ottonia,,,6678,,Spreng.,,Ottonia,|check +1 accepted,Ottonia,0
11403,GBIF:6376691,Senna silvestris bifaria,variety,accepted,GBIF:6376691,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,silvestris,bifaria,2958026,,H.S.Irwin & Barneby,,Senna silvestris bifaria,|check +1 accepted,Senna silvestris bifaria,0
11480,GBIF:7304861,Piper arboreum arboreum,subspecies,accepted,GBIF:7304861,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,arboreum,arboreum,7304860,,,Ambaibillo,Piper arboreum arboreum,|check +1 accepted,Piper arboreum arboreum,0
11480,GBIF:7304873,Piper arboreum arboreum,variety,accepted,GBIF:7304873,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,arboreum,arboreum,7304860,,,Jaborandi-pimenta,Piper arboreum arboreum,|check +1 accepted,Piper arboreum arboreum,0
11487,GBIF:7224632,Mimosa hypoglauca hypoglauca,variety,accepted,GBIF:7224632,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,hypoglauca,hypoglauca,2969342,,,,Mimosa hypoglauca hypoglauca,|check +1 accepted,Mimosa hypoglauca hypoglauca,0
11495,GBIF:5355184,Poiretia,genus,accepted,GBIF:5355184,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Poiretia,,,5386,,Vent.,,Poiretia,|check +1 accepted,Poiretia,0
