Description,notes,number_of_records,perc_number_records(*)
valid: name accepted,accepted,56394,62.66
valid: synonym replaced by an accepted name,accepted | replaceSynonym,2966,3.3
valid: accepted name that was misspelled,accepted | wasMisspelled,415,0.46
valid: accepted name assigned as misspelled synonym,accepted | wasMisspelled | replaceSynonym,36,0.04
check: ambiguous synonym linked to multiple accepted names,heterotypic synonym,258,0.29
check: ambiguous synonym linked to multiple accepted names,homotypic synonym,375,0.42
check: ambiguous synonym that was misspelled,homotypic synonym | wasMisspelled,5,0.01
invalid: name linked to multiple accepted names,multipleAccepted,237,0.26
invalid: name not found in the taxonomic database or no interpretable name,notFound,211,0.23
check: ambiguous synonym linked to multiple accepted names,proparte synonym,2,0
check: ambiguous synonym that was misspelled,proparte synonym | wasMisspelled,1,0
check: synonym with no accepted names,synonym | noAcceptedName,15,0.02
invalid: no interpretable name,"",30,0.03
check: doubtful taxonomic identification,taxo_uncer,328,0.36
"","","",""
"(*) calculated in relation to total number of records, i.e. 90000 records","","",""
