"before","after"
"eSwatini","Eswatini"
"Faeroe Islands","Faroe Islands"
"Heard I. and McDonald Islands","Heard Island and McDonald Islands"
"Indian Ocean Territories","Australian Indian Ocean Territories"
"Lao","Lao People's Democratic Republic"
"Pitcairn Island","Pitcairn"
"Saint-Barthélemy","Saint Barthélemy"
"Saint-Martin","Saint Martin"
"South Georgia and the Islands","South Georgia and the South Sandwich Islands"
"Gambia","Gambia"
"Minor","United States"
"Wallis and Futuna Islands","Wallis and Futuna"
