scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Solanum paniculatum,Solanaceae,Solanum paniculatum,Solanaceae,Solanum paniculatum,L.,flowering plants,Accepted,Solanaceae,L.,-7.135306,-38.601472,2010-08-25,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
Tetrapterys crispa,Malpighiaceae,Tetrapterys crispa A.Juss.,Malpighiaceae,Tetrapterys crispa,A. Juss.,flowering plants,Accepted,Malpighiaceae,A. Juss.,-0.95,-49.8,1987-11-04,GBIF,IEPA,IEPA,IEPA,HAMAB,1758,1
Clusia microstemon,Clusiaceae,Clusia microstemon Planch. & Triana,Clusiaceae,Clusia microstemon,Planch. & Triana,flowering plants,Accepted,Clusiaceae,Planch. & Triana,0.283333,-68.466667,NA,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,1
NA,Melastomataceae,Miconia Ruiz & Pav.,Melastomataceae,Miconia,Ruiz & Pav.,flowering plants,Accepted,Melastomataceae,Ruiz & Pav.,-9.272222,-64.482778,2011-03-26,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Machaerium fulvovenosum,Fabaceae(=Leguminosae)-Faboideae(=Papilionoideae),Machaerium fulvovenosum,Fabaceae,Machaerium fulvovenosum,Lima,flowering plants,Accepted,Fabaceae,Lima,-20.848889,-41.1125,2008-10-10,SpeciesLink,UFES,UFES,UFES,VIES,1307,1
NA,Violaceae,Noisettia Kunth,Violaceae,Noisettia,Kunth,flowering plants,Accepted,Violaceae,Kunth,-20.026667,-40.492222,2007-11-30,GBIF,MBML,MBML,MBML,MBML-HERBARIO,3510,1
Byrsonima sericea,Malpighiaceae,Byrsonima sericea DC.,Malpighiaceae,Byrsonima sericea,DC.,flowering plants,Accepted,Malpighiaceae,DC.,-15.181944,-45.769722,1997-12-05,GBIF,"Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT",SP,3012,1
Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Rizzini,flowering plants,Accepted,Euphorbiaceae,Rizzini,NA,NA,1996-07-05,SpeciesLink,IBt,IBt,IBt,SP,971,1
Cordia nodosa,Ehretiaceae,Cordia nodosa Lam.,Boraginaceae,Cordia nodosa,Lam.,flowering plants,Accepted,Boraginaceae,Lam.,-9.95,-57.1,1985-09-30,GBIF,Faculdade São Lucas (FSL),Faculdade São Lucas (FSL),Faculdade São Lucas (FSL),HFSL,2979,1
Dorstenia turnerifolia,Moraceae,Dorstenia turnerifolia Fisch. & C.A.Mey.,Moraceae,Dorstenia turnerifolia,Fisch. & C.A. Mey.,flowering plants,Accepted,Moraceae,Fisch. & C.A. Mey.,-15.158056,-39.528611,NA,GBIF,Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC),CEPEC,2724,1
Phoradendron crassifolium,Viscaceae,Phoradendron crassifolium (Pohl ex DC.) Eichler,Santalaceae,Phoradendron crassifolium,(Pohl ex DC.) Eichler,flowering plants,Accepted,Santalaceae,(Pohl ex DC.) Eichler,-23.62028,-45.40972,1961-05-20,NY,NY,NY,NY,Herbarium,104,1
Pagamea plicata,Rubiaceae,Pagamea plicata Spruce ex Benth.,Rubiaceae,Pagamea plicata,Spruce ex Benth.,flowering plants,Accepted,Rubiaceae,Spruce ex Benth.,-10.605278,-46.285,2007-09-21,GBIF,UFG,UFG,UFG,UFG,3801,1
NA,Malvaceae,Apeiba Aubl.,Malvaceae,Apeiba,Aubl.,flowering plants,Accepted,Malvaceae,Aubl.,-11.688333,-49.361111,2012-01-01,GBIF,USP,USP,USP,SPFW,3527,1
Galactia striata,Leguminosae-Pap.,Galactia striata,Fabaceae,Galactia striata,(Jacq.) Urb.,flowering plants,Accepted,Fabaceae,(Jacq.) Urb.,-22.4947,-48.5581,NA,SpeciesLink,IAC,IAC,IAC,IAC,1365,1
Achyrocline alata,Asteraceae,Achyrocline alata DC.,Asteraceae,Achyrocline alata,(Kunth) DC.,flowering plants,Accepted,Asteraceae,(Kunth) DC.,-20.448028,-52.906222,2005-04-22,GBIF,Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),Fundação Universidade Federal de Mato Grosso do Sul (UFMS),CGMS,2258,1
