Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Miconia minutiflora (Bonpl.) DC.,Miconia minutiflora (Bonpl.) DC.,"Santo Antônio do Amparo, floresta semidecidual",Brazil,-20.844999313354,-44.91609954834,981,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Zanthoxylum rhoifolium Lam.,Zanthoxylum rhoifolium Lam.,"Bezerros, floresta semidecidual de brejo",Brazil,-8.1581001281738,-35.753898620605,810,Seasonally dry Semideciduous Broadleaved Forest,"SALES, M.F.; MAYO, S.J. & RODAL, M.J. 1998 Universidade Federal de Pernambuco, Recife.PE, Brasil. Plantas vasculares das florestas serranas de Pernambuco - Um checklist da flora ameaçada dos brejos de altitude de Pernambuco - Brasil.",NA
Ocotea velutina (Nees) Rohwer,Ocotea velutina (Nees) Rohwer,"Ibituruna, floresta semidecidual",Brazil,-21.132499694824,-44.709400177002,890,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Sweetia fruticosa Spreng.,Sweetia fruticosa Spreng.,"Três Marias, floresta decidual",Brazil,-18.089000701904,-45.182998657227,NA,NA,"CARVALHO, D.A.; OLIVEIRA-FILHO, A.T.; VILELA, E.A.; CURI, N.; VAN DEN BERG, E.; FONTES M.A.L. & BOTEZELLI, L. 2005 Distribuição de espécies arbóreo-arbustivas ao longo de um gradiente de solos e topografia em um trecho de floresta ripária do rio São Fran",NA
Bauhinia cheilantha (Bong.) Steud.,Bauhinia cheilantha (Bong.) Steud.,"Matias Cardoso, Cajueiro, caatinga arbórea",Brazil,-15.003100395203,-43.900299072266,465,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Senna pendula (Willd.) H.S.Irwin & Barneby,Senna pendula (Willd.) H.S.Irwin & Barneby,"Salmourão, floresta semidecidual",Brazil,-21.568899154663,-50.739700317383,352,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Cecropia hololeuca Miq.,Cecropia hololeuca Miq.,"Nanuque, floresta semidecidual",Brazil,-17.83219909668,-40.280799865723,224,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cordia glabrata (Mart.) A.DC.,Cordia glabrata (Mart.) A.DC.,"Matias Cardoso, Gado Bravo, caatinga arbórea",Brazil,-14.982199668884,-43.52140045166,465,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cynophalla flexuosa (L.) J.Presl,Cynophalla flexuosa (L.) J.Presl,"Anaurilândia, floresta semidecidual",Brazil,-22.783100128174,-53.530300140381,252,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Manihot caerulescens Pohl,Manihot caerulescens Pohl,"Jaguarari, floresta areno-rupícola",Brazil,-10.185799598694,-40.259201049805,956,Arid Deciduous Broadleaved Forest,"SANTOS, R.M. & QUEIROZ, L.P. 2008 Universidade Estadual de Feira de Santana, Feira de Santana, BA, Brazil. Checklists de áreas de caatinga e matas secas.",NA
