original_site_code,sitename,lat,long,country,species_name
AtlPE022,"Tamandaré, Saltinho, floresta pluvial",-8.72444444444444,-35.1752777777778,Brasil,Amaioua guianensis
AtlRJ033,"Niterói, Serra da Tiririca, floresta pluvial",-22.9294444444444,-42.9794444444444,Brasil,Matayba intermedia
AmzAM103,"Itacoatiara-Mirim, nanofloresta de areias brancas",-0.145833333333333,-66.9733333333333,Brasil,Pagamea coriacea
CerMT027,"Lucas do Rio Verde, cerrado",-13.405,-55.5744444444444,Brasil,Senna velutina
AtlPR129,"Altônia, floresta semidecídua",-23.8686111111111,-53.8466666666667,Brasil,Myrsine umbellata
AmzRO032,"Porto Velho, Calama, savana arborizada brejosa",-8.13777777777778,-63.6194444444444,Brasil,Compsoneura ulei
AtlSP016,"São Sebastião, floresta pluvial",-23.8136111111111,-45.4675,Brasil,Cyathea corcovadensis
AmzAM223,"Careiro da Várzea, Paraná do Autaz-Mirim, floresta inundável de água negra",-3.28388888888889,-59.4844444444444,Brasil,Myrciaria dubia
AtlSP032,"Iporanga, floresta pluvial",-24.5705555555556,-48.6163888888889,Brasil,Alchornea triplinervia
AtlSP161,"Gruta do Itambé, floresta semidecídua",-21.07,-47.4361111111111,Brasil,Dahlstedtia muehlbergiana
CerPI033,"Parnaguá, cerradão mesotrófico",-10.1322222222222,-44.7119444444444,Brasil,Copaifera coriacea
AmzAM163,"Coari, floresta pluvial de terra firme",-4.22111111111111,-63.1722222222222,Brasil,Miconia gratissima
CerMG068,"João Pinheiro, floresta ripícola",-17.6558333333333,-46.3122222222222,Brasil,Cabralea canjerana
AtlBA099,"Barra do Choça, floresta semidecídua",-14.835,-40.5547222222222,Brasil,Solanum megalochiton
CerMG240,"Prata, cerrado",-19.2183333333333,-49.1463888888889,Brasil,Machaerium acutifolium
CerMS034,"Jaraguari, cerradão mesotrófico",-20.1538888888889,-54.5611111111111,Brasil,Agonandra brasiliensis
AmzAM285,"Tonantins, floresta pluvial de terra firme",-2.82833333333333,-67.7961111111111,Brasil,Iriartea deltoidea
CerMG114,"Bocaiúva, floresta decídua",-17.0736111111111,-43.7672222222222,Brasil,Cordia trichotoma
AmzAM220,"Lago Manacapuru, floresta inundável de água negra",-3.13305555555556,-60.8969444444444,Brasil,Nectandra amazonum
CaaBA019,"Andorinha, caatinga quartzítica",-10.1394444444444,-39.83,Brasil,Byrsonima blanchetiana
