SpName,Longitude,Latitude
Sorocea hilarii,-46.99,-24.32
Allophylus laevigatus,-38.2992,-12.5303
Esenbeckia grandiflora,-38.9331,-4.26333
Cordia magnoliifolia,-40.4486111,-20.1505556
Solanum pabstii,-50.39,-26.1772
Campomanesia dichotoma,-35.4914,-7.59111
Psychotria bahiensis,-39.083333,-15.4
Anadenanthera colubrina,-45.88,-23.17
Alsophila setosa,-47.0069,-23.7767
Alchornea triplinervia,-41.133333,-11.55
Machaerium stipitatum,-46.668492,-22.694886
Pouteria macrophylla,-51.85,1.51
Swartzia acutifolia,-41.86666667,-13.26666667
Ficus cestrifolia,-51.444031,-29.679983
Nectandra oppositifolia,-46.7025,-23.5874
Hortia brasiliana,-41.440278,-12.459722
Myrcia tomentosa,-45.4675,-21.108642
Byrsonima sericea,-36.5864,-10.2903
Drimys brasiliensis,-48.2772,-18.9186
Casearia aculeata,-67.81,-9.97472
Poincianella pluviosa,-39.1019,-12.67
Casearia sylvestris,-50.5475,-25.4133
Marlierea eugeniopsoides,-48.705556,-24.522778
Psychotria bracteocardia,-60.9,2.43
Solanum ramulosum,-49.9317,-28.2939
Guarea macrophylla,-46.46,-23.66
Inga thibaudiana,-39.708889,-18.419444
Machaerium nyctitans,-43.2656,-21.5878
Celtis iguanaea,-42.1392,-19.7897
Myrcia aethusa,-49.7269,-29.3353
Pera glabrata,-49.21277778,-24.30083333
Drimys angustifolia,-45.59,-22.73
Cyathea atrovirens,-48.470889,-25.678722
Lantana fucata,-52.5219,-30.5439
Lafoensia pacari,-54.76,-18.5067
Casearia gossypiosperma,-44.6425,-21.4875
Piper aduncum,-47.788889,-14.184722
Cordiera sessilis,-44.635,-20.5414
Eugenia handroana,-49.2731,-25.4278
Solanum polytrichum,-39.7,-13.5
Inga cayennensis,-51.2894,-0.115
Hieronyma alchorneoides,-72.33,-7.77
Mollinedia schottiana,-49.770556,-27.090278
Buchenavia tomentosa,-57.2686111,-11.6619444
Tibouchina fothergillae,-42.8819,-20.7539
Coccoloba mollis,-55.8661,-1.76556
Geonoma pohliana,-45.08333333,-23.4
Psychotria mapourioides,-38.6786,-12.8883
Byrsonima ligustrifolia,-49.21,-25.53
Guazuma ulmifolia,-51.306667,-16.138333
Terminalia argentea,-40.137542,-19.688906
Hymenaea rubriflora,-37.7553,-11.4756
Lantana fucata,-48.733333,-22.8
Psychotria carthagenensis,-46.1447,-22.7553
Piper lhotzkyanum,-42.5,-22.47
Solanum paniculatum,-45.266111,-11.058889
Cariniana estrellensis,-47.87,-24.2031
Sloanea guianensis,-48.8053,-27.5661
Myrcia splendens,-69.26,-8.84
Byrsonima crispa,-36.3711,-8.14583
Aspidosperma parvifolium,-42.5103,-22.92
Laguncularia racemosa,-44.7131,-23.2178
Acosmium lentiscifolium,-42.1028,-22.8392
Marlierea obscura,-41.471111,-12.456389
Sorocea guilleminiana,-62.0891666,-1.0286111
Bauhinia longifolia,-52.3531,-14.6733
Aiouea saligna,-52.4839,-31.7633
Geonoma pauciflora,-39.016667,-14.416667
Eugenia brasiliensis,-50.41,-22.66
Brunfelsia clandestina,-39.8117,-14.9611
Myrcia vittoriana,-41.6611,-22.1872
Dimorphandra mollis,-47.749697,-21.165434
Hedyosmum brasiliense,-49.306944,-26.323611
Xylopia sericea,-51.67,-11.17
Miconia amoena,-38.95,-13.95
Casearia javitensis,-50.58,-10.67
Croton nepetifolius,-43.33,-9.27861
Curatella americana,-38.0844,-11.9419
Ilex paraguariensis,-53.0261,-26.1494
Aegiphila integrifolia,-39.079167,-14.386667
Tibouchina fothergillae,-41.9111111,-21.8888889
Baccharis calvescens,-46.3658,-20.2453
Cordia trichoclada,-40.620278,-19.923889
Brunfelsia hydrangeiformis,-44.8072,-19.7303
Schefflera morototoni,-35.0025,-7.56056
Brosimum guianense,-63.6122,-10.5969
Handroanthus ochraceus,-44.1817,-6.96722
Maytenus ilicifolia,-52.509722,-21.996389
Miconia prasina,-63.316667,0.816667
Ocotea indecora,-51.0783,-26.2381
Trichilia pallida,-49.0166667,-16.5166667
Myrsine loefgrenii,-50.6063889,-23.4994444
Myrcia montana,-44.7675,-22.2047222
Platypodium elegans,-43.7144,-19.1689
Chaetocarpus echinocarpus,-56.0861,-9.87556
Jacaranda caroba,-47.0608,-22.9056
Cyathea phalerata,-48.833333,-25.25
Myrcia splendens,-55.016667,-14.933333
Leandra variabilis,-48.407778,-24.634722
Lecythis lurida,-48.446111,-1.435556
Chromolaena laevigata,-55.9475,-22.1911
Ossaea amygdaloides,-49.77,-26.821667
Tocoyena formosa,-35.5072,-9.40472
Tibouchina regnellii,-50.6156,-24.3239
Heliocarpus popayanensis,-53.4081,-25.4356
Nectandra oppositifolia,-46.88,-23.18
Dendropanax cuneatus,-58.74,-11.38
Cordia taguahyensis,-40.472222,-19.914167
Tibouchina candolleana,-47.78,-17.63
Myrsine umbellata,-51.974722,-27.313889
Hirtella gracilipes,-42.9925,-16.8766667
Maytenus evonymoides,-49.4292,-26.0981
Psidium oligospermum,-40.5183,-11.1806
Myrcia amazonica,-40.505,-11.195
Chiococca alba,-40.411541,-20.597437
Heisteria perianthomega,-42.01,-22.87
Hancornia speciosa,-42.46,-5.03806
Himatanthus obovatus,-40.51,-11.18
Guazuma ulmifolia,-36.9889,-10.6481
Copaifera lucens,-39.538889,-15.161944
Antonia ovata,-55.7333333,-15.2666667
Cynophalla flexuosa,-41.8817,-22.7469
Campomanesia guazumifolia,-53.24,-29.6453
Annona emarginata,-46.63,-23.54
Conocarpus erectus,-37.0144,-10.8714
Myrsine parvifolia,-40.292222,-20.329722
Ficus gomelleira,-45.3844444,-23.0052778
Byrsonima vacciniifolia,-40.43333333,-6.7
Ocotea velutina,-46.9925,-18.9439
Himatanthus bracteatus,-44.0406,-22.9597
Garcinia gardneriana,-52.65,-0.58
Chomelia obtusa,-40.7742,-5.53444
Albizia inundata,-36.9206,-5.79944
Chomelia brasiliana,-48.1,-24.52
Libidibia ferrea,-41.46666667,-7.083333333
Urera baccifera,-46.6808,-22.6819
Marlierea eugeniopsoides,-49.1769,-26.7406
Cryptocarya moschata,-46.6375,-23.4369
Casearia arborea,-41.387222,-12.475278
Ilex integerrima,-51.4581,-25.3953
Swartzia langsdorffii,-48.445,-22.8858
Zanthoxylum rhoifolium,-49.3,-28.7133
Miconia budlejoides,-40.0836,-13.8575
Sebastiania brasiliensis,-49.34,-24.11
Libidibia ferrea,-38.21,-9.41
Myrcia amazonica,-41.446667,-12.463889
Eugenia longipedunculata,-50.5186,-23.1508
Dasyphyllum flagellare,-45.28,-22.5092
Myracrodruon urundeuva,-38.5431,-3.71722
Ocotea glomerata,-39.47555,-12.85277
Bauhinia forficata,-49.117472,-25.383056
Gochnatia polymorpha,-43.2656,-21.5878
Margaritopsis cephalantha,-46.6361,-23.5475
Miconia stenostachya,-46.95,-22.43
Astrocaryum aculeatissimum,-45.66,-23.38
Forsteronia leptocarpa,-40.326667,-20.406944
Eugenia repanda,-40.6592,-20.3633
Zanthoxylum riedelianum,-50.06,-21.42
Piper arboreum,-43.21,-22.9
Allophylus edulis,-51.0364,-23.0586
Ocotea pulchella,-50.6953,-26.9289
Piper tuberculatum,-55.9836,-4.27611
Xylopia aromatica,-57.6789,-16.0706
Pourouma guianensis,-42.3917,-22.6508
Myrcia silvatica,-60.083333,-2.316667
Psidium cattleianum,-41.075,-20.5194445
Psychotria leiocarpa,-49.2064,-25.5347
Erythroxylum pelleterianum,-43.7931,-21.8425
Dalbergia nigra,-41.264722,-20.761111
Indigofera suffruticosa,-40.0817,-7.8825
Lonchocarpus campestris,-52.289722,-27.135
Eugenia punicifolia,-42.8714,-15.8286
Tapura amazonica,-49.16,-11.89
Chiococca alba,-41.83,-13.47
Chrysophyllum lucentifolium,-56.0922,-2.15222
Ficus adhatodifolia,-49.9692,-14.5489
Lantana fucata,-35.79,-8.23
Nectandra reticulata,-40.7497,-20.635
Solanum pseudoquina,-49.7269,-29.3353
Senegalia riparia,-40.43,-17.14
Centrolobium sclerophyllum,-44.32,-13.586111
Casearia sylvestris,-49.2539,-16.6786
Cassia ferruginea,-43.3622,-19.8261
Eugenia punicifolia,-35.125833,-6.838889
Casearia sylvestris,-56.094139,-2.207139
Myrcia oblongata,-45.6992,-22.0431
Varronia leucocephala,-40.5008,-9.39861
Zanthoxylum fagara,-50.3261,-27.8161
Psychotria capitata,-37.433889,-11.369722
Trichilia pallida,-46.71,-21.93
Pilocarpus pennatifolius,-49.2611,-24.8236
Nectandra grandiflora,-47.6769,-22.8467
Pterogyne nitens,-40.4,-11.016667
Marlierea laevigata,-41.883333,-13.266667
Zanthoxylum fagara,-51.1472,-29.7603
Hymenaea stigonocarpa,-47.82,-22.25
Myrcia hartwegiana,-42.3917,-22.6508
Sloanea hirsuta,-49.7269,-29.3353
Lippia brasiliensis,-44.453333,-19.524722
Campomanesia pubescens,-48.2772,-18.9186
Chomelia pohliana,-49.0606,-22.3147
Erythroxylum suberosum,-47.9,-15.95
Ocotea pulchella,-49.83,-24.16
Schinus terebinthifolius,-51.2317,-26.1611
Xylopia aromatica,-61.33,3.3
Senna splendida,-49.34,-24.11
