datasetName,fileName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,country,stateProvince,county,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy
AT_EPIPHYTES,at_epiphytes.csv,EPIPHYTE_SPECIES,LATITUDE_Y,LONGITUDE_X,RECORD_ID,NA,YEAR_FINISH,COUNTRY,STATE,MUNICIPALITY,REGIONAL_NAME_OF_STUDY_SITE,NA,NA,PRECISION,NA
BIEN,bien.csv,scrubbed_species_binomial,latitude,longitude,datasource_id,NA,date_collected,NA,NA,NA,NA,NA,NA,NA,NA
DRYFLOR,dryflor.csv,Accepted name,Latitude,Longitude,NA,NA,NA,Country,NA,NA,locality/site,NA,NA,NA,NA
GBIF,gbif.csv,scientificName,decimalLatitude,decimalLongitude,gbifID,basisOfRecord,eventDate,countryCode,stateProvince,NA,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy
ICMBIO,icmbio.csv,Nome cientifico na base de dados,Latitude,Longitude,Numero do registro no portal,NA,Data do registro,Pais,Estado/Provincia,Municipio,Localidade,NA,NA,NA,NA
IDIGBIO,idigbio.csv,dwc:scientificName,dwc:decimalLatitude,dwc:decimalLongitude,coreid,dwc:basisOfRecord,dwc:eventDate,dwc:country,dwc:stateProvince,dwc:county,dwc:locality,dwc:identifiedBy,dwc:coordinateUncertaintyInMeters,dwc:coordinatePrecision,dwc:recordedBy
NEOTROPTREE,neotroptree.csv,species_name,lat,long,original_site_code,NA,NA,country,NA,NA,sitename,NA,NA,NA,NA
SIBBR,sibbr.csv,Scientific Name,Latitude,Longitude,Record ID,Basis Of Record,Year,Country - parsed,State - parsed,NA,Locality,identified _ by,Coordinate Uncertainty in Metres,NA,NA
SPECIESLINK,specieslink.csv,scientificname,latitude,longitude,catalognumber,basisofrecord,yearcollected,country,stateprovince,county,locality,identifiedby,NA,coordinateprecision,collector
