input,sort,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
GBIF:2016303,1,GBIF:2016303,Cordia,genus,accepted,GBIF:2016303,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Cordia,,,3764,,"Stål, 1866",
GBIF:2900865,2,GBIF:2900865,Cordia,genus,accepted,GBIF:2900865,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Cordia,,,4923856,,L.,
GBIF:3251778,3,GBIF:3251778,Casearia,genus,accepted,GBIF:3251778,Animalia,Porifera,Hexactinellida,,Plieolitidae,Casearia,,,3251776,,"Quenstedt, 1857",
GBIF:2874105,4,GBIF:2874105,Casearia,genus,accepted,GBIF:2874105,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Casearia,,,6664,,Jacq.,
GBIF:8690066,5,GBIF:8690066,Hirtella,genus,accepted,GBIF:8690066,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hirtella,,,5158,,"Pereira, Zanata, Cetra & Reis, 2014",
GBIF:2944960,6,GBIF:2944960,Hirtella,genus,accepted,GBIF:2944960,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Chrysobalanaceae,Hirtella,,,9111,,L.,
GBIF:5600740,7,GBIF:5600740,Pterolepis parnassiifolia piatensis,variety,accepted,GBIF:5600740,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Pterolepis,parnassiifolia,piatensis,3866381,,S.S.Renner,
GBIF:7548631,8,GBIF:7548631,Pterolepis parnassiifolia piatensis,subspecies,accepted,GBIF:7548631,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Pterolepis,parnassiifolia,piatensis,3866381,,Renner,
GBIF:7285537,9,GBIF:7285537,Banisteriopsis malifolia malifolia,variety,accepted,GBIF:7285537,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,malifolia,7285536,,,
GBIF:8844024,10,GBIF:8844024,Banisteriopsis malifolia malifolia,subspecies,accepted,GBIF:8844024,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Banisteriopsis,malifolia,malifolia,7285536,,,
GBIF:1853247,11,GBIF:1853247,Eriochrysis,genus,accepted,GBIF:1853247,Animalia,Arthropoda,Insecta,Lepidoptera,Psychidae,Eriochrysis,,,8861,,"Meyrick, 1937",
GBIF:2705320,12,GBIF:2705320,Eriochrysis,genus,accepted,GBIF:2705320,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Eriochrysis,,,3073,,P.Beauv.,moco de pavo
