Description,Test_name,Records_flagged,perc_number_records(*)
Coordinates valid,.val,0,0
Identical coordinates,.equ,0,0
Records around country capital centroid,.cap,212,0.24
Records around country or province centroids,.cen,126,0.14
.urb,.urb,2937,3.26
Geographical outliers,.otl,488,0.54
Records around the GBIF headquarters,.gbf,0,0
Records around biodiversity institutions,.inst,92,0.1
Duplicated coordinates per species,.dpl,3098,3.44
Rounded coordinates,.rou,2192,2.44
Summary of all tests,.summary,8198,9.11
,,,
"(*) calculated in relation to total number of records, i.e. 90000 records",,,
