scientificName,.family_names,clean_family_names,.uncer_terms,uncer_terms,clean_uncer_terms,.other_issues,clean_other_issues,.infraesp_names,infraesp_term,names_clean,cardinality,quality
Elaphoglossum rigidum,TRUE,Elaphoglossum rigidum,TRUE,,Elaphoglossum rigidum,TRUE,Elaphoglossum rigidum,TRUE,,Elaphoglossum rigidum,2,1
Gomesa longicornu,TRUE,Gomesa longicornu,TRUE,,Gomesa longicornu,TRUE,Gomesa longicornu,TRUE,,Gomesa longicornu,2,1
Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,2,1
Tillandsia loliacea,TRUE,Tillandsia loliacea,TRUE,,Tillandsia loliacea,TRUE,Tillandsia loliacea,TRUE,,Tillandsia loliacea,2,1
Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,2,1
Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,2,1
Tillandsia streptocarpa,TRUE,Tillandsia streptocarpa,TRUE,,Tillandsia streptocarpa,TRUE,Tillandsia streptocarpa,TRUE,,Tillandsia streptocarpa,2,1
Henicodium geniculatum,TRUE,Henicodium geniculatum,TRUE,,Henicodium geniculatum,TRUE,Henicodium geniculatum,TRUE,,Henicodium geniculatum,2,1
Pleopeltis pleopeltidis,TRUE,Pleopeltis pleopeltidis,TRUE,,Pleopeltis pleopeltidis,TRUE,Pleopeltis pleopeltidis,TRUE,,Pleopeltis pleopeltidis,2,1
Leptotes bicolor,TRUE,Leptotes bicolor,TRUE,,Leptotes bicolor,TRUE,Leptotes bicolor,TRUE,,Leptotes bicolor,2,1
Acianthera hygrophila,TRUE,Acianthera hygrophila,TRUE,,Acianthera hygrophila,TRUE,Acianthera hygrophila,TRUE,,Acianthera hygrophila,2,1
Hymenophyllum polyanthos,TRUE,Hymenophyllum polyanthos,TRUE,,Hymenophyllum polyanthos,TRUE,Hymenophyllum polyanthos,TRUE,,Hymenophyllum polyanthos,2,1
Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,2,1
Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,2,1
Billbergia nutans,TRUE,Billbergia nutans,TRUE,,Billbergia nutans,TRUE,Billbergia nutans,TRUE,,Billbergia nutans,2,1
Epidendrum secundum,TRUE,Epidendrum secundum,TRUE,,Epidendrum secundum,TRUE,Epidendrum secundum,TRUE,,Epidendrum secundum,2,1
Aechmea burle-marxii,TRUE,Aechmea burle-marxii,TRUE,,Aechmea burle-marxii,TRUE,Aechmea burle-marxii,TRUE,,Aechmea burle-marxii,2,1
Campyloneurum rigidum,TRUE,Campyloneurum rigidum,TRUE,,Campyloneurum rigidum,TRUE,Campyloneurum rigidum,TRUE,,Campyloneurum rigidum,2,1
Serpocaulon catharinae,TRUE,Serpocaulon catharinae,TRUE,,Serpocaulon catharinae,TRUE,Serpocaulon catharinae,TRUE,,Serpocaulon catharinae,2,1
Aechmea purpureorosea,TRUE,Aechmea purpureorosea,TRUE,,Aechmea purpureorosea,TRUE,Aechmea purpureorosea,TRUE,,Aechmea purpureorosea,2,1
Octomeria fibrifera,TRUE,Octomeria fibrifera,TRUE,,Octomeria fibrifera,TRUE,Octomeria fibrifera,TRUE,,Octomeria fibrifera,2,1
Philodendron fragrantissimum,TRUE,Philodendron fragrantissimum,TRUE,,Philodendron fragrantissimum,TRUE,Philodendron fragrantissimum,TRUE,,Philodendron fragrantissimum,2,1
Phlegmariurus fontinaloides,TRUE,Phlegmariurus fontinaloides,TRUE,,Phlegmariurus fontinaloides,TRUE,Phlegmariurus fontinaloides,TRUE,,Phlegmariurus fontinaloides,2,1
Vriesea platynema,TRUE,Vriesea platynema,TRUE,,Vriesea platynema,TRUE,Vriesea platynema,TRUE,,Vriesea platynema,2,1
Billbergia nutans,TRUE,Billbergia nutans,TRUE,,Billbergia nutans,TRUE,Billbergia nutans,TRUE,,Billbergia nutans,2,1
Campyloneurum austrobrasilianum,TRUE,Campyloneurum austrobrasilianum,TRUE,,Campyloneurum austrobrasilianum,TRUE,Campyloneurum austrobrasilianum,TRUE,,Campyloneurum austrobrasilianum,2,1
Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,2,1
Nematanthus fluminensis,TRUE,Nematanthus fluminensis,TRUE,,Nematanthus fluminensis,TRUE,Nematanthus fluminensis,TRUE,,Nematanthus fluminensis,2,1
Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,TRUE,Pleopeltis hirsutissima,TRUE,,Pleopeltis hirsutissima,2,1
Epidendrum nocturnum,TRUE,Epidendrum nocturnum,TRUE,,Epidendrum nocturnum,TRUE,Epidendrum nocturnum,TRUE,,Epidendrum nocturnum,2,1
Scaphyglottis modesta,TRUE,Scaphyglottis modesta,TRUE,,Scaphyglottis modesta,TRUE,Scaphyglottis modesta,TRUE,,Scaphyglottis modesta,2,1
Rhetinantha notylioglossa,TRUE,Rhetinantha notylioglossa,TRUE,,Rhetinantha notylioglossa,TRUE,Rhetinantha notylioglossa,TRUE,,Rhetinantha notylioglossa,2,1
Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,TRUE,Aechmea distichantha,TRUE,,Aechmea distichantha,2,1
Tillandsia tricholepis,TRUE,Tillandsia tricholepis,TRUE,,Tillandsia tricholepis,TRUE,Tillandsia tricholepis,TRUE,,Tillandsia tricholepis,2,1
Vriesea incurvata,TRUE,Vriesea incurvata,TRUE,,Vriesea incurvata,TRUE,Vriesea incurvata,TRUE,,Vriesea incurvata,2,1
Campylocentrum aromaticum,TRUE,Campylocentrum aromaticum,TRUE,,Campylocentrum aromaticum,TRUE,Campylocentrum aromaticum,TRUE,,Campylocentrum aromaticum,2,1
Lepismium lumbricoides,TRUE,Lepismium lumbricoides,TRUE,,Lepismium lumbricoides,TRUE,Lepismium lumbricoides,TRUE,,Lepismium lumbricoides,2,1
Campyloneurum austrobrasilianum,TRUE,Campyloneurum austrobrasilianum,TRUE,,Campyloneurum austrobrasilianum,TRUE,Campyloneurum austrobrasilianum,TRUE,,Campyloneurum austrobrasilianum,2,1
Specklinia grobyi,TRUE,Specklinia grobyi,TRUE,,Specklinia grobyi,TRUE,Specklinia grobyi,TRUE,,Specklinia grobyi,2,1
Dichaea cogniauxiana,TRUE,Dichaea cogniauxiana,TRUE,,Dichaea cogniauxiana,TRUE,Dichaea cogniauxiana,TRUE,,Dichaea cogniauxiana,2,1
Acianthera sonderiana,TRUE,Acianthera sonderiana,TRUE,,Acianthera sonderiana,TRUE,Acianthera sonderiana,TRUE,,Acianthera sonderiana,2,1
Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,2,1
Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,TRUE,Vriesea gigantea,TRUE,,Vriesea gigantea,2,1
Rhipsalis grandiflora,TRUE,Rhipsalis grandiflora,TRUE,,Rhipsalis grandiflora,TRUE,Rhipsalis grandiflora,TRUE,,Rhipsalis grandiflora,2,1
Nematanthus crassifolius,TRUE,Nematanthus crassifolius,TRUE,,Nematanthus crassifolius,TRUE,Nematanthus crassifolius,TRUE,,Nematanthus crassifolius,2,1
Aechmea fasciata,TRUE,Aechmea fasciata,TRUE,,Aechmea fasciata,TRUE,Aechmea fasciata,TRUE,,Aechmea fasciata,2,1
Pleopeltis pleopeltifolia,TRUE,Pleopeltis pleopeltifolia,TRUE,,Pleopeltis pleopeltifolia,TRUE,Pleopeltis pleopeltifolia,TRUE,,Pleopeltis pleopeltifolia,2,1
Nematanthus australis,TRUE,Nematanthus australis,TRUE,,Nematanthus australis,TRUE,Nematanthus australis,TRUE,,Nematanthus australis,2,1
Epidendrum ramosum,TRUE,Epidendrum ramosum,TRUE,,Epidendrum ramosum,TRUE,Epidendrum ramosum,TRUE,,Epidendrum ramosum,2,1
Stelis deregularis,TRUE,Stelis deregularis,TRUE,,Stelis deregularis,TRUE,Stelis deregularis,TRUE,,Stelis deregularis,2,1
Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,TRUE,Anthurium pentaphyllum,TRUE,,Anthurium pentaphyllum,2,1
Codonanthe gracilis,TRUE,Codonanthe gracilis,TRUE,,Codonanthe gracilis,TRUE,Codonanthe gracilis,TRUE,,Codonanthe gracilis,2,1
Trichocentrum pumilum,TRUE,Trichocentrum pumilum,TRUE,,Trichocentrum pumilum,TRUE,Trichocentrum pumilum,TRUE,,Trichocentrum pumilum,2,1
Vriesea seideliana,TRUE,Vriesea seideliana,TRUE,,Vriesea seideliana,TRUE,Vriesea seideliana,TRUE,,Vriesea seideliana,2,1
Anathallis bocainensis,TRUE,Anathallis bocainensis,TRUE,,Anathallis bocainensis,TRUE,Anathallis bocainensis,TRUE,,Anathallis bocainensis,2,1
Pleiochiton blepharodes,TRUE,Pleiochiton blepharodes,TRUE,,Pleiochiton blepharodes,TRUE,Pleiochiton blepharodes,TRUE,,Pleiochiton blepharodes,2,1
Tillandsia aeranthos,TRUE,Tillandsia aeranthos,TRUE,,Tillandsia aeranthos,TRUE,Tillandsia aeranthos,TRUE,,Tillandsia aeranthos,2,1
Vriesea rodigasiana,TRUE,Vriesea rodigasiana,TRUE,,Vriesea rodigasiana,TRUE,Vriesea rodigasiana,TRUE,,Vriesea rodigasiana,2,1
Aechmea nudicaulis,TRUE,Aechmea nudicaulis,TRUE,,Aechmea nudicaulis,TRUE,Aechmea nudicaulis,TRUE,,Aechmea nudicaulis,2,1
Vriesea reitzii,TRUE,Vriesea reitzii,TRUE,,Vriesea reitzii,TRUE,Vriesea reitzii,TRUE,,Vriesea reitzii,2,1
Nematanthus fornix,TRUE,Nematanthus fornix,TRUE,,Nematanthus fornix,TRUE,Nematanthus fornix,TRUE,,Nematanthus fornix,2,1
Stelis megantha,TRUE,Stelis megantha,TRUE,,Stelis megantha,TRUE,Stelis megantha,TRUE,,Stelis megantha,2,1
Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,TRUE,Cattleya coccinea,TRUE,,Cattleya coccinea,2,1
Quesnelia liboniana,TRUE,Quesnelia liboniana,TRUE,,Quesnelia liboniana,TRUE,Quesnelia liboniana,TRUE,,Quesnelia liboniana,2,1
Grandiphyllum divaricatum,TRUE,Grandiphyllum divaricatum,TRUE,,Grandiphyllum divaricatum,TRUE,Grandiphyllum divaricatum,TRUE,,Grandiphyllum divaricatum,2,1
Lepismium lumbricoides,TRUE,Lepismium lumbricoides,TRUE,,Lepismium lumbricoides,TRUE,Lepismium lumbricoides,TRUE,,Lepismium lumbricoides,2,1
Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,TRUE,Microgramma squamulosa,TRUE,,Microgramma squamulosa,2,1
Peperomia corcovadensis,TRUE,Peperomia corcovadensis,TRUE,,Peperomia corcovadensis,TRUE,Peperomia corcovadensis,TRUE,,Peperomia corcovadensis,2,1
Prosthechea fausta,TRUE,Prosthechea fausta,TRUE,,Prosthechea fausta,TRUE,Prosthechea fausta,TRUE,,Prosthechea fausta,2,1
Capanemia micromera,TRUE,Capanemia micromera,TRUE,,Capanemia micromera,TRUE,Capanemia micromera,TRUE,,Capanemia micromera,2,1
Peperomia circinnata,TRUE,Peperomia circinnata,TRUE,,Peperomia circinnata,TRUE,Peperomia circinnata,TRUE,,Peperomia circinnata,2,1
Isochilus linearis,TRUE,Isochilus linearis,TRUE,,Isochilus linearis,TRUE,Isochilus linearis,TRUE,,Isochilus linearis,2,1
Peperomia alata,TRUE,Peperomia alata,TRUE,,Peperomia alata,TRUE,Peperomia alata,TRUE,,Peperomia alata,2,1
