original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Elaphoglossum rigidum,NA,NA,accepted,GBIF:8713668,Elaphoglossum rigidum,species,accepted,GBIF:8713668,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Elaphoglossum,rigidum,NA,2651032,7289969,Urb. (Aubl.),stiff tonguefern
Gomesa longicornu,NA,NA,accepted,GBIF:5951155,Gomesa longicornu,species,accepted,GBIF:5951155,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,longicornu,NA,2851004,5322234,M.W.Chase & N.H.Williams (Mutel),NA
Anthurium pentaphyllum,NA,NA,accepted,GBIF:2873047,Anthurium pentaphyllum,species,accepted,GBIF:2873047,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,pentaphyllum,NA,2872218,5331064,G.Don (Aubl.),Miyaibo
Tillandsia loliacea,NA,NA,accepted,GBIF:2695286,Tillandsia loliacea,species,accepted,GBIF:2695286,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,loliacea,NA,8279994,NA,Mart. ex Schult. & Schult.f.,cravo do mato
Pleopeltis hirsutissima,NA,NA,accepted,GBIF:4029985,Pleopeltis hirsutissima,species,accepted,GBIF:4029985,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,hirsutissima,NA,2650485,7290359,de la Sota (Raddi),NA
Aechmea distichantha,NA,NA,accepted,GBIF:2698018,Aechmea distichantha,species,accepted,GBIF:2698018,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,distichantha,NA,2697812,NA,Lem.,NA
Tillandsia streptocarpa,NA,NA,accepted,GBIF:2695421,Tillandsia streptocarpa,species,accepted,GBIF:2695421,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,streptocarpa,NA,8279994,NA,Baker,NA
Henicodium geniculatum,NA,NA,accepted,GBIF:2678149,Henicodium geniculatum,species,accepted,GBIF:2678149,Plantae,Bryophyta,Bryopsida,Leucodontales,Pterobryaceae,Henicodium,geniculatum,NA,2678148,7711711,"W.R.Buck, 1989",NA
Pleopeltis pleopeltidis,NA,NA,accepted,GBIF:4028814,Pleopeltis pleopeltidis,species,accepted,GBIF:4028814,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,pleopeltidis,NA,2650485,5649872,de la Sota (Fée),NA
Leptotes bicolor,NA,NA,accepted,GBIF:5310500,Leptotes bicolor,species,accepted,GBIF:5310500,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,bicolor,NA,2803252,NA,Lindl.,NA
Acianthera hygrophila,NA,NA,accepted,GBIF:2839428,Acianthera hygrophila,species,accepted,GBIF:2839428,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,hygrophila,NA,7848554,2839433,Pridgeon & M.W.Chase (Barb.Rodr.),NA
Hymenophyllum polyanthos,NA,NA,accepted,GBIF:8051570,Hymenophyllum polyanthos,species,accepted,GBIF:8051570,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,polyanthos,NA,2651287,7944425,Sw. (Sw.),좀처녀이끼
Cattleya coccinea,NA,NA,accepted,GBIF:2811951,Cattleya coccinea,species,accepted,GBIF:2811951,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,coccinea,NA,2800821,NA,Lindl.,NA
Cattleya coccinea,NA,NA,accepted,GBIF:2811951,Cattleya coccinea,species,accepted,GBIF:2811951,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,coccinea,NA,2800821,NA,Lindl.,NA
Billbergia nutans,NA,NA,accepted,GBIF:2693788,Billbergia nutans,species,accepted,GBIF:2693788,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,nutans,NA,2693699,NA,H.Wendl. ex Regel,queens tears
Epidendrum secundum,NA,NA,accepted,GBIF:5319755,Epidendrum secundum,species,accepted,GBIF:5319755,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,secundum,NA,5297341,NA,Jacq.,thicket star orchid
Aechmea burle-marxii,Aechmea burle marxii,0.95,accepted | wasMisspelled,GBIF:2698286,Aechmea burle marxii,species,accepted,GBIF:2698286,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,burle-marxii,NA,2697812,NA,E.Pereira,NA
Campyloneurum rigidum,NA,NA,accepted,GBIF:4024021,Campyloneurum rigidum,species,accepted,GBIF:4024021,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Campyloneurum,rigidum,NA,7500358,NA,J.Sm.,NA
Serpocaulon catharinae,NA,NA,accepted,GBIF:4024085,Serpocaulon catharinae,species,accepted,GBIF:4024085,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Serpocaulon,catharinae,NA,7126636,7290130,A.R.Sm. (Langsd. & Fisch.),NA
Aechmea purpureorosea,NA,NA,accepted,GBIF:2698164,Aechmea purpureorosea,species,accepted,GBIF:2698164,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,purpureorosea,NA,2697812,2698170,Wawra (Hook.),NA
Octomeria fibrifera,NA,NA,accepted,GBIF:2817094,Octomeria fibrifera,species,accepted,GBIF:2817094,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Octomeria,fibrifera,NA,2816973,NA,Schltr.,NA
Philodendron fragrantissimum,NA,NA,accepted,GBIF:2870944,Philodendron fragrantissimum,species,accepted,GBIF:2870944,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,fragrantissimum,NA,2861312,2870952,G.Don (Hook.),shortstem philodendron
Phlegmariurus fontinaloides,NA,NA,accepted,GBIF:8066544,Phlegmariurus fontinaloides,species,accepted,GBIF:8066544,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,fontinaloides,NA,7641693,7286672,B.Øllg. (Spring),NA
Vriesea platynema,NA,NA,accepted,GBIF:5288935,Vriesea platynema,species,accepted,GBIF:5288935,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,platynema,NA,2699764,NA,Gaudich.,NA
Billbergia nutans,NA,NA,accepted,GBIF:2693788,Billbergia nutans,species,accepted,GBIF:2693788,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,nutans,NA,2693699,NA,H.Wendl. ex Regel,queens tears
