DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
KERB_08802,KERB,E8802,GUARAPUAVA,PARANA,PR,Brazil,ABUNDANCE,Flooded Forest,-25.521863,-51.416667,Forest fragment,Rio Sao Jeronimo,Angiosperms,Bromeliaceae,Tillandsia,tenuifolia,Tillandsia tenuifolia,facultative,Euphorbiaceae,Gymnanthes,klotzschiana,Gymnanthes klotzschiana,2003,2003,Abundance,984,1735,19.7000007629395,Savanna,YES,NA
JABOT_00685,JABOT,635992,ILHEUS,BAHIA,BA,Brazil,NA,NA,-14.65972,-39.14972,Coordinates given in the herbarium record,NA,Angiosperms,Piperaceae,Peperomia,obtusifolia,Peperomia obtusifolia,holoepiphyte,NA,NA,NA,NA,2015,2015,Presence_only,14,1773,25.7999992370605,Ombrophilous Forest,YES,NA
FRAL_01617,FRAL,E1617,JUIZ DE FORA,MATO GROSSO DO SUL,MS,Brazil,NA,Urban Green Area,-21.746667,-43.354722,50,Praca Mariano Procopio,Angiosperms,Bromeliaceae,Tillandsia,recurvata,Tillandsia recurvata,facultative,Fabaceae,Delonix,regia,Delonix regia,2015,2016,Presence_only,686,1503,23.5,Seasonal Forest,YES,NA
MANI_00272,MANI,E0272,UBATUBA,SAO PAULO,SP,Brazil,1,Dense Ombrophilous Forest,-23.35,-44.858333,Forest fragment,Parque Estadual da Serra do Mar-Nucleo Picinguaba,Angiosperms,Bromeliaceae,Vriesea,flammea,Vriesea flammea,facultative,NA,NA,NA,NA,2010,2011,Presence_only,175,2445,26.2999992370605,NA,YES,NA
ANNE_02715,ANNE,17541,ORLEANS,SANTA CATARINA,SC,Brazil,NA,Dense Ombrophilous Forest,-28.1667,-49.4,Municipality,Rio Minador,Angiosperms,Orchidaceae,Lankesterella,ceracifolia,Lankesterella ceracifolia,holoepiphyte,NA,NA,NA,NA,2009,2009,Presence_only,530,1583,20.8999996185303,Savanna,YES,NA
MENE2_25975,MENE2,E32704,UNA,BAHIA,BA,Brazil,NA,NA,-15.133333,-38.333333,Coordinates given in the herbarium record,"Serra Javi. 9Km ao S Sao Jose -Km 550-; 5.5Km a E BR-101, p/ Faz. Cascavel.",Angiosperms,Bromeliaceae,Vriesea,psittacina,Vriesea psittacina,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,NA,NA,NA,NA,NO,NA
ANNE_03304,ANNE,20521,JOINVILLE,SANTA CATARINA,SC,Brazil,NA,Dense Ombrophilous Forest,-26.1833,-49.0333,Municipality,Serra Dona Francisca,Angiosperms,Bromeliaceae,Nidularium,innocentii,Nidularium innocentii,holoepiphyte,NA,NA,NA,NA,2009,2009,Presence_only,897,1646,20.7999992370605,Ombrophilous Forest,YES,NA
MENE2_15854,MENE2,E23503,BALSA NOVA,PARANA,PR,Brazil,NA,NA,-25.5839,-49.6356,Coordinates given in the herbarium record,Base da Serra de Sao Luiz do Puruna,Angiosperms,Orchidaceae,Acianthera,serpentula,Acianthera serpentula,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,906,1332,21,Ombrophilous Forest,YES,NA
MENE2_10523,MENE2,E18657,CORUPA,SANTA CATARINA,SC,Brazil,NA,NA,-26.46,-49.41,Coordinates given in the herbarium record,Palmeiras II,Angiosperms,Piperaceae,Peperomia,quadrifolia,Peperomia quadrifolia,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,772,1499,21.1000003814697,Ombrophilous Forest,YES,NA
MENE2_08698,MENE2,E16998,ELDORADO,MATO GROSSO DO SUL,MS,Brazil,NA,NA,-23.7869,-54.2836,Coordinates given in the herbarium record,NA,Angiosperms,Piperaceae,Peperomia,circinnata,Peperomia circinnata,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,309,1544,25.3999996185303,Seasonal Forest,YES,NA
KERB_07552,KERB,E7552,FAZENDA RIO GRANDE,PARANA,PR,Brazil,ABUNDANCE,Mixed Ombrophilous Forest,-25.666271,-49.269229,Forest fragment,Fazenda Experimental Gralha Azul 2,Ferns,Polypodiaceae,Microgramma,squamulosa,Microgramma squamulosa,holoepiphyte,NA,NA,NA,NA,2015,2017,Abundance,910,1294,20.5,Ombrophilous Forest,YES,NA
KESS_00829,KESS,E0829,RIOZINHO,RIO GRANDE DO SUL,RS,Brazil,NA,NA,-29.6411,-50.4525,Municipality,NA,Angiosperms,Bromeliaceae,Vriesea,gigantea,Vriesea gigantea,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,303,1584,23.1000003814697,Seasonal Forest,YES,NA
MENE2_06698,MENE2,E1518,SAO LOURENCO DA MATA,PERNAMBUCO,PE,Brazil,NA,NA,-8.0022,-35.0183,Coordinates given in the herbarium record,Sao Bento,Angiosperms,Bromeliaceae,Aechmea,leptantha,Aechmea leptantha,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,29,1599,26.3999996185303,Ombrophilous Forest,YES,NA
