DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
FUME_04075,FUME,E4094,LIMA DUARTE,MATO GROSSO DO SUL,MS,Brazil,NA,Cloud Forest,-21.70193,-43.87246,100,"Parque Estadual do Ibitipoca, Gruta do Piao",Angiosperms,Piperaceae,Peperomia,tetraphylla,Peperomia tetraphylla,holoepiphyte,Myrtaceae,Eugenia,nutans,Eugenia nutans,2014,2014,Presence_absence,1301,1770,18,Seasonal Forest,YES,NA
PERB_00304,PERB,E0340,AFONSO CLAUDIO,ESPIRITO SANTO,ES,Brazil,NA,NA,-20.2023,-41.0805,Municipality,Varzeao,Angiosperms,Gesneriaceae,Nematanthus,crassifolius,Nematanthus crassifolius,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,858,1327,22,Ombrophilous Forest,YES,Example
KERB_06294,KERB,E6294,CAMPINA GRANDE DO SUL,PARANA,PR,Brazil,ABUNDANCE,NA,-25.240888,-48.830907,Forest fragment,Morro Caratuva,Angiosperms,Orchidaceae,Cattleya,coccinea,Cattleya coccinea,holoepiphyte,Symplocaceae,Symplocos,variabilis,Symplocos variabilis,2009,2011,Abundance,1714,1907,16.7999992370605,Ombrophilous Forest,YES,NA
MENE2_01513,MENE2,E10466,CAMACAN,BAHIA,BA,Brazil,NA,NA,-15.39,-39.57,Coordinates given in the herbarium record,"Serra Bonita -Serra da Torre-, 10 km N of Camacan on road to Jacareci, then 4.6 km. W on road to transmission towers",Angiosperms,Bromeliaceae,Hohenbergia,belemii,Hohenbergia belemii,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,221,1146,21.2999992370605,Ombrophilous Forest,YES,NA
MENE2_05239,MENE2,E13853,JOINVILLE,SANTA CATARINA,SC,Brazil,NA,NA,-26.37,-48.87,Coordinates given in the herbarium record,Proximoa Br-101,Angiosperms,Gesneriaceae,Nematanthus,fissus,Nematanthus fissus,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,110,1679,25.2000007629395,Ombrophilous Forest,YES,NA
PERE_00700,PERE,TS212 -2-,TEODORO SAMPAIO,SAO PAULO,SP,Brazil,NA,Forest Edge,-22.60840322,-52.1734303,10,Parque Estadual Morro do Diabo,Angiosperms,Moraceae,Ficus,citrifolia,Ficus citrifolia,hemiepiphyte,NA,NA,NA,NA,2007,2011,Presence_only,285,1193,25.7000007629395,Seasonal Forest,YES,"habito hemiepifitico; forofito; em avancado estado de decomposicao; amostragem assistematica em uma area de ~ 100.000 ha entre as coordenadas -52,513 dd -22,625 dd e -52,163 dd -22,265 dd.  habito terricola:nao"
CBOE_00386,CBOE,Tree65,SAO FRANCISCO DE PAULA,RIO GRANDE DO SUL,RS,Brazil,FO3,Mixed Ombrophilous Forest,-29.422903,-50.388865,Central point in study site,Floresta Nacional de Sao Francisco de Paula.,Ferns,Polypodiaceae,Campyloneurum,austrobrasilianum,Campyloneurum austrobrasilianum,holoepiphyte,Myrtaceae,Blepharocalyx,salicifolius,Blepharocalyx salicifolius,2007,2007,Abundance,917,2084,19.6000003814697,Savanna,YES,NA
MENE2_15585,MENE2,E23259,PRAIA GRANDE,SANTA CATARINA,SC,Brazil,NA,NA,-29.205,-50.074444,Coordinates given in the herbarium record,Trilha do Rio do Boi,Angiosperms,Orchidaceae,Acianthera,saundersiana,Acianthera saundersiana,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,513,1643,21.7999992370605,Savanna,YES,NA
MENE2_11563,MENE2,E19602,SILVA JARDIM,RIO DE JANEIRO,RJ,Brazil,NA,NA,-22.4666667,-42.5,Coordinates given in the herbarium record,"Reserva Ecologica Municipal de Macae de Cima, Trilha para o vale dos Xaxins.",Angiosperms,Piperaceae,Peperomia,trineuroides,Peperomia trineuroides,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,682,1394,24.5,Ombrophilous Forest,YES,NA
KERB_00334,KERB,E0334,ANTONINA,PARANA,PR,Brazil,ABUNDANCE,Secondary Forest,-25.378213,-48.800209,Forest fragment,RPPN Morro da mina,Angiosperms,Bromeliaceae,Nidularium,procerum,Nidularium procerum,holoepiphyte,NA,NA,NA,NA,2006,2009,Presence_only,79,2008,26.1000003814697,Ombrophilous Forest,YES,NA
