scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
Chiococca alba,Rubiaceae,Chiococca alba Hitchc.,Rubiaceae,Chiococca alba,(L.) Hitchc.,flowering plants,Accepted,Rubiaceae,(L.) Hitchc.,-10.8339,-52.8731,NA,GBIF,F,F,F,Botany,3567,1
NA,Melastomataceae,Lavoisiera DC.,Melastomataceae,Lavoisiera,DC.,flowering plants,Accepted,Melastomataceae,DC.,-15.533333,-47.55,1993-02-25,GBIF,UnB,UnB,UnB,UB,3120,1
NA,NA,Plantae,Plantaginaceae,Plantago,L.,flowering plants,Accepted,Plantaginaceae,L.,-25.361639,-50.915306,2013-07-07,GBIF,PNFM,PNFM,PNFM,IRAI,1954,1
Aspidosperma macrocarpon,Apocynaceae,Aspidosperma macrocarpon Mart.,Apocynaceae,Aspidosperma macrocarpon,Mart.,flowering plants,Accepted,Apocynaceae,Mart.,-13.519167,-45.015833,2000-02-16,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Jatropha ribifolia,Euphorbiaceae,Jatropha ribifolia,Euphorbiaceae,Jatropha ribifolia,(Pohl) Baill.,flowering plants,Accepted,Euphorbiaceae,(Pohl) Baill.,-9.328056,-40.551936,2010-03-18,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
NA,Apiaceae,Eryngium,Apiaceae,Eryngium,L.,flowering plants,Accepted,Apiaceae,L.,-11,-41,1996-03-12,SpeciesLink,UFBA,UFBA,UFBA,ALCB,1028,1
Panicum aquaticum,Poaceae,Panicum aquaticum Poir.,Poaceae,Panicum aquaticum,Poir.,flowering plants,Accepted,Poaceae,Poir.,-22.922308,-47.169767,1938-12-18,GBIF,IAC,IAC,IAC,IAC,3493,1
Merianthera sipolisii,Melastomataceae,Merianthera sipolisii (Glaz. & Cogn.) Wurdack,Melastomataceae,Merianthera sipolisii,(Glaz. & Cogn.) Wurdack,flowering plants,Accepted,Melastomataceae,(Glaz. & Cogn.) Wurdack,-18.182781,-43.618881,2001-10-14,GBIF,CAS,CAS,CAS,BOT-BC,3332,1
Guapira opposita,Nyctaginaceae,Guapira opposita (Vell.) Reitz,Nyctaginaceae,Guapira opposita,(Vell.) Reitz,flowering plants,Accepted,Nyctaginaceae,(Vell.) Reitz,-20.866667,-40.766667,1994-12-08,GBIF,USP,USP,USP,SPF,3527,1
Tillandsia tenuifolia,Bromeliaceae,Tillandsia tenuifolia,Bromeliaceae,Tillandsia tenuifolia,L.,flowering plants,Accepted,Bromeliaceae,L.,-12.431111,-41.993333,2000-08-21,SpeciesLink,UNICAMP,UNICAMP,UNICAMP,UEC,1030,1
Coutarea hexandra,Rubiaceae,Coutarea hexandra,Rubiaceae,Coutarea hexandra,(Jacq.) K. Schum.,flowering plants,Accepted,Rubiaceae,(Jacq.) K. Schum.,-5.865,-35.1858333333,2011-08-20,SpeciesLink,UFRN,UFRN,UFRN,UFRN,610,1
NA,Clusiaceae,Clusia,Clusiaceae,Clusia,L.,flowering plants,Accepted,Clusiaceae,L.,-24.70028,-47.54972,1990-04-25,NY,NY,NY,NY,Herbarium,104,1
Centrosema virginianum,Fabaceae,Centrosema virginianum (L.) Benth.,Fabaceae,Centrosema virginianum,NA,flowering plants,No opinion,Fabaceae,NA,-16.383333,-39.133333,1984-06-28,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Chromolaena maximilianii,Asteraceae,Chromolaena maximilianii (Schrad. ex DC.) R.M.King & H.Rob.,Asteraceae,Chromolaena maximilianii,(generic SCHRADER ex DC.) R.M. King & H. Rob.,flowering plants,Accepted,Asteraceae,(generic SCHRADER ex DC.) R.M. King & H. Rob.,-15.283333,-39.066667,1999-04-03,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
