Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Eduardo Gross,652890,"Nº Da Autorização/Licença Sisbio: 43273, Projeto: Nodulação E Fixação Biológica De Nitrogênio Em Espécies De Chamaecrista Moench (Cassieae - Caesalpinioideae) E Calliandra Benth. (Ingeae - Mimosoideae) Do Estado Da Bahia",22/09/2013,23/09/2013 a 25/09/2013,05/05/2015,Calliandra viscidula,NA,Calliandra viscidula,species,3,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra viscidula,Espécie não Ameaçada,NA,Parque Nacional Da Chapada Diamantina,Brasil,BA,NA,Espécie não Sensível,-12.944722,-41.280861,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.Mynssen,RB00618766,1203,29/11/2010,NA,30/10/2017,Gaultheria,NA,Gaultheria serrata (Vell.) Sleumer ex Kin.-Gouv. var. serrata,genus,NA,NA,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,NA,Espécie Ameaçada,Criticamente em Perigo,"Parque Nacional do Itatiaia, estrada entre a guarita do planalto e o abrigo Rebouças.",Brasil,Rio de Janeiro,Itatiaia,Espécie não Sensível,-22.385,-44.6816667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Silva, B.R.",RB00552410,1369,26/10/2004,NA,30/10/2017,Solanum,NA,Solanum kriegeri Giacomin & Stehmann,genus,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA,Espécie Ameaçada,Em Perigo,Parque Estadual do Ibitipoca. Mata nebular ente Lombada e Lagoa Seca.,Brasil,Minas Gerais,Lima Duarte,Espécie não Sensível,-21.6825,-43.8761111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.N. Fraga,RB00549137,2296,20/10/2008,NA,30/10/2017,Hypolytrum amorimii,NA,Hypolytrum amorimii M.Alves & W.W.Thomas,species,NA,NA,Magnoliophyta,Liliopsida,Poales,Cyperaceae,Hypolytrum,Hypolytrum amorimii,Espécie Ameaçada,Criticamente em Perigo,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",Brasil,Espírito Santo,Cariacica,Espécie não Sensível,-20.2666667,-40.5166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,TACIANA BARBOSA CAVALCANTE,RB00209728,1170,10/03/1992,NA,30/10/2017,Cuphea,NA,Cuphea sessilifolia Mart.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,NA,Espécie Ameaçada,Criticamente em Perigo,ÁREA DE EMPRESTIMO ME 33. PRÓXIMO AO PORTÃO DE SAÍDA PARA MINAÇÚ.,Brasil,Goiás,Minaçu,Espécie não Sensível,-13.45,-48.35,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Barbara Rocha Venancio,868750,"Nº Da Autorização/Licença Sisbio: 47960, Projeto: Projeto Em Grande Escala Na Verificação Genética De Madeira",08/06/2015,09/06/2015 a 11/06/2015,14/05/2020,Tabebuia,NA,Tabebuia,genus,1,NA,Magnoliophyta,Magnoliopsida,Scrophulariales,Bignoniaceae,Tabebuia,NA,Espécie Ameaçada,Em Perigo,Reserva Extrativista Tapajós Arapiuns,Brasil,PA,NA,Espécie não Sensível,-3.255833,-55.540556,Coordenada exata da ocorrência,NA,Destinado a laboratório
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,P.Z. Giroldo,RB01313630,13,12/04/2015,NA,30/10/2017,Microstachys,NA,Microstachys,genus,NA,NA,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Microstachys,NA,Espécie não Ameaçada,NA,Estação Ecológica de Itirapina,Brasil,São Paulo,Itirapina,Espécie não Sensível,-22.235,-47.8861111,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Gustavo Martinelli,893623,"Nº Da Autorização/Licença Sisbio: 48504, Projeto: Conservação De Espécies Da Flora Criticamente Em Perigo De Extinção Do Cerrado",11/10/2015,12/10/2015 a 12/10/2015,04/05/2016,Asteraceae,NA,Asteraceae,family,1,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,Espécie não Ameaçada,NA,Parque Estadual Do Rio Preto,Brasil,MG,Sao Goncalo Do Rio Preto,Espécie não Sensível,-18.130556,-43.379167,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G. Heiden,RB01146058,1051,24/05/2009,NA,30/10/2017,Baccharis gnaphalioides,NA,Baccharis gnaphalioides Spreng.,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis gnaphalioides,Espécie não Ameaçada,NA,Ilha dos Marinheiros Marambaia.,Brasil,Rio Grande do Sul,Rio Grande,Espécie não Sensível,-31.9969444,-52.1005556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.A. Lombardi,RB00754510,8300,11/04/2011,NA,30/10/2017,Blechnum,NA,Blechnum schomburgkii (Klotzsch) C.Chr.,genus,NA,NA,Pteridophyta,Filicopsida,Polypodiales,Blechnaceae,Blechnum,NA,Espécie Ameaçada,Criticamente em Perigo,"Parque Nacional da Serra dos Órgãos, trilha para o Alojamento 04 e a Pedra do Sino, ca.",Brasil,Rio de Janeiro,Teresópolis,Espécie não Sensível,-22.4166667,-42.9833333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Aparecida da Silva,RB00421869,5160,22/03/2002,NA,30/10/2017,Zanthoxylum,NA,Zanthoxylum rhoifolium Lam.,genus,NA,NA,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,NA,Espécie não Ameaçada,NA,"Fazenda Funil. Propriedade do Grupo Itaú, faz divisa com a Fazenda do Sr. Osmar Gulhão Carneiro, nas proximidades do Rio Preto.",Brasil,Goiás,Cocalzinho de Goiás,Espécie não Sensível,-15.6402777,-48.7155556,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L.C.SOUZA,RB00142965,293,10/03/1998,NA,30/10/2017,Chamaecrista rotundifolia,NA,Chamaecrista rotundifolia (Pers.) Greene,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista rotundifolia,Espécie não Ameaçada,NA,EST. EXP.,Brasil,São Paulo,Itapetininga,Espécie não Sensível,-23.5666667,-48,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Gisela Pelissari,211908,"Nº Da Autorização/Licença Sisbio: 30360, Projeto: Moraceae Gaudich. Da Serra Da Mantiqueira: Flora E Padrões De Distribuição Geográfica",15/02/2011,16/02/2011 a 16/02/2011,31/10/2014,Dorstenia,NA,Dorstenia dolichocaula,genus,1,NA,Magnoliophyta,Magnoliopsida,Urticales,Moraceae,Dorstenia,NA,Espécie Ameaçada,Em Perigo,Proximidades Do Parque Nacional Do Itatiaia,Brasil,RJ,Itatiaia,Espécie não Sensível,-22.322778,-44.588611,Coordenada exata da ocorrência,NA,Depositado em coleção/museu
