coreid,aec.associatedTaxa,dc.rights,dcterms.accessRights,dcterms.bibliographicCitation,dcterms.language,dcterms.license,dcterms.modified,dcterms.references,dcterms.rights,dcterms.rightsHolder,dcterms.source,dcterms.type,dwc.Identification,dwc.MeasurementOrFact,dwc.ResourceRelationship,dwc.VerbatimEventDate,dwc.acceptedNameUsage,dwc.accessRights,dwc.associatedMedia,dwc.associatedOccurrences,dwc.associatedOrganisms,dwc.associatedReferences,dwc.associatedSequences,dwc.associatedTaxa,dwc.basisOfRecord,dwc.bed,dwc.behavior,dwc.catalogNumber,dwc.class,dwc.classs,dwc.collectionCode,dwc.collectionID,dwc.continent,dwc.coordinatePrecision,dwc.coordinateUncertaintyInMeters,dwc.country,dwc.countryCode,dwc.county,dwc.dataGeneralizations,dwc.datasetID,dwc.datasetName,dwc.dateIdentified,dwc.day,dwc.decimalLatitude,dwc.decimalLongitude,dwc.disposition,dwc.dynamicProperties,dwc.earliestAgeOrLowestStage,dwc.earliestEonOrLowestEonothem,dwc.earliestEpochOrLowestSeries,dwc.earliestEraOrLowestErathem,dwc.earliestPeriodOrLowestSystem,dwc.endDayOfYear,dwc.establishmentMeans,dwc.eventDate,dwc.eventID,dwc.eventRemarks,dwc.eventTime,dwc.family,dwc.fieldNotes,dwc.fieldNumber,dwc.footprintSRS,dwc.footprintSpatialFit,dwc.footprintWKT,dwc.formation,dwc.genus,dwc.geodeticDatum,dwc.geologicalContextID,dwc.georeferenceProtocol,dwc.georeferenceRemarks,dwc.georeferenceSources,dwc.georeferenceVerificationStatus,dwc.georeferencedBy,dwc.georeferencedDate,dwc.group,dwc.habitat,dwc.higherClassification,dwc.higherGeography,dwc.higherGeographyID,dwc.highestBiostratigraphicZone,dwc.identificationID,dwc.identificationQualifier,dwc.identificationReferences,dwc.identificationRemarks,dwc.identificationVerificationStatus,dwc.identifiedBy,dwc.individualCount,dwc.informationWithheld,dwc.infraspecificEpithet,dwc.institutionCode,dwc.institutionID,dwc.island,dwc.islandGroup,dwc.kingdom,dwc.language,dwc.latestAgeOrHighestStage,dwc.latestEonOrHighestEonothem,dwc.latestEpochOrHighestSeries,dwc.latestEraOrHighestErathem,dwc.latestPeriodOrHighestSystem,dwc.lifeStage,dwc.lithostratigraphicTerms,dwc.locality,dwc.locationAccordingTo,dwc.locationID,dwc.locationRemarks,dwc.lowestBiostratigraphicZone,dwc.materialSampleID,dwc.maximumDepthInMeters,dwc.maximumElevationInMeters,dwc.member,dwc.minimumDepthInMeters,dwc.minimumElevationInMeters,dwc.modified,dwc.month,dwc.municipality,dwc.nameAccordingTo,dwc.namePublishedIn,dwc.namePublishedInID,dwc.namePublishedInYear,dwc.nomenclaturalCode,dwc.nomenclaturalStatus,dwc.occurrenceDetails,dwc.occurrenceID,dwc.occurrenceRemarks,dwc.occurrenceStatus,dwc.order,dwc.organismID,dwc.organismName,dwc.organismQuantity,dwc.organismQuantityType,dwc.organismRemarks,dwc.originalNameUsage,dwc.otherCatalogNumbers,dwc.ownerInstitutionCode,dwc.parentNameUsage,dwc.phylum,dwc.pointRadiusSpatialFit,dwc.preparations,dwc.previousIdentifications,dwc.recordNumber,dwc.recordedBy,dwc.reproductiveCondition,dwc.rights,dwc.rightsHolder,dwc.sampleSizeValue,dwc.samplingEffort,dwc.samplingProtocol,dwc.scientificName,dwc.scientificNameAuthorship,dwc.scientificNameID,dwc.sex,dwc.specificEpithet,dwc.startDayOfYear,dwc.stateProvince,dwc.subgenus,dwc.taxonID,dwc.taxonRank,dwc.taxonRemarks,dwc.taxonomicStatus,dwc.typeStatus,dwc.verbatimCoordinateSystem,dwc.verbatimCoordinates,dwc.verbatimDepth,dwc.verbatimElevation,dwc.verbatimEventDate,dwc.verbatimLatitude,dwc.verbatimLocality,dwc.verbatimLongitude,dwc.verbatimSRS,dwc.verbatimTaxonRank,dwc.vernacularName,dwc.waterBody,dwc.year,gbif.Identifier,gbif.Reference,gbif.identifiedByID,gbif.recordedByID,idigbio.recordId,symbiota.recordEnteredBy,symbiota.verbatimScientificName,zan.ChronometricDate
917ff584-91f8-4846-ae68-8a58a5e45f37,NA,NA,NA,NA,en,NA,T09:23+0400,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094960,NA,The New York Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,00980730,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,South America,NA,NA,Brazil,NA,NA,NA,NA,Vascular plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892-07,NA,NA,NA,Fabaceae,NA,NA,NA,NA,NA,NA,Senna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R. C. Barneby,NA,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,Mattogrosso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,ICN,NA,NA,3697475b-82c4-42a9-963f-51c8d41eb5f7,NA,NA,Fabales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,sheet,NA,s.n.,C. E. O. Kuntze,NA,NA,NA,NA,NA,NA,Senna pendula (Willd.) H.S.Irwin & Barneby,(Willd.) H.S.Irwin & Barneby,NA,NA,pendula,NA,Mato Grosso,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,Jul 1892,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,NA
410a189e-4c7e-471f-aa72-baef21396029,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1558718109,NA,NA,HEPH - HerbÃ¡rio Ezechias Paulo Heringer,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,11645,NA,NA,HEPH,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,HEPH - HerbÃ¡rio Ezechias Paulo Heringer,2000-02-29,18,-15.866667,-47.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lauraceae,NA,NA,NA,NA,NA,NA,Ocotea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baitello, JB",NA,NA,NA,Jardim BotÃ¢nico de BrasÃ­lia,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,EstaÃ§Ã£o EcolÃ³gica do Jardim BotÃ¢nico de BrasÃ­lia prÃ³ximo ao Transecto 3,NA,NA,NA,NA,NA,NA,1025,NA,NA,1025,NA,1,BrasÃ­lia,NA,NA,NA,NA,NA,NA,NA,BRA:JBB:HEPH:11645,Esteril. T3-458; Ãrvore; Mata-de-galeria;,NA,Laurales,NA,NA,NA,NA,NA,NA,NA,Jardim BotÃ¢nico de BrasÃ­lia,NA,Magnoliid,NA,NA,NA,105,"Silva, F",NA,NA,NA,NA,NA,NA,Ocotea glaziovii,Mez,NA,NA,glaziovii,NA,Distrito Federal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.85,NA,-15.866667,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA
c20f4758-df64-4bd0-840b-817e0c031aa2,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1593096170,NA,NA,HPBR - HerbÃ¡rio Padre Balduino Rambo,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,6903,NA,NA,HPBR,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,HPBR - HerbÃ¡rio Padre Balduino Rambo,2007-08-11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,NA,NA,NA,NA,NA,NA,Psidium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUTDKE, J.",1,NA,NA,Universidade Regional Integrada do Alto Uruguai e das MissÃµes,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,PARQ. MUNIC LONGINES MALINOWSKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Erechim,NA,NA,NA,NA,NA,NA,NA,BRA:URICER:HPBR:6903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universidade Regional Integrada do Alto Uruguai e das MissÃµes,NA,NA,NA,NA,NA,NA,"TOMAZIN, A.",NA,NA,NA,NA,NA,NA,Psidium cattleianum,Sabine,NA,NA,cattleianum,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
465c4b88-25a6-49cd-aa07-92a6e7b25b9f,NA,NA,NA,http://www.tropicos.org/Specimen/2986384,NA,http://creativecommons.org/licenses/by/4.0/legalcode,2008-05-27 22:02:00.0,NA,NA,Missouri Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,2986384,NA,NA,MO,http://biocol.org/urn:lsid:biocol.org:col:15859,South America,NA,NA,Brazil,BR,NA,NA,NA,Tropicos,2001,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solanaceae,NA,NA,NA,NA,NA,NA,Solanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M. Nee,NA,NA,NA,MO,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"AmazÃ´nia. ZÃ¡ Doca, km 180 da BR 316, 13km da acceso. Mata de terra firme, relevo ondulado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,ICNafp,No opinion,NA,urn:catalog:MO:Tropicos:2986384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOBOT,NA,NA,NA,NA,NA,Rosa 2932,Nelson A. Rosa,NA,NA,NA,NA,NA,NA,Solanum proteanthum Bohs,Bohs,NA,NA,proteanthum,NA,MaranhÃ£o,NA,50077684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978,NA,NA,NA,NA,NA,NA,NA,NA
72d278db-93a1-4b7d-9324-405ff39c7f97,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1575464272,NA,NA,MAC - HerbÃ¡rio do Instituto do Meio Ambiente do Estado de Alagoas,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,4684,NA,NA,MAC,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,MAC - HerbÃ¡rio do Instituto do Meio Ambiente do Estado de Alagoas,2009-02-20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verbenaceae,NA,NA,NA,NA,NA,NA,Lantana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E.C.O.Chagas,NA,NA,NA,IMA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"BR-316, prÃ³ximo ao acesso para Arapiraca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Santana do Ipanema,NA,NA,NA,NA,NA,NA,NA,BRA:IMA:MAC:4684,Erva; Agreste,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instituto do Meio Ambiente do Estado de Alagoas,NA,NA,NA,NA,NA,887,G.L.Esteves; et al.,NA,NA,NA,NA,NA,NA,Lantana canescens,Kunth,NA,NA,canescens,NA,Alagoas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,NA,NA,NA,NA,NA,NA,NA,NA
c3b85e4d-977f-4e2f-b1bd-6aa2820ca067,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1474310647,NA,NA,UB - HerbÃ¡rio da Universidade de BrasÃ­lia,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,187887,NA,NA,UB,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,UB - HerbÃ¡rio da Universidade de BrasÃ­lia,1999,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ericaceae,NA,NA,NA,NA,NA,NA,Gaylussacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Floyd, JW",NA,NA,brasiliensis,UnB,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,EstaÃ§Ã£o Florestal CabeÃ§a de Veado,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,4,BrasÃ­lia,NA,NA,NA,NA,NA,NA,NA,BRA:UNB:UB:187887,Ãrvore 3m. Galhos pendentes. Flores rÃ³seas-vermelhas. Fruto roxo depois de maduro.; Margem de cerrado mata ciliar,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universidade de BrasÃ­lia,NA,Dicotyledoneae,NA,NA,NA,14562,"Heringer, EP",NA,NA,NA,NA,NA,NA,Gaylussacia brasiliensis brasiliensis,(Spreng) Meisn.,NA,NA,brasiliensis,NA,Distrito Federal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,NA
02fa5f9c-0b24-4a1d-8242-4483518697c8,NA,NA,NA,NA,pt,NA,1411689600,NA,NA,Instituto Nacional de Pesquisas da AmazÃ´nia (INPA),NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,6112,NA,NA,"ColeÃ§Ã£o BotÃ¢nica, Instituto Nacional de Pesquisas da AmazÃ´nia (INPA)",NA,NA,NA,NA,Brasil,BR,Manaus,NA,NA,"ColeÃ§Ã£o BotÃ¢nica, Instituto Nacional de Pesquisas da AmazÃ´nia (INPA)",1984-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1961-02-26,NA,NA,NA,Euphorbiaceae,NA,NA,NA,NA,NA,NA,Anomalocalyx,desconhecido,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secco, R.S.",NA,NA,NA,Instituto Nacional de Pesquisas da AmazÃ´nia (INPA),NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,Parque 10 de Novembro.,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:catalog:inpa:herbarium:120777,NA,NA,Malpighiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicotyledon,NA,NA,NA,INPA6112,Mike Hopkins,NA,NA,NA,NA,NA,NA,Anomalocalyx uleanus (Pax & K.Hoffm.) Ducke,NA,NA,NA,uleanus,NA,Amazonas,NA,NA,espÃ©cie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319ca2d9-0757-46eb-9db6-e298c58791fc,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1596633564,NA,NA,HURB - HerbÃ¡rio do RecÃ´ncavo da Bahia,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,5730,NA,NA,HURB,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,HURB - HerbÃ¡rio do RecÃ´ncavo da Bahia,2014,11,-13.579167,-39.691389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sapotaceae,NA,NA,NA,NA,NA,NA,Pouteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.A. AraÃºjo,NA,NA,NA,UFRB,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"EstaÃ§Ã£o EcolÃ³gica, assentamento Patioba;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Wenceslau GuimarÃ£es,NA,NA,NA,NA,NA,NA,NA,BRA:UFRB:HURB:5730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universidade Federal do RecÃ´ncavo da Bahia,NA,NA,NA,NA,NA,2371,"Aona, L.Y.S.; Biggs, N.; Jardim, J.; Lucas, E.; Mazine, F.F.",NA,NA,NA,NA,NA,NA,Pouteria gardneri,(Mart. & Miq.) Baehni,NA,NA,gardneri,NA,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39Â°41'29"" W",NA,"13Â°34'45"" S",NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA
da73cd95-f35b-4174-bb73-4bbc1083cb1e,NA,NA,NA,NA,NA,NA,2012-11-30 00:00:00.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,NA,NA,NA,Herbarium,NA,NA,NA,NA,Brazil,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1821-06-00,NA,NA,NA,MELASTOMATACEAE,NA,NA,NA,NA,NA,NA,Miconia,NA,NA,Label,NA,NA,NA,NA,NA,NA,Hab. in sylv montas,MELASTOMATACEAE,IlhÃ©us,NA,NA,NA,NA,NA,NA,NA,Cogniaux,NA,NA,NA,K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IlhÃ©us,NA,NA,NA,NA,NA,NA,NA,http://specimens.kew.org/herbarium/K000828876,Recd. September 4. 1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7779,Riedel,NA,NA,NA,NA,NA,NA,Miconia hypoleuca (Benth.) Triana,(Benth.) Triana,NA,NA,hypoleuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77ec3501-6c76-4535-83fd-fb766fb2a43b,NA,NA,NA,NA,en,NA,T09:20+0400,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=814999,NA,The New York Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,814671,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,South America,NA,NA,Brazil,NA,NA,NA,NA,Vascular plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,NA,NA,NA,Polypodiaceae,NA,NA,NA,NA,NA,NA,Polypodium,NA,NA,NA,NA,NA,NA,NA,NA,NA,In arboribus putridis.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,Alto da Serra.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICN,NA,NA,6656927b-614e-46c5-96b1-0cbe9771edfc,NA,NA,Polypodiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pteridophyta,NA,sheet,NA,s.n.,M. Wacket,NA,NA,NA,NA,NA,NA,Polypodium typicum FÃ©e,FÃ©e,NA,NA,typicum,NA,SÃ£o Paulo,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,1906,NA,NA,NA,NA,NA,NA,NA,1906,NA,NA,NA,NA,NA,NA,NA,NA
