original_site_code,sitename,lat,long,country,species_name
AmzAC004,"Tarauacá, floresta pluvial de terra firme",-8.05083333333333,-71.2461111111111,Brasil,Buchenavia viridiflora
AtlSP182,"Campinas, floresta semidecídua",-22.8219444444444,-47.11,Brasil,Lacistema hasslerianum
AtlES054,"Colatina, floresta semidecídua",-19.5838888888889,-40.6430555555556,Brasil,Pouteria grandiflora
AtlES022,"Mussununga de Conceição da Barra, mosaico de areias brancas",-18.5872222222222,-39.8972222222222,Brasil,Vochysia tucanorum
AmzTO005,"Xambioá, floresta estacional de terra firme",-6.49027777777778,-48.5241666666667,Brasil,Eugenia flavescens
CerMG104,"Santa Fé de Minas, floresta decídua",-16.8819444444444,-45.3222222222222,Brasil,Dalbergia glaucescens
CaaMG023,"Jaíba, Serra de Verdelândia, caatinga arbórea",-15.4469444444444,-43.5311111111111,Brasil,Maytenus rigida
CerMG138,"Baldim, cerradão mesotrófico",-19.2722222222222,-44.0019444444444,Brasil,Stryphnodendron adstringens
CerTO123,"Porto Nacional, Ecodiesel, cerrado",-10.6413888888889,-48.3622222222222,Brasil,Leptolobium dasycarpum
AmzAM180,"Lábrea, Transamazônica, floresta pluvial de terra firme",-7.44305555555556,-64.6652777777778,Brasil,Cordia toqueve
AtlRS082,"Sinimbu, floresta semidecídua",-29.4063888888889,-52.5447222222222,Brasil,Dicksonia sellowiana
CaaPB031,"São João do Cariri, caatinga quartzosa árida",-7.39888888888889,-36.4919444444444,Brasil,Amburana cearensis
AtlMG140,"Joaíma, nanofloresta semidecídua",-16.6386111111111,-41.2205555555556,Brasil,Pera glabrata
AtlRJ086,"Agulhas Negras, nanofloresta rupícola",-22.4080555555556,-44.6513888888889,Brasil,Solanum latiflorum
AtlMG209,"Carangola, floresta semidecídua",-20.6741666666667,-41.9997222222222,Brasil,Guatteria campestris
AtlSP182,"Campinas, floresta semidecídua",-22.8219444444444,-47.11,Brasil,Virola bicuhyba
CerMS101,"Aparecida do Taboado, cerrado",-20.1113888888889,-51.2927777777778,Brasil,Siparuna guianensis
AtlSC097,"São Martinho, floresta pluvial",-28.08,-48.87,Brasil,Baccharis dentata
CerPA007,"Conceição do Araguaia, Serra Preta, cerradão mesotrófico",-8.58472222222222,-49.6766666666667,Brasil,Luehea grandiflora
CerGO011,"Pirenópolis, floresta ripícola",-15.765,-49.0675,Brasil,Myrcia multiflora
AtlMG204,"Rio Pomba, floresta semidecídua",-21.2730555555556,-43.1052777777778,Brasil,Cupania ludowigii
AmzAM032,"Manaus, Tarumã-Açu, floresta pluvial de terra firme",-2.89027777777778,-60.1475,Brasil,Gaulettia canomensis
CaaBA125,"Serra do Monte Alto, caatinga arbórea",-14.4216666666667,-43.0272222222222,Brasil,Myrcia guianensis
