original_site_code,sitename,lat,long,country,species_name
AmzAM115,"Balbina, Campina de Pedras, nanofloresta de areias brancas",-1.70138888888889,-61.2977777777778,Brasil,Ficus americana
AtlBA082,"Serra Bonita, Camacan, floresta pluvial",-15.3925,-39.57,Brasil,Salacia grandifolia
AtlRJ066,"MaciÃ§o do TinguÃ¡, floresta pluvial",-22.5511111111111,-43.4130555555556,Brasil,Handroanthus umbellatus
AtlMG080,"Pico do ItambÃ©, nanofloresta rupÃ­cola",-18.4319444444444,-43.3625,Brasil,Paralychnophora bicolor
CerGO154,"Porangatu, cerrado",-12.8588888888889,-49.1047222222222,Brasil,Stryphnodendron rotundifolium
AmzAM103,"Itacoatiara-Mirim, nanofloresta de areias brancas",-0.145833333333333,-66.9733333333333,Brasil,Pagamea coriacea
AtlBA132,"Seabra, floresta semidecÃ­dua",-12.3772222222222,-41.7777777777778,Brasil,Cordiera elliptica
AtlMG029,"Ipanema, floresta semidecÃ­dua",-19.8038888888889,-41.7075,Brasil,Cordia trachyphylla
AmzAM167,"MauÃ©s, Alto Parauari, floresta pluvial de terra firme",-4.60833333333333,-57.4805555555556,Brasil,Tococa coronata
CaaMG035,"Taiobeiras, floresta decÃ­dua",-15.8702777777778,-42.0655555555556,Brasil,Cestrum axillare
CaaBA117,"Carinhanha, caatinga arbÃ³rea",-13.9311111111111,-43.8683333333333,Brasil,Solanum gardneri
AmzMA025,"Buriticupu, floresta estacional de terra firme",-3.88555555555556,-46.2597222222222,Brasil,Protium sagotianum
CerDF015,"Jardim BotÃ¢nico de BrasÃ­lia, cerrado",-15.9022222222222,-47.8761111111111,Brasil,Zeyheria montana
AmzAP035,"MazagÃ£o, Cachoeira do Varador, floresta pluvial de terra firme",-0.179722222222222,-52.0352777777778,Brasil,Tococa coronata
AmzAM142,"Lago AmanÃ£, Bom Jesus do BarÃ©, floresta pluvial de terra firme",-2.47888888888889,-64.7038888888889,Brasil,Miconia chrysophylla
AtlMG015,"BraÃºnas, floresta semidecÃ­dua",-19.1402777777778,-42.7633333333333,Brasil,Ocotea odorifera
AmzAP026,"Serra do Navio, Alto Rio AnacuÃ­, floresta pluvial de terra firme",1.83305555555556,-52.7319444444444,Brasil,Machaerium ferox
AtlSP148,"Limeira, floresta semidecÃ­dua",-22.6102777777778,-47.3344444444444,Brasil,Piper mollicomum
CaaCE009,"Russas, caatinga arenÃ­cola",-4.89611111111111,-38.1744444444444,Brasil,Ziziphus joazeiro
CerMT066,"Itiquira, floresta ripÃ­cola",-17.2305555555556,-54.5741666666667,Brasil,Guarea guidonia
