datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2020-04-27T19:11:31Z,UFES,VIES,46966,Randia armata,S,Plantae,NA,NA,NA,Rubiaceae,Randia,armata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Firmino, A.D.; Valadares, R.T.",NA,NA,NA,NA,NA,NA,Brasil,EspÃ­rito Santo,NA,"Reserva de Comboios, prÃ³ximo Ã  reserva indÃ­gena. Ponto de amostragem 8.",-39.931944,-19.696944,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-17T13:47:48Z,UFPE,UFP,75571,Epidendrum campaccii,PreservedSpecimen,Plantae,NA,NA,NA,Orchidaceae,Epidendrum,campaccii,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pessoa, E.; Amorim, B.S.; Maciel, J.R. & Costa, J.L.",NA,NA,NA,NA,NA,NA,Brasil,CearÃ¡,NA,Estrada de Acesso,-38.970556,-4.207222,NA,NA,NA,NA,988,988,NA,NA,NA,NA,NA,NA,NA,NA,EpÃ­fita com flores esverdeadas.,NA
2020-03-05T17:10:37Z,UNEMAT,HPAN,2692,NA,PreservedSpecimen,Plantae,NA,NA,NA,Pilotrichaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coelho, TAS; Batista, JS",NA,NA,NA,NA,NA,NA,Brasil,Mato Grosso,NA,"CÃ³rrego Piraputanga, ChÃ¡cara dos Montechi.",-57.577167,-16.058472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-03T01:08:26Z,UNESC,CRI,12963,Asplenium kunzeanum,PreservedSpecimen,Plantae,NA,NA,NA,Aspleniaceae,Asplenium,kunzeanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oliveira, A.A. de",NA,NA,NA,NA,NA,NA,Brasil,Santa Catarina,NA,Serra-Vale da Morte. Serra-Vale da Morte.,-50.580278,-26.381389,NA,NA,NA,NA,1226,1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-04T18:25:42Z,PUCPR,HUCP,17879,Myrsine ferruginea,S,Plantae,NA,NA,NA,Primulaceae,Myrsine,ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bonaldi, R",NA,NA,NA,NA,NA,NA,Brasil,ParanÃ¡,NA,Morro InglÃªs,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-06T14:58:17Z,UFU,HUFU,32833,Hyptis lantanifolia,S,Plantae,NA,NA,NA,Lamiaceae,Hyptis,lantanifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbosa, A.A.A.",NA,NA,NA,NA,NA,NA,Brasil,Minas Gerais,NA,Reserva do Clube CaÃ§a e Pesca ItororÃ³,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erva com flor rÃ³sea.; Meio da vereda.,NA
2018-05-21T16:27:55Z,MBML,MBML-HERBARIO,52884,NA,NA,Plantae,NA,NA,NA,Rubiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. P. Fontana; K.A. Brahim, L. Kosanke & N.P. Raasch",NA,NA,NA,NA,NA,NA,Brasil,EspÃ­rito Santo,NA,Tijuco Preto. Serra do Tijuco Preto. Pedra do Tijuco Preto.,-40.940833,-20.199444,NA,NA,NA,NA,1352,1352,NA,NA,NA,NA,NA,NA,NA,NA,Rastejante. Flores lilÃ¡s. Projeto CORES-JBRJ.,NA
2020-09-12T08:00:02Z,US,US,NA,Cochlospermum regium,PreservedSpecimen,Plantae,NA,Dicotyledonae,Violales,Cochlospermaceae,Cochlospermum,regium,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. Eiten & L. T. Eiten,NA,NA,NA,NA,NA,NA,Brazil,MaranhÃ£o,NA,"""\""Ilha de Balsas\"" region, between the Rios Balsas and ParnaÃ­ba, 300 m N of main house of Fazenda Â´Morros\"", about 35 Km south of LÃ´reto""",-45.07,-7.38,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2020-05-19T14:38:02Z,FEPAGRO,BLA,9747,Euphorbia serpens var. microphylla,PreservedSpecimen,Plantae,NA,NA,NA,Euphorbiaceae,Euphorbia,serpens,var. microphylla,NA,NA,NA,NA,NA,NA,NA,NA,A. Pott,NA,NA,NA,NA,NA,NA,Brasil,Rio Grande do Sul,NA,EstaÃ§Ã£o Experimental,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ex ICN 26101.,NA
2019-07-02T17:59:32Z,CPAP,CPAP,7906,NA,S,Plantae,NA,NA,NA,Convolvulaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pott, V. J.; Bueno, N. C.; Arantes, A.",NA,NA,NA,NA,NA,NA,Brasil,MS,NA,Terras,-57.65,-19.016667,NA,NA,NA,NA,140,140,NA,NA,NA,NA,NA,NA,NA,NA,Terrestre,NA
2018-02-26T21:32:02Z,UFMT,UFMT,28246,NA,S,Plantae,NA,NA,NA,Cyperaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Souza, V.C.; Souza, J.P.; Astorino, A.; Rezende, M.M.",NA,NA,NA,NA,NA,NA,Brasil,Mato Grosso,NA,Fazenda Estrela. Topo da Serra de ApiacÃ¡s. Ca. 90 Km S (em linha reta) de Alta Floresta.,-56.4,-10.616667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erva, espiguetas castanhas.; Savana Arborizada (cerrado) com solo pedregoso.",NA
2020-08-20T23:39:27Z,UFSC,FLOR,64334,Verbena montevidensis,PreservedSpecimen,Plantae,NA,NA,Lamiales,Verbenaceae,Verbena,montevidensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lozano, E.D.",NA,NA,NA,NA,NA,NA,Brasil,ParanÃ¡,NA,"PrÃ³ximo ao reservatÃ³rio Piraquara II, estrada para o Morro do Canal.",-49.013889,-25.516111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subarbusto, 1m, flores lilases",NA
2020-09-01T15:48:08Z,UNIVASF,HVASF,1944,Croton heliotropiifolius,PreservedSpecimen,Plantae,NA,NA,NA,Euphorbiaceae,Croton,heliotropiifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA,V.D. Silva,NA,NA,NA,NA,NA,NA,Brasil,Pernambuco,NA,SÃ­tio do Pontal,-39.43825,-8.520194,NA,NA,NA,NA,326,326,NA,NA,NA,NA,NA,NA,NA,NA,#,NA
