database_id,verbatim_scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country_suggested,countryCode,.uncer_terms,original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,.rou,.val,.equ,.zer,.cap,.cen,.urb,.otl,.gbf,.inst,.dpl,.eventDate_empty,year,.year_outOfRange,.summary
AT_EPIPHYTES_1,Tillandsia tenuifolia,-25.521863,-51.416667,E8802,2003,Brazil,PARANA,GUARAPUAVA,Rio Sao Jeronimo,Forest fragment,NA,NA,NA,NA,Brazil,BR,TRUE,Tillandsia tenuifolia,NA,NA,accepted,GBIF:2695114,Tillandsia tenuifolia,species,accepted,GBIF:2695114,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,tenuifolia,NA,8279994,NA,L.,narrowleaf airplant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2003,TRUE,TRUE
AT_EPIPHYTES_2,Peperomia obtusifolia,-14.65972,-39.14972,635992,2015,Brazil,BAHIA,ILHEUS,NA,Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Peperomia obtusifolia,NA,NA,accepted,GBIF:3086423,Peperomia obtusifolia,species,accepted,GBIF:3086423,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,obtusifolia,NA,3086367,3086426,A.Dietr. (L.),pepper face,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2015,TRUE,TRUE
AT_EPIPHYTES_3,Tillandsia recurvata,-21.746667,-43.354722,E1617,2016,Brazil,MATO GROSSO DO SUL,JUIZ DE FORA,Praca Mariano Procopio,50,NA,NA,NA,NA,Brazil,BR,TRUE,Tillandsia recurvata,NA,NA,accepted,GBIF:2695588,Tillandsia recurvata,species,accepted,GBIF:2695588,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,recurvata,NA,8279994,5287808,L. (L.),Tillandsia recta o heno pequeno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2016,TRUE,FALSE
AT_EPIPHYTES_4,Vriesea flammea,-23.35,-44.858333,E0272,2011,Brazil,SAO PAULO,UBATUBA,Parque Estadual da Serra do Mar-Nucleo Picinguaba,Forest fragment,NA,NA,NA,NA,Brazil,BR,TRUE,Vriesea flammea,NA,NA,accepted,GBIF:5289378,Vriesea flammea,species,accepted,GBIF:5289378,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,flammea,NA,2699764,NA,L.B.Sm.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2011,TRUE,TRUE
AT_EPIPHYTES_5,Lankesterella ceracifolia,-28.1667,-49.4,17541,2009,Brazil,SANTA CATARINA,ORLEANS,Rio Minador,Municipality,NA,NA,NA,NA,Brazil,BR,TRUE,Lankesterella ceracifolia,NA,NA,accepted,GBIF:5312267,Lankesterella ceracifolia,species,accepted,GBIF:5312267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lankesterella,ceracifolia,NA,2807134,2807162,Mansf. (Barb.Rodr.),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2009,TRUE,TRUE
AT_EPIPHYTES_7,Nidularium innocentii,-26.1833,-49.0333,20521,2009,Brazil,SANTA CATARINA,JOINVILLE,Serra Dona Francisca,Municipality,NA,NA,NA,NA,Brazil,BR,TRUE,Nidularium innocentii,NA,NA,accepted,GBIF:2697762,Nidularium innocentii,species,accepted,GBIF:2697762,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Nidularium,innocentii,NA,2697636,NA,Lem.,purpurvattensamlare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2009,TRUE,TRUE
AT_EPIPHYTES_8,Acianthera serpentula,-25.5839,-49.6356,E23503,NA,Brazil,PARANA,BALSA NOVA,Base da Serra de Sao Luiz do Puruna,Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Acianthera serpentula,NA,NA,accepted,GBIF:2839474,Acianthera serpentula,species,accepted,GBIF:2839474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,serpentula,NA,7848554,2839476,F.Barros (Barb.Rodr.),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_9,Peperomia quadrifolia,-26.46,-49.41,E18657,NA,Brazil,SANTA CATARINA,CORUPA,Palmeiras II,Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Peperomia quadrifolia,NA,NA,accepted,GBIF:3086416,Peperomia quadrifolia,species,accepted,GBIF:3086416,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,quadrifolia,NA,3086367,3086417,Kunth (L.),fourleaf peperomia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_10,Peperomia circinnata,-23.7869,-54.2836,E16998,NA,Brazil,MATO GROSSO DO SUL,ELDORADO,NA,Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Peperomia circinnata,NA,NA,accepted,GBIF:7304921,Peperomia circinnata,species,accepted,GBIF:7304921,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,circinnata,NA,3086367,NA,Link,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_11,Microgramma squamulosa,-25.666271,-49.269229,E7552,2017,Brazil,PARANA,FAZENDA RIO GRANDE,Fazenda Experimental Gralha Azul 2,Forest fragment,NA,NA,NA,NA,Brazil,BR,TRUE,Microgramma squamulosa,NA,NA,accepted,GBIF:4025976,Microgramma squamulosa,species,accepted,GBIF:4025976,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Microgramma,squamulosa,NA,8393217,7290190,de la Sota (Kaulf.),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2017,TRUE,TRUE
AT_EPIPHYTES_12,Vriesea gigantea,-29.6411,-50.4525,E0829,NA,Brazil,RIO GRANDE DO SUL,RIOZINHO,NA,Municipality,NA,NA,NA,NA,Brazil,BR,TRUE,Vriesea gigantea,NA,NA,accepted,GBIF:5288894,Vriesea gigantea,species,accepted,GBIF:5288894,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,gigantea,NA,2699764,NA,Gaudich.,jattevriesea,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_13,Aechmea leptantha,-8.0022,-35.0183,E1518,NA,Brazil,PERNAMBUCO,SAO LOURENCO DA MATA,Sao Bento,Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Aechmea leptantha,NA,NA,accepted,GBIF:2698687,Aechmea leptantha,species,accepted,GBIF:2698687,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,leptantha,NA,2697812,2698688,Leme & J.A.Siqueira (Harms),NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_14,Vriesea tijucana,-15.158634,-39.057151,359,2000,Brazil,BAHIA,UNA,Reserva Biologica de Una,20,NA,NA,NA,NA,Brazil,BR,TRUE,Vriesea tijucana,NA,NA,accepted,GBIF:5288897,Vriesea tijucana,species,accepted,GBIF:5288897,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,tijucana,NA,2699764,NA,E.Pereira,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2000,TRUE,TRUE
AT_EPIPHYTES_15,Rhodospatha oblongata,-14.49,-39.1,E25916,NA,Brazil,BAHIA,URUCUCA,"Mun>. Urucuca, 9.4 KM. Serra do Conduru vertente E.",Coordinates given in the herbarium record,NA,NA,NA,NA,Brazil,BR,TRUE,Rhodospatha oblongata,NA,NA,accepted,GBIF:2871981,Rhodospatha oblongata,species,accepted,GBIF:2871981,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Rhodospatha,oblongata,NA,2871974,NA,Poepp.,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,FALSE
AT_EPIPHYTES_16,Anthurium gaudichaudianum,-29.342087,-49.68663,E0057,1992,Brazil,RIO GRANDE DO SUL,TORRES,Torres,Forest fragment,NA,NA,NA,NA,Brazil,BR,TRUE,Anthurium gaudichaudianum,NA,NA,accepted,GBIF:2872740,Anthurium gaudichaudianum,species,accepted,GBIF:2872740,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,gaudichaudianum,NA,2872218,NA,Kunth,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1992,TRUE,TRUE
