scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Tillandsia tenuifolia,TRUE,TRUE,Tillandsia tenuifolia,1
Peperomia obtusifolia,TRUE,TRUE,Peperomia obtusifolia,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Vriesea flammea,TRUE,TRUE,Vriesea flammea,1
Lankesterella ceracifolia,TRUE,TRUE,Lankesterella ceracifolia,1
Nidularium innocentii,TRUE,TRUE,Nidularium innocentii,1
Acianthera serpentula,TRUE,TRUE,Acianthera serpentula,1
Peperomia quadrifolia,TRUE,TRUE,Peperomia quadrifolia,1
Peperomia circinnata,TRUE,TRUE,Peperomia circinnata,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Vriesea gigantea,TRUE,TRUE,Vriesea gigantea,1
Aechmea leptantha,TRUE,TRUE,Aechmea leptantha,1
Vriesea tijucana,TRUE,TRUE,Vriesea tijucana,1
Rhodospatha oblongata,TRUE,TRUE,Rhodospatha oblongata,1
Anthurium gaudichaudianum,TRUE,TRUE,Anthurium gaudichaudianum,1
Maxillaria caparaoensis,TRUE,TRUE,Maxillaria caparaoensis,1
Acianthera langeana,TRUE,TRUE,Acianthera langeana,1
Pleopeltis monoides,TRUE,TRUE,Pleopeltis monoides,1
Hymenophyllum fragile,TRUE,TRUE,Hymenophyllum fragile,1
Solanum paniculatum,TRUE,TRUE,Solanum paniculatum,1
Tetrapterys crispa,TRUE,TRUE,Tetrapterys crispa,1
Clusia microstemon,TRUE,TRUE,Clusia microstemon,1
Machaerium fulvovenosum,TRUE,TRUE,Machaerium fulvovenosum,1
Byrsonima sericea,TRUE,TRUE,Byrsonima sericea,1
Cordia nodosa,TRUE,TRUE,Cordia nodosa,1
Dorstenia turnerifolia,TRUE,TRUE,Dorstenia turnerifolia,1
Phoradendron crassifolium,TRUE,TRUE,Phoradendron crassifolium,1
Pagamea plicata,TRUE,TRUE,Pagamea plicata,1
Galactia striata,TRUE,TRUE,Galactia striata,1
Achyrocline alata,TRUE,TRUE,Achyrocline alata,1
Coccocypselum lanceolatum,TRUE,TRUE,Coccocypselum lanceolatum,1
Oldenlandia filicaulis,TRUE,TRUE,Oldenlandia filicaulis,1
Bauhinia brevipes,TRUE,TRUE,Bauhinia brevipes,1
