database_id,occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,family,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,taxonRank,identifiedBy,coordinateUncertaintyInMeters,recordedBy,cntr_suggested,cntr_iso2c,decimalLongitude_modified,decimalLatitude_modified,iso2c,iso3c,.xy_issue
AT_EPIPHYTES_20,NA,Pleopeltis hirsutissima,-26.5,-54.13333,2013,Polypodiaceae,Argentina,MISIONES,SAN PEDRO,Parque Provincial La Araucaria,Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_78,NA,Campylocentrum grisebachii,-27.06666,-55.06666,NA,Orchidaceae,Argentina,MISIONES,CANDELARIA,Bonpland,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_289,NA,Pecluma filicula,-26.85,-53.76667,NA,Polypodiaceae,Argentina,MISIONES,GUARANI,Reserva Antropologica Papel Misionero,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_468,104,Peperomia tetraphylla,-33.97166667,-53.85416667,2012,Piperaceae,Uruguay,ROCHA,ROCHA,Sierra de la Blanqueada,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_528,NA,Campylocentrum grisebachii,-26.97751,-54.26268,NA,Orchidaceae,Argentina,MISIONES,GUARANI,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_719,NA,Phymatidium delicatulum,-26.86763,-54.39345,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,NA,Department,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_738,NA,Barbosella cogniauxiana,-26.25,-53.65,NA,Orchidaceae,Argentina,MISIONES,GENERAL MANUEL BELGRANO,"Bernardo de Irigoyen, La Intercontinental",NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_825,NA,Pecluma sicca,-27,-54.21667,NA,Polypodiaceae,Argentina,MISIONES,GUARANI,Predio Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1017,255,Tillandsia usneoides,-31.25666139,-56.05071583,2013,Bromeliaceae,Uruguay,TACUAREMBO,TACUAREMBO,Rincon de Vassoura,10,NA,NA,NA,NA,NA,URUGUAY,UY,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1104,NA,Cattleya cernua,-25.68109,-54.456762,NA,Orchidaceae,Argentina,MISIONES,IGUAZU,Parque Nacional Iguazu,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1188,NA,Aechmea recurvata,-27.03333,-55.08333,NA,Bromeliaceae,Argentina,MISIONES,SAN IGNACIO,San Ignacio,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1234,NA,Campylocentrum ulaei,-27.15,-53.88333,NA,Orchidaceae,Argentina,RIO GRANDE DO SUL,DERRUBADAS,Parque Provincial Mocona,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1288,E012,Trichomanes anadromum,-26.47,-53.891389,1952,Hymenophyllaceae,Argentina,MISIONES,IGUAZU,"Tobuna, Santa Rosa",Study site,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1373,NA,Microgramma squamulosa,-26.03333,-54.06666,NA,Polypodiaceae,Argentina,MISIONES,EL DORADO,NA,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
AT_EPIPHYTES_1527,NA,Campyloneurum nitidum,-27,-54.21667,NA,Polypodiaceae,Argentina,MISIONES,GUARANI,Reserva de Uso Multiple Guarani,NA,NA,NA,NA,NA,NA,ARGENTINA,AR,NA,NA,NA,NA,TRUE
