DATASET,DATASET_ACRONYM,RECORD_ID,MUNICIPALITY,STATE,STATE_ACRONYM,COUNTRY,ID_CODLOC,HABITAT,LATITUDE_Y,LONGITUDE_X,PRECISION,REGIONAL_NAME_OF_STUDY_SITE,EPIPHYTE_GROUP,EPIPHYTE_FAMILY,EPIPHYTE_GENUS,EPIPHYTE_EPITHET,EPIPHYTE_SPECIES,EPIPHYTE_HABITAT,FOROPHYTE_FAMILY,FOROPHYTE_GENERA,FOROPHYTE_EPITHET,FOROPYHYTE_SPECIES,YEAR_START,YEAR_FINISH,DATA_TYPE,ALTITUDE,ANNUAL_RAINFALL,ANNUAL_TEMPERATURE,VEGETATION_TYPE,ATLANTIC_FOREST_LIMIT,OBS
SARA_00324,SARA,E0324,CAMACAN,BAHIA,BA,Brazil,27,Dense Ombrophilous Forest,-15.391667,-39.565278,Study site,RPPN Serra Bonita,Ferns,Dryopteridaceae,Elaphoglossum,rigidum,Elaphoglossum rigidum,holoepiphyte,NA,NA,NA,NA,2010,2010,Abundance,152,1105,22.2000007629395,Ombrophilous Forest,YES,NA
FUME_07305,FUME,E7325,BAEPENDI,MATO GROSSO DO SUL,MS,Brazil,NA,Mixed Ombrophilous Forest,-22.142,-44.7328,2000,Parque Estadual da Serra do Papagaio,Angiosperms,Orchidaceae,Gomesa,longicornu,Gomesa longicornu,holoepiphyte,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,2012,2013,Presence_absence,1798,1890,17.1000003814697,Other,YES,NA
MARC_00187,MARC,E0187,SAO MANUEL,SAO PAULO,SP,Brazil,3,Riparian Forest,-22.684167,-48.475,Forest fragment,Margem do rio Araqua,Angiosperms,Araceae,Anthurium,pentaphyllum,Anthurium pentaphyllum,hemiepiphyte,NA,NA,NA,NA,2013,2013,Presence_only,532,1287,23.7000007629395,Savanna,YES,NA
MENE2_20845,MENE2,E28040,MONJOLOS,MATO GROSSO DO SUL,MS,Brazil,NA,NA,-18.2880555,-44.185,Coordinates given in the herbarium record,"Ca. de 5Km alem de Santo Hipolito, em direcao a Monjolos, no antigo leito da estrada de ferro. Afloramento calcareo a margem esquerda do Rio Pardo Pequeno.",Angiosperms,Bromeliaceae,Tillandsia,loliacea,Tillandsia loliacea,facultative,NA,NA,NA,NA,NA,NA,Presence_only,605,1097,25,Seasonal Forest,YES,NA
KERB_02304,KERB,E2304,BOM JESUS,RIO GRANDE DO SUL,RS,Brazil,ABUNDANCE,NA,-28.464002,-50.157705,Forest fragment,Rio Pelotas,Ferns,Polypodiaceae,Pleopeltis,hirsutissima,Pleopeltis hirsutissima,holoepiphyte,NA,NA,NA,NA,2014,2014,Abundance,996,1605,20.6000003814697,Savanna,YES,NA
KERB_04941,KERB,E4941,ARAUCARIA,PARANA,PR,Brazil,ABUNDANCE,Secondary Forest,-25.598863,-49.519503,Forest fragment,Guajuvira,Angiosperms,Bromeliaceae,Aechmea,distichantha,Aechmea distichantha,holoepiphyte,NA,NA,NA,NA,2002,2006,Abundance,884,1332,20.8999996185303,Ombrophilous Forest,YES,NA
MENE2_21776,MENE2,E28887,IRAQUARA,BAHIA,BA,Brazil,NA,NA,-12.2486,-41.6194,Coordinates given in the herbarium record,.,Angiosperms,Bromeliaceae,Tillandsia,streptocarpa,Tillandsia streptocarpa,facultative,NA,NA,NA,NA,NA,NA,Presence_only,733,761,23.2000007629395,NA,NO,NA
MESI_00135,MESI,E0135,QUEBRANGULO,ALAGOAS,AL,Brazil,1,Forest,-9.2591,-36.4304,Forest fragment,REBIO Pedra Talhada,Mosses,Pterobryaceae,Henicodium,geniculatum,Henicodium geniculatum,facultative,NA,NA,NA,NA,2009,2009,Presence_only,461,1419,23.8999996185303,Seasonal Forest,YES,NA
CBOE_00421,CBOE,Tree70,SAO FRANCISCO DE PAULA,RIO GRANDE DO SUL,RS,Brazil,FO3,Mixed Ombrophilous Forest,-29.422903,-50.388865,Central point in study site,Floresta Nacional de Sao Francisco de Paula.,Ferns,Polypodiaceae,Pleopeltis,pleopeltidis,Pleopeltis pleopeltidis,holoepiphyte,Lauraceae,Ocotea,pulchella,Ocotea pulchella,2007,2007,Abundance,917,2084,19.6000003814697,Savanna,YES,NA
ANNE_02790,ANNE,15693,PRESIDENTE NEREU,SANTA CATARINA,SC,Brazil,NA,Dense Ombrophilous Forest,-27.2667,-49.3167,Municipality,Braco Thieme,Angiosperms,Orchidaceae,Leptotes,bicolor,Leptotes bicolor,holoepiphyte,NA,NA,NA,NA,2009,2009,Presence_only,602,1602,22.7000007629395,Ombrophilous Forest,YES,NA
CEBA_00613,CEBA,NA,GENERAL MANUEL BELGRANO,MISIONES,N,Argentina,MORRONE 1399,NA,-25.98194,-53.96904,Department,NA,Angiosperms,Bromeliaceae,Billbergia,nutans,Billbergia nutans,holoepiphyte,NA,NA,NA,NA,NA,NA,Presence_only,418,1787,24.2000007629395,NA,YES,690 m s.m. 15/10/1996
