scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world
NA,Myrtaceae,Eugenia,Myrtaceae,Eugenia,L.,flowering plants,Accepted,Myrtaceae,L.,NA,NA,1948-11-12,SpeciesLink,IAC,IAC,IAC,IAC,1365,1
NA,Fabaceae,Fabaceae,Fabaceae,Fabaceae,Lindl.,flowering plants,Accepted,Fabaceae,Lindl.,-25.3887,-49.0036,1993-05-12,GBIF,"Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR",EFC,1864,1
Albizia pedicellaris,Fabaceae,Albizia pedicellaris (DC.) L.Rico,Fabaceae,Albizia pedicellaris,(DC.) L. Rico,flowering plants,Accepted,Fabaceae,(DC.) L. Rico,-10.2825,-59.605556,1997-07-05,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Chrysophyllum prieurii,Sapotaceae,Sapotaceae Chrysophyllum prieurii,Sapotaceae,Chrysophyllum prieurii,A. DC.,flowering plants,Accepted,Sapotaceae,A. DC.,-1.75391,-51.52048,2008-11-07,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
NA,Orchidaceae,Orchidaceae,Orchidaceae,Orchidaceae,Juss.,flowering plants,Accepted,Orchidaceae,Juss.,-26.910278,-49.500278,2010-03-11,SpeciesLink,FURB,FURB,FURB,FURB,1278,1
NA,Oleaceae,Oleaceae,Oleaceae,Oleaceae,Hoffmanns. & Link,flowering plants,Accepted,Oleaceae,Hoffmanns. & Link,-13.516667,-41.933333,2000-11-19,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
Axonopus siccus,Poaceae,Axonopus siccus (Nees) Kuhlm.,Poaceae,Axonopus siccus,(Nees) Kuhlm.,flowering plants,Accepted,Poaceae,(Nees) Kuhlm.,-26.1925,-49.26556,1958-02-04,NY,NY,NY,NY,Herbarium,104,1
Cuphea thymoides,Lythraceae,Cuphea thymoides Cham. & Schltdl.,Lythraceae,Cuphea thymoides,Cham. & Schltdl.,flowering plants,Accepted,Lythraceae,Cham. & Schltdl.,-22.130833,-44.748055,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Annona leptopetala,Annonaceae,Rollinia leptopetala R.E.Fr.,Annonaceae,Rollinia leptopetala,R.E. Fr.,flowering plants,Accepted,Annonaceae,(R.E. Fr.) H. Rainer,-8.138472,-38.400556,1998-02-05,GBIF,UFRPE,UFRPE,UFRPE,PEUFR,2469,1
Octoblepharum albidum,Calymperaceae,Octoblepharum albidum,Octoblepharaceae,Octoblepharum albidum,Hedw.,bryophytes,Accepted,Octoblepharaceae,Hedw.,-15.664111,-47.727333,2009-04-20,SpeciesLink,UnB,UnB,UnB,UB,1227,1
NA,Araceae,Anthurium Schott,Araceae,Anthurium,Schott,flowering plants,Accepted,Araceae,Schott,-13.320861,-39.512139,2014-12-12,GBIF,UFRB,UFRB,UFRB,HURB,3083,1
NA,Velloziaceae,Aylthonia,Velloziaceae,Aylthonia,N. L. de Menezes,flowering plants,No opinion,Velloziaceae,NA,-18.200556,-43.709167,2003-08-14,SpeciesLink,UNICAMP,UNICAMP,UNICAMP,UEC,1030,1
Couepia longipendula,Chrysobalanaceae,Couepia longipendula,Chrysobalanaceae,Couepia longipendula,Pilg.,flowering plants,Accepted,Chrysobalanaceae,Pilg.,-2.366667,-59.95,1989-01-01,SpeciesLink,INPA,INPA,INPA,INPA-Herbario,619,1
Croton macrobothrys,Euphorbiaceae,Croton macrobothrys Baill.,Euphorbiaceae,Croton macrobothrys,Baill.,flowering plants,Accepted,Euphorbiaceae,Baill.,-13.162222,-39.665,2007-01-25,GBIF,UEFS,UEFS,UEFS,HUEFS,2756,1
Allantoma integrifolia,Lecythidaceae,"Allantoma integrifolia (Ducke) S. A. Mori, Y.-Y. Huang & Prance",Lecythidaceae,Allantoma integrifolia,"(Ducke) S.A. Mori, Ya Y.Huang & Prance",flowering plants,Accepted,Lecythidaceae,"(Ducke) S.A. Mori, Ya Y.Huang & Prance",-2.883,-59.967,1995-10-19,NY,NY,NY,NY,Herbarium,104,1
Banara nitida,Salicaceae,Banara nitida Spruce ex Benth.,Salicaceae,Banara nitida,Spruce ex Benth.,flowering plants,Accepted,Salicaceae,Spruce ex Benth.,-9.13,-70.1769,2001-10-26,GBIF,US,US,US,Botany,3271,1
Dolichandra quadrivalvis,Bignoniaceae,Bignonia populifolia DC.,Bignoniaceae,Bignonia populifolia,DC.,flowering plants,Accepted,Bignoniaceae,(Jacq.) L.G. Lohmann,-12.18306,-41.99722,NA,GBIF,G,G,G,Geneva Herbarium – De Candolle's Prodromus (G-DC),3547,1
Sebastiania brasiliensis,euphorbiaceae,sebastiania brasiliensis,Euphorbiaceae,Sebastiania brasiliensis,Spreng.,flowering plants,Accepted,Euphorbiaceae,Spreng.,-21.4574,-49.8198,2000-08-30,SpeciesLink,FAPESP,FAPESP,FAPESP,SinBiota,196,1
Vitex polygama,Lamiaceae,Vitex polygama Cham.,Lamiaceae,Vitex polygama,Cham.,flowering plants,Accepted,Lamiaceae,Cham.,-12.9,-47.77139,NA,GBIF,Cenargen,Cenargen,Cenargen,CEN,3199,1
Annona warmingiana,Annonaceae,Annona warmingiana Mello-Silva & Pirani,Annonaceae,Annona warmingiana,Mello-Silva & Pirani,flowering plants,Accepted,Annonaceae,Mello-Silva & Pirani,-17.881389,-51.714444,2010-10-02,GBIF,Universidade Federal de Goiás (UFG),Universidade Federal de Goiás (UFG),Universidade Federal de Goiás (UFG),HJ,1627,1
Annona montana,Annonaceae,Annona montana Macfad.,Annonaceae,Annona montana,Macfad.,flowering plants,Accepted,Annonaceae,Macfad.,-13.016667,-39.6,2005-10-29,GBIF,Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),ALCB,2879,1
NA,Fabaceae,Fabaceae Crudia unknown,Fabaceae,Crudia,Schreb.,flowering plants,Accepted,Fabaceae,Schreb.,-1.73408,-51.510980000000004,2005-04-03,TEAM,Caxiuanã,Fernanda Santos,NA,NA,36,1
Mitracarpus hirtus,Rubiaceae,Mitracarpus hirtus (Sw.) DC.,Rubiaceae,Mitracarpus hirtus,(L.) DC.,flowering plants,Accepted,Rubiaceae,(L.) DC.,-20.57477,-47.03685,2003-05-06,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,1
Myrsine monticola,Primulaceae,Myrsine monticola Mart.,Primulaceae,Myrsine monticola,Mart.,flowering plants,Accepted,Primulaceae,Mart.,-13.53333,-41.91667,1974-01-22,GBIF,MNHN,MNHN,MNHN,P,3541,1
NA,Apocynaceae,Marsdenia sp.,Apocynaceae,Marsdenia,R. Br.,flowering plants,Accepted,Apocynaceae,R. Br.,-9.330797,-40.548733,2009-10-29,SpeciesLink,UNIVASF,UNIVASF,UNIVASF,HVASF,786,1
Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Euphorbiaceae,Euphorbia appariciana,Rizzini,flowering plants,Accepted,Euphorbiaceae,Rizzini,NA,NA,1996-07-05,SpeciesLink,IBt,IBt,IBt,SP,971,1
NA,Araceae,Philodendron Schott,Araceae,Philodendron,Schott,flowering plants,Accepted,Araceae,Schott,-10.773109,-53.08982,NA,GBIF,NHMUK,NHMUK,NHMUK,BOT,2075,1
NA,Fabaceae,Dioclea Kunth,Fabaceae,Dioclea,Kunth,flowering plants,Accepted,Fabaceae,Kunth,-3.206944,-51.7775,2014-09-27,GBIF,JBRJ,JBRJ,JBRJ,RB,1928,1
