Accepted name,Name as entered,locality/site,Country,Latitude,Longitude,Altitude (m),Vegetation type,Reference,Specimen details
Moquiniastrum pulchrum (Cabrera) G.Sancho,Moquiniastrum pulchrum (Cabrera) G.Sancho,"Porto Ferreira, floresta semidecidual",Brazil,-21.851100921631,-47.425598144531,604,Seasonally dry Semideciduous Broadleaved Forest,"BERTONI, J.E.A. & MARTINS, F.R. 1987 Acta Botanica Brasilica Composição florística de uma floresta ripária na Reserva Estadual de Porto Ferreira (SP).",NA
Agarista eucalyptoides (Cham. & Schltdl.) G.Don,Agarista eucalyptoides (Cham. & Schltdl.) G.Don,"Rio Vermelho, floresta semidecidual",Brazil,-18.24220085144,-42.9660987854,719,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Myrcia multiflora (Lam.) DC.,Myrcia multiflora (Lam.) DC.,"Nepomuceno, floresta semidecidual",Brazil,-21.192800521851,-45.121101379395,807,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Callisthene minor Mart.,Callisthene minor Mart.,"Cocos, caatinga arbórea",Brazil,-14.272500038147,-44.711700439453,554,Arid Deciduous Broadleaved Forest,"SANTOS, R.M. & QUEIROZ, L.P. 2008 Universidade Estadual de Feira de Santana, Feira de Santana, BA, Brazil. Checklists de áreas de caatinga e matas secas.",NA
Combretum leprosum Mart.,Combretum leprosum Mart.,"Bela Vista, cerradão mesotrófico",Brazil,-19.497499465942,-56.171699523926,116,Seasonally dry Semideciduous Forested Savanna,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Pouteria gardneri (Mart. & Miq.) Baehni,Pouteria gardneri (Mart. & Miq.) Baehni,"Ourinhos, floresta semidecidual",Brazil,-22.841899871826,-49.887500762939,516,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Cordiera rigida (K.Schum.) Kuntze,Cordiera rigida (K.Schum.) Kuntze,"São Romão, floresta decidual",Brazil,-16.198900222778,-45.172798156738,477,Seasonally dry Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Miconia ligustroides (DC.) Naudin,Miconia ligustroides (DC.) Naudin,"São Gonçalo do Rio Abaixo, floresta semidecidual",Brazil,-19.901899337769,-43.363300323486,775,Seasonally dry Semideciduous Broadleaved Forest,"PIFANO, D.S. & VALENTE, A.S.M. 2007 Composição florística e estrutura da comunidade arbórea de um fragmento florestal no município de Serro, MG. Relatório de pesquisa, Lavras, MG.",NA
Psidium guajava L.,Psidium guajava L.,"São José do Vale do Rio Preto, floresta semidecidual",Brazil,-22.145299911499,-42.922798156738,793,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Inga alba (Sw.) Willd.,Inga alba (Sw.) Willd.,"Jardim Botânico de Brasília, floresta ripícola",Brazil,-15.885000228882,-47.84220123291,1081,Seasonally dry Semideciduous Broadleaved Forest,"NÓBREGA, M.G.G.; RAMOS, A.E. & SILVA JUNIOR, M.C. 2001 Composição florísitica e estrutura na mata de galeria do Cabeça de Veado, no Jardim Botânico de Brasília, FDF. Boletim do Herbário Ezechias Paulo Heringer 8: 44-65.",NA
Ouratea oliviformis (A.St.-Hil.) Engl.,Ouratea oliviformis (A.St.-Hil.) Engl.,"Ilha do Cabo Frio, floresta semidecidual",Brazil,-22.994699478149,-41.989200592041,257,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Cordia glabrata (Mart.) A.DC.,Cordia glabrata (Mart.) A.DC.,"Matias Cardoso, Gado Bravo, caatinga arbórea",Brazil,-14.982199668884,-43.52140045166,465,Arid Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Myrceugenia pilotantha (Kiaersk.) Landrum,Myrceugenia pilotantha (Kiaersk.) Landrum,"Descoberto, floresta semidecidual",Brazil,-21.423599243164,-42.953098297119,752,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Cordia nodosa Lam.,Cordia nodosa Lam.,"João Pessoa, floresta semidecidual",Brazil,-7.1449999809265,-34.860801696777,45,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Jacaratia corumbensis Kuntze,Jacaratia heptaphylla (Vell.) A.DC.,"Ladainha, floresta semidecidual",Brazil,-17.614200592041,-41.778099060059,666,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Aspidosperma australe Müll.Arg.,Aspidosperma australe Müll.Arg.,"João Pinheiro, floresta ripícola",Brazil,-17.655799865723,-46.312198638916,553,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Chrysophyllum marginatum (Hook. & Arn.) Radlk.,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,"Paulo de Faria, floresta semidecidual",Brazil,-19.95719909668,-49.530799865723,474,Seasonally dry Semideciduous Broadleaved Forest,"STRANGHETTI, V. & RANGA, N.T. 1998 Levantamento florístico das espécies vasculares da floresta estacional mesófila semidecídua da Estação Ecológica de Paulo de Faria - SP. Revista Brasileira de Botânica 21: 289-298.",NA
Myrcia tomentosa (Aubl.) DC.,Myrcia tomentosa (Aubl.) DC.,"Formosa do Rio Preto, caatinga arbórea",Brazil,-11.218299865723,-45.402801513672,584,Arid Deciduous Broadleaved Forest,"SANTOS, R.M. & QUEIROZ, L.P. 2008 Universidade Estadual de Feira de Santana, Feira de Santana, BA, Brazil. Checklists de áreas de caatinga e matas secas.",NA
Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,"Palmeiras, nanofloresta decidual rupícola",Brazil,-12.552800178528,-41.614398956299,981,Seasonally dry Deciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Croton floribundus Spreng.,Croton floribundus Spreng.,"Lindóia, floresta semidecidual",Brazil,-22.500799179077,-46.642799377441,831,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Amaioua intermedia Mart. ex Schult. & Schult.f.,Amaioua intermedia Mart. ex Schult. & Schult.f.,"Conceição do Mato Dentro, floresta semidecidual",Brazil,-18.983100891113,-43.531398773193,715,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Galipea jasminiflora (A.St.-Hil.) Engl.,Galipea jasminiflora (A.St.-Hil.) Engl.,"Frei Gaspar, floresta semidecidual",Brazil,-18.072500228882,-41.4660987854,734,Seasonally dry Semideciduous Broadleaved Forest,"REIS, H.; SCOLFORO, J.R.S.; OLIVEIRA, A.D.; OLIVEIRA-FILHO, A.T.; MELLO, J.M. 2007 Análise da composição florística, diversidade e similaridade de fragmentos de mata atlântica em Minas Gerais. Cerne 13 (3): 280-290.",NA
Tovomita paniculata (Spreng.) Cambess.,Tovomita paniculata (Spreng.) Cambess.,"Cordeiro, floresta semidecidual",Brazil,-22.003099441528,-42.330299377441,666,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2006 Royal Botanic Gardens, Kew, U.K.; Jardim Botânico do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal de Minas Gerais, Belo Horizonte, Brazil; New York Botanical Garden Checklists compiled from herbarium specimens.",NA
Rhodostemonodaphne capixabensis Baitello & Coe-Teixeira,Rhodostemonodaphne capixabensis Baitello & Coe-Teixeira,"Castelo, Mata das Flores, floresta semidecidual",Brazil,-20.610000610352,-41.171398162842,133,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T.; TAMEIRÃO-NETO, E.; CARVALHO, W.A.C.; BRINA, A.E.; WERNECK, M. & ; VIDAL, C.V.; REZENDE, S.C. & PEREIRA, J.A.A. 2005  Analise floristica do compartimento arboreo de areas de floresta atlantica sensu lato na regiao das Bacias do Leste (Bahia, Minas Gerais, Espirito Santo e Rio de Janeiro). (Floristic analysis of the tree component of atlantic forest areas in central eastern Brazil .)",NA
Myrcia pubescens DC.,Myrcia pubescens DC.,"Foz do Pandeiros, floresta ripícola",Brazil,-15.69670009613,-44.596900939941,459,Seasonally dry Semideciduous Broadleaved Forest,"OLIVEIRA-FILHO, A.T. 2015 NeoTropTree. Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação. Universidade Federal de Minas Gerais.",NA
Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G.Azevedo,Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G.Azevedo,"Ijuí, floresta semidecidual",Brazil,-28.25830078125,-53.871101379395,286,Seasonally cold Semideciduous Broadleaved Forest,"AVILA, A.L.; ARAUJO, M.M.; LONGHI, S.J. & GASPARIN, E. 2011 Caracterização da vegetação e espécies para recuperação de mata ciliar, Ijuí, RS. Ciência Florestal 21 (2): 251-260.",NA
Simira corumbensis (Standl.) Steyerm.,Simira corumbensis (Standl.) Steyerm.,"Campo Novo dos Parecis, cerrado",Brazil,-14.762499809265,-54.624698638916,504,Seasonally dry Semideciduous Parkland Savanna,"RATTER, J.A.; ASKEW, G.P.; MONTGOMERY, R.F. & GIFFORD, D.R.  1978 Revista Brasileira de Botânica  Observations on forests of some mesotrophic soils in Central Brazil. 1: 47-58",NA
