Record ID,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Year,Month,Basis Of Record,Basis Of Record - original,Occurrence status,Sex,Taxonomic Quality,Location Quality,Collector,identified _ by,identified _ date,Record number,raw _ sampling _ protocol,event _ id,Occurrence status assumed to be present,Coordinates are out of range for species,Coordinates dont match supplied country,Country inferred from coordinates,Day and month transposed,Coordinates derived from verbatim coordinates,First of the century,First of the month,First of the year,Geodetic datum assumed WGS84,Identification date before occurrence date,Incomplete collection date,Invalid collection date,Invalid scientific name,Coordinates are transposed,Min and max altitude reversed,Name not in national checklists,Latitude is negated,Longitude is negated,Collector name unparseable,Supplied country not recognised,Type status not recognised,Supplied coordinates are zero,Zero latitude,Zero longitude,Name not recognised,Collection code not recognised,Institution code not recognised,Coordinate uncertainty not valid,Kingdom not recognised,Georeferenced after occurrence date,Unrecognized geodetic datum,Depth value non-numeric,Precision / range mismatch,Basis of record badly formed,Coordinate precision and uncertainty transposed
3aca8ee4-7581-41ce-90ab-bab20a90dff9,dr245,Base de dados do Herbário da Universidade Estadual de Campinas,in26,Universidade Estadual de Campinas,co72,Herbário UEC,CC-BY-NC,100462,335037,Utricularia gibba L.,NA,Utricularia gibba,species,Humped bladderwort,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia,Utricularia gibba,UNICAMP,UEC,Sp 222 - Km 93,-24.48,-47.49,NA,-24.48,-47.49,NA,NA,NA,-9999,0,NA,NA,NA,1996,12,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,"Feres, F.; Faria, A.D.; Aona, L.Y.S.; Matsumoto, K.; GalvÃ£o, J.C.; Belinello, R.","Anderson, L.O.",NA,83/96,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
220978d7-a94e-489c-95cd-073bece07582,dr289,Base de dados do Herbário do IAC,in87,Instituto Agronômico de Campinas,co163,Herbário do Instituto Agronômico de Campinas,CC-BY-NC,5661,289117,Tephrosia candida,NA,Tephrosia candida,species,Indigo blanc,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,Tephrosia candida,IAC,HIAC,"IAC, Fazenda Santa Elisa",-22.870251,-47.077171,NA,-22.870251,-47.077171,NA,NA,NA,NA,NA,NA,NA,NA,1940,08,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,A. Bedim,E.O.L. Saleh,1995-10-31,s/nº,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
86aac16c-e327-432e-803e-dc35ca4235f4,dr266,Herbário da Universidade Federal de Minas Gerais,in19,Universidade Federal de Minas Gerais,co132,Herbário da Universidade Federal de Minas Gerais,CC-BY-NC 4.0 (Int),81775,337648,Fritzschia,NA,Fritzschia,genus,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Fritzschia,NA,Universidade Federal de Minas Gerais,BHCB,Serra do Charco,NA,NA,NA,NA,NA,NA,Brasil,NA,0,0,NA,NA,NA,1942,11,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Mendes Magalhães,NA,NA,2310,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
87030108-62d8-471e-948e-9cbcac8c9a99,dr337,Base de dados do Herbário Prisco Bezerra,NA,NA,NA,NA,CC-BY-NC,58544,330118,Combretum leprosum,NA,Combretum leprosum,species,Vaqueta,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Combretum,Combretum leprosum,UFC,EAC,"""Fazenda Pau d#?#Óleo, substrato terrícola.""",-3,-39,NA,-3,-39,NA,NA,NA,79,79,NA,NA,NA,2015,06,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,"""Veras Santos, J.L.""","""Veras Santos, J.L.""",2015-06-14,4,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
e9b294a9-a6c7-4934-99ee-81ba28f7f57b,dr235,Amostras brasileiras repatriadas do Jardim Botânico de Missouri,NA,NA,NA,NA,CC-BY-NC,MO1903429,364204,Asteraceae Stevia heptachaeta DC.,NA,Asteraceae,family,Tournesols,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA,MO,MO,Chapada da Contagem. 20 km NNW of central Brasilia off a dirt road about 1.5 km from the main Contagem road. Edge of wet campo.,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1980,01,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Robert M. King, Frank Almeda;George Eiten",NA,NA,8327,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
a616cde2-0e02-4057-b358-c7a1f027c99f,dr246,Base de dados do Herbário IAN,NA,NA,NA,NA,CC-BY-NC,66238,364592,Distichlis spicata (L.) Greene,NA,Poaceae,family,Graminées,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,NA,NA,IAN,NA,d,0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,1892,01,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Kuntz,NA,NA,7063,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
d56443c8-f841-41ae-8423-5bf57d1da510,dr272,Base de dados do Herbário Vale do São Francisco,in80,Universidade Federal do Vale do São Francisco,co150,Herbário Vale do São Francisco,CC-BY-NC 4.0 (Int),10838,368465,Tacinga inamoena,NA,Tacinga inamoena,species,Guibá,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Tacinga,Tacinga inamoena,UNIVASF,HVASF,"Povoado de São Pedro, Grotão. Área proposta para o PNBO",NA,NA,NA,NA,NA,NA,Brasil,NA,640,640,NA,NA,NA,2011,01,PreservedSpecimen,PreservedSpecimen,present,U,TRUE,NA,F.F.S. Silva,M.V. Meiado,2011-04-27,158,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
d4f13126-957a-40a5-a1b8-8422d2dec414,dr216,Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection,in5,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,co125,Herbário RB,CC-BY 4.0 (Int),RB01389493,277431,Paspalum,NA,Paspalum,genus,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,NA,JBRJ,RB,Praia do Laranjal. Totó,-31.7236111,-52.1961111,NA,-31.7236111,-52.1961111,NA,Brasil,NA,NA,NA,NA,NA,NA,2010,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,M. M. Marchi,NA,NA,4601,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fe700fbb-e003-4365-8494-c6d930c54673,dr316,Base de dados do Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade,in71,Universidade Federal de São Carlos,co173,Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade,CC-BY-NC,3731,301220,Chamaecrista,NA,Chamaecrista,genus,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,NA,UFSCar,SORO,"Estrada para Mendanha, ca. 16km de Diamantina. Campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,01,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Savassi-Coutinho, A.P.; Souza, V.C.; Rando, J.G.",NA,NA,1054,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA
13b64b3f-8119-41fb-86f8-c8461ff24694,dr246,Base de dados do Herbário IAN,NA,NA,NA,NA,CC-BY-NC,XILO3159,360899,Eugenia gomesiana O.Berg,NA,Eugenia gomesiana,species,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia gomesiana,IAN,NA,Y,0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,1962,10,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Oliveira, E","Faria, JEQ",NA,2153,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
