datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2016-11-01T07:45:00Z,NY,NYBG,503751,Actinostemon lundianus,PreservedSpecimen,Plantae,NA,NA,Malpighiales,Euphorbiaceae,Actinostemon,lundianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,A. M. Amorim,NA,NA,NA,NA,NA,NA,Brazil,Bahia,NA,"Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Fazenda Jaqueiral, área do canopy worlk",-39.08,-15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-01T03:00:00Z,NY,NYBG,2230326,Costus spiralis villosus,PreservedSpecimen,Plantae,NA,NA,Zingiberales,Costaceae,Costus,spiralis,villosus,NA,NA,NA,NA,NA,NA,NA,NA,H. S. Irwin,NA,NA,NA,NA,NA,NA,Brazil,Amapá,NA,Cachoeira Tres Saltos.,-52.87,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-15T18:31:00Z,UNESP-RC,HRCB,50374,Spigelia beyrichiana,PreservedSpecimen,Plantae,NA,NA,NA,Loganiaceae,Spigelia,beyrichiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lombardi,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,NA,NA,-46.918778,-23.230111,NA,NA,NA,NA,960,960,NA,NA,NA,NA,NA,NA,NA,NA,"Erva, folhas herbáceas, verde-claras na face abaxial, cálice verde, corola branca com centro rosado",NA
2015-07-02T17:03:17Z,JBP,HPL,12904,Eugenia xiriricana,S,Plantae,NA,NA,NA,Myrtaceae,Eugenia,xiriricana,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. Campos-Rocha, R. Pimenta & H. Lorenzi",NA,NA,NA,NA,NA,NA,Brasil,SP,NA,Coletado em cultivo no Instituto Agronômico de Campinas (IAC/Barão de Itapura).,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-02T13:53:01Z,IBt,SP-BRYOPHYTA,149320,Erythrodontium longisetum,S,Plantae,NA,NA,NA,Entodontaceae,Erythrodontium,longisetum,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vital, D.M.",NA,NA,NA,NA,NA,NA,BRASIL,Paraná,NA,No cruzamento com a BR 116,-49.616667,-25.916667,NA,NA,NA,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,Sobre casca de árvore junto ao ribeirão vermelho,NA
2019-10-07T12:24:10Z,UEFS,HUEFS,176873,NA,PreservedSpecimen,Plantae,NA,Rosanae,Fabales,Leguminosae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haas, de",NA,NA,NA,NA,NA,NA,Brasil,Goiás,NA,"Parque Nacional do Tocantins, 25 Km N of Alto Paraíso.",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-14T21:37:03Z,UFMG,BHCB,185463,Simarouba amara,PreservedSpecimen,Plantae,NA,NA,NA,Simaroubaceae,Simarouba,amara,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siriani-Oliveira, S",NA,NA,NA,NA,NA,NA,Brasil,Minas Gerais,NA,"Parque Nacional da Serra do Cipó, Arredores da sede do parque nacional",-43.616806,-19.349167,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Árvore,NA
1970-01-01T03:00:00Z,NY,NYBG,2481202,Bionia ovalifolia,PreservedSpecimen,Plantae,NA,NA,Fabales,Fabaceae,Bionia,ovalifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,T. A. B. Dias,NA,NA,NA,NA,NA,NA,Brazil,Distrito Federal,NA,"A 32 km. do Cenargen, pegar a DF-170 e seguir nela 6 km, parada a direita da pista",-48.05,-15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-16T12:43:28Z,MBM,MBM,385893,Solanum megalochiton,S,Plantae,NA,NA,NA,Solanaceae,Solanum,megalochiton,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Larocca, P.; Felitto, G.; Felitto, G.",NA,NA,NA,NA,NA,NA,Brazil,Paraná,NA,Morro Anhangava,-49.005367,-25.386325,NA,NA,NA,NA,1270,1270,NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto escandente, frutos maduros negros.; Floresta Ombrófila Densa Montana.",NA
2019-08-27T16:31:45Z,IAP,PACA-AGP,33154,Drosera brevifolia,PreservedSpecimen,Plantae,NA,Magnoliatae,Nepenthales,Droseraceae,Drosera,brevifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rambo, B.",NA,NA,NA,NA,NA,NA,Brasil,RS,NA,Vila Manresa,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sicher, 27.7.1954.; fl. Habitat: in rupestr. parce humosis humidis",NA
2019-07-02T16:18:53Z,UEM,HUEM,19460,NA,Extra,Plantae,NA,NA,NA,Leguminosae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.Kawakita; e col.,NA,NA,NA,NA,NA,NA,Brasil,Paraná,NA,"Porto São José, área do reflorestamento",-53.168889,-22.715556,NA,NA,NA,NA,277,277,NA,NA,NA,NA,NA,NA,NA,NA,"Herbácea; botõs florais coloração verde, flores vináceas; frutos imaturos coloração verde, maturos coloração marrom.",NA
2020-08-07T20:10:51Z,IEPA,HAMAB,NA,Maprounea guianensis,PreservedSpecimen,Plantae,NA,NA,NA,Euphorbiaceae,Maprounea,guianensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pires, MJP",NA,NA,NA,NA,NA,NA,Brasil,Pará,NA,NA,-52.85,-0.533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-24T13:42:09Z,EAO,IAN,150257,Lacmellea,PreservedSpecimen,Plantae,NA,NA,NA,Apocynaceae,Lacmellea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cordeiro, MR",NA,NA,NA,NA,NA,NA,Brasil,Rondônia,NA,Campo de aviação.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-02-20T17:25:17Z,INPA,INPA,258169,Annona paludosa,S,Plantae,NA,NA,Magnoliales,Annonaceae,Annona,paludosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferreira, CAC",NA,NA,NA,NA,NA,NA,Brasil,Amapá,NA,"BR-156, Km 95, A 400m da margem da estrada, localidade Areial.",-51.25,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-06T21:28:02Z,UFMS,CGMS,70578,Eschweilera nana,PreservedSpecimen,Plantae,NA,NA,NA,Lecythidaceae,Eschweilera,nana,NA,NA,NA,NA,NA,NA,NA,NA,NA,A. Pott; V.J. Pott,NA,NA,NA,NA,NA,NA,Brasil,Mato Grosso do Sul,NA,6 Km NW da Usina Hidroelétrica Mimoso.,-53.5572222,-23.6505556,NA,NA,NA,NA,370,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
