"","Field","Category","Description of DarwinCore terms (if existing)","Type","Example of data"
"1","datasetName","RQ","A short name identifying the dataset","Character","GBIF"
"2","fileName","RQ","The path containing the dataset informed in databaseName","Character","C:/Users/Geizi/Projects/Flora/Input_files/GBIF.csv"
"3","scientificName","RQ","Name of the column containing scientific names with or without authorship information","Character","Myrcia acuminata"
"4","decimalLatitude","RQ","Name of the column containing information on geographic latitude in decimal degrees","Numeric","-6.370833"
"5","decimalLongitude","RQ","Name of the column containing information on geographic longitude in decimal degrees","Numeric","-3255"
"6","occurrenceID","RE","Name of the column presenting the unique identifiers in the original databases. If absent, NA","Numeric","1087566037"
"7","basisOfRecord","RE","Name of the column in the original database containing the specific nature of the data record","Character","PreservedSpecimenHumanObservation"
"8","verbatimEventDate","RE","The name of the column containing information on verbatim date-time. Information only on collecting year can be provided. Recommended best practice is to use an encoding scheme, such as ISO 8601-1:201","date or numeric","1970; 2018-08-29T15:19 (3:19pm local time on 29 August 2018)"
"9","country","RE","The name of the column containing information on the country or major administrative unit in which the data was recorded","Character","Brazil"
"10","stateProvince","RE","Name of the column presenting the name of the next smaller administrative region than country (state, province) where taxa were sampled or observed","Character","Rio de Janeiro"
"11","county","RE","Name of the column containing the full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) where taxon was sampled or observed","Character","Goiania"
"12","locality","RE","Name of the column presenting the specific description of the place where taxon was sampled or observed","Character","Serra dos Pirineus"
"13","identifiedBy","AD","Name of the column presenting the list (concatenated and separated) of names of people, groups, or organizations who assigned the taxa to the subject","Character","M. Sobral"
"14","coordinateUncertaintyInMeters","AD","Name of the presenting the horizontal distance (in meters) from the given decimalLatitude and decimalLongitude","Numeric","10"
"15","coordinatePrecision","AD","Name of the containing the decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude","Numeric","0.0001"
"16","recordedBy","AD","Name of the column presenting the list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence","Character","Cervi, A.C"
