scientificName,.uncer_terms,.infraesp_names,names_clean,quality
Elaphoglossum rigidum,TRUE,TRUE,Elaphoglossum rigidum,1
Gomesa longicornu,TRUE,TRUE,Gomesa longicornu,1
Anthurium pentaphyllum,TRUE,TRUE,Anthurium pentaphyllum,1
Tillandsia loliacea,TRUE,TRUE,Tillandsia loliacea,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Aechmea distichantha,TRUE,TRUE,Aechmea distichantha,1
Tillandsia streptocarpa,TRUE,TRUE,Tillandsia streptocarpa,1
Henicodium geniculatum,TRUE,TRUE,Henicodium geniculatum,1
Pleopeltis pleopeltidis,TRUE,TRUE,Pleopeltis pleopeltidis,1
Leptotes bicolor,TRUE,TRUE,Leptotes bicolor,1
Acianthera hygrophila,TRUE,TRUE,Acianthera hygrophila,1
Hymenophyllum polyanthos,TRUE,TRUE,Hymenophyllum polyanthos,1
Cattleya coccinea,TRUE,TRUE,Cattleya coccinea,1
Cattleya coccinea,TRUE,TRUE,Cattleya coccinea,1
Billbergia nutans,TRUE,TRUE,Billbergia nutans,1
Epidendrum secundum,TRUE,TRUE,Epidendrum secundum,1
Aechmea burle-marxii,TRUE,TRUE,Aechmea burle-marxii,1
Campyloneurum rigidum,TRUE,TRUE,Campyloneurum rigidum,1
Serpocaulon catharinae,TRUE,TRUE,Serpocaulon catharinae,1
Aechmea purpureorosea,TRUE,TRUE,Aechmea purpureorosea,1
Octomeria fibrifera,TRUE,TRUE,Octomeria fibrifera,1
Philodendron fragrantissimum,TRUE,TRUE,Philodendron fragrantissimum,1
Phlegmariurus fontinaloides,TRUE,TRUE,Phlegmariurus fontinaloides,1
Vriesea platynema,TRUE,TRUE,Vriesea platynema,1
Billbergia nutans,TRUE,TRUE,Billbergia nutans,1
Campyloneurum austrobrasilianum,TRUE,TRUE,Campyloneurum austrobrasilianum,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Nematanthus fluminensis,TRUE,TRUE,Nematanthus fluminensis,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Epidendrum nocturnum,TRUE,TRUE,Epidendrum nocturnum,1
Scaphyglottis modesta,TRUE,TRUE,Scaphyglottis modesta,1
Rhetinantha notylioglossa,TRUE,TRUE,Rhetinantha notylioglossa,1
Aechmea distichantha,TRUE,TRUE,Aechmea distichantha,1
Tillandsia tricholepis,TRUE,TRUE,Tillandsia tricholepis,1
Vriesea incurvata,TRUE,TRUE,Vriesea incurvata,1
Polystachya foliosa,TRUE,TRUE,Polystachya foliosa,1
Campylocentrum aromaticum,TRUE,TRUE,Campylocentrum aromaticum,1
Lepismium lumbricoides,TRUE,TRUE,Lepismium lumbricoides,1
Campyloneurum austrobrasilianum,TRUE,TRUE,Campyloneurum austrobrasilianum,1
Specklinia grobyi,TRUE,TRUE,Specklinia grobyi,1
Dichaea cogniauxiana,TRUE,TRUE,Dichaea cogniauxiana,1
Acianthera sonderiana,TRUE,TRUE,Acianthera sonderiana,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Vriesea gigantea,TRUE,TRUE,Vriesea gigantea,1
Rhipsalis grandiflora,TRUE,TRUE,Rhipsalis grandiflora,1
Nematanthus crassifolius,TRUE,TRUE,Nematanthus crassifolius,1
Aechmea fasciata,TRUE,TRUE,Aechmea fasciata,1
Pleopeltis pleopeltifolia,TRUE,TRUE,Pleopeltis pleopeltifolia,1
Nematanthus australis,TRUE,TRUE,Nematanthus australis,1
Epidendrum ramosum,TRUE,TRUE,Epidendrum ramosum,1
Stelis deregularis,TRUE,TRUE,Stelis deregularis,1
Anthurium pentaphyllum,TRUE,TRUE,Anthurium pentaphyllum,1
Codonanthe gracilis,TRUE,TRUE,Codonanthe gracilis,1
Trichocentrum pumilum,TRUE,TRUE,Trichocentrum pumilum,1
Vriesea seideliana,TRUE,TRUE,Vriesea seideliana,1
Anathallis bocainensis,TRUE,TRUE,Anathallis bocainensis,1
Pleiochiton blepharodes,TRUE,TRUE,Pleiochiton blepharodes,1
Tillandsia aeranthos,TRUE,TRUE,Tillandsia aeranthos,1
Vriesea rodigasiana,TRUE,TRUE,Vriesea rodigasiana,1
Aechmea nudicaulis,TRUE,TRUE,Aechmea nudicaulis,1
Vriesea reitzii,TRUE,TRUE,Vriesea reitzii,1
Nematanthus fornix,TRUE,TRUE,Nematanthus fornix,1
Stelis megantha,TRUE,TRUE,Stelis megantha,1
Cattleya coccinea,TRUE,TRUE,Cattleya coccinea,1
Quesnelia liboniana,TRUE,TRUE,Quesnelia liboniana,1
Grandiphyllum divaricatum,TRUE,TRUE,Grandiphyllum divaricatum,1
Lepismium lumbricoides,TRUE,TRUE,Lepismium lumbricoides,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Peperomia corcovadensis,TRUE,TRUE,Peperomia corcovadensis,1
Prosthechea fausta,TRUE,TRUE,Prosthechea fausta,1
Capanemia micromera,TRUE,TRUE,Capanemia micromera,1
Peperomia circinnata,TRUE,TRUE,Peperomia circinnata,1
Isochilus linearis,TRUE,TRUE,Isochilus linearis,1
Peperomia alata,TRUE,TRUE,Peperomia alata,1
Pabstiella alligatorifera,TRUE,TRUE,Pabstiella alligatorifera,1
Anthurium parvum,TRUE,TRUE,Anthurium parvum,1
Monstera adansonii,TRUE,TRUE,Monstera adansonii,1
Polycycnis silvana,TRUE,TRUE,Polycycnis silvana,1
Begonia herbacea,TRUE,TRUE,Begonia herbacea,1
Vriesea penduliflora,TRUE,TRUE,Vriesea penduliflora,1
Nematanthus strigillosus,TRUE,TRUE,Nematanthus strigillosus,1
Tillandsia tenuifolia,TRUE,TRUE,Tillandsia tenuifolia,1
Pabstiella mirabilis,TRUE,TRUE,Pabstiella mirabilis,1
Elaphoglossum prestonii,TRUE,TRUE,Elaphoglossum prestonii,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Aechmea recurvata,TRUE,TRUE,Aechmea recurvata,1
Vriesea flava,TRUE,TRUE,Vriesea flava,1
Grandiphyllum divaricatum,TRUE,TRUE,Grandiphyllum divaricatum,1
Epidendrum secundum,TRUE,TRUE,Epidendrum secundum,1
Acianthera luteola,TRUE,TRUE,Acianthera luteola,1
Codonanthe gracilis,TRUE,TRUE,Codonanthe gracilis,1
Rhipsalis teres,TRUE,TRUE,Rhipsalis teres,1
Cochlidium punctatum,TRUE,TRUE,Cochlidium punctatum,1
Asplenium gastonis,TRUE,TRUE,Asplenium gastonis,1
Hymenophyllum pulchellum,TRUE,TRUE,Hymenophyllum pulchellum,1
Peperomia glabella,TRUE,TRUE,Peperomia glabella,1
Anthurium pentaphyllum,TRUE,TRUE,Anthurium pentaphyllum,1
Nematanthus sericeus,TRUE,TRUE,Nematanthus sericeus,1
Araeococcus parviflorus,TRUE,TRUE,Araeococcus parviflorus,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Rhipsalis pachyptera,TRUE,TRUE,Rhipsalis pachyptera,1
Acianthera luteola,TRUE,TRUE,Acianthera luteola,1
Ficus crocata,TRUE,TRUE,Ficus crocata,1
Pecluma sicca,TRUE,TRUE,Pecluma sicca,1
Gomesa flexuosa,TRUE,TRUE,Gomesa flexuosa,1
Peperomia glabella,TRUE,TRUE,Peperomia glabella,1
Campyloneurum crispum,TRUE,TRUE,Campyloneurum crispum,1
Encyclia patens,TRUE,TRUE,Encyclia patens,1
Cochlidium punctatum,TRUE,TRUE,Cochlidium punctatum,1
Acanthostachys strobilacea,TRUE,TRUE,Acanthostachys strobilacea,1
Tillandsia tenuifolia,TRUE,TRUE,Tillandsia tenuifolia,1
Epidendrum caldense,TRUE,TRUE,Epidendrum caldense,1
Philodendron pedatum,TRUE,TRUE,Philodendron pedatum,1
Cattleya amethystoglossa,TRUE,TRUE,Cattleya amethystoglossa,1
Vriesea ensiformis,TRUE,TRUE,Vriesea ensiformis,1
Peperomia hilariana,TRUE,TRUE,Peperomia hilariana,1
Tillandsia recurvata,TRUE,TRUE,Tillandsia recurvata,1
Epidendrum geniculatum,TRUE,TRUE,Epidendrum geniculatum,1
Hymenophyllum polyanthos,TRUE,TRUE,Hymenophyllum polyanthos,1
Rhipsalis campos-portoana,TRUE,TRUE,Rhipsalis campos-portoana,1
Pleopeltis macrocarpa,TRUE,TRUE,Pleopeltis macrocarpa,1
Prosthechea fragrans,TRUE,TRUE,Prosthechea fragrans,1
Vittaria lineata,TRUE,TRUE,Vittaria lineata,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Microgramma squamulosa,TRUE,TRUE,Microgramma squamulosa,1
Billbergia magnifica,TRUE,TRUE,Billbergia magnifica,1
Leucotrichum schenckii,TRUE,TRUE,Leucotrichum schenckii,1
Peperomia rotundifolia,TRUE,TRUE,Peperomia rotundifolia,1
Peperomia rotundifolia,TRUE,TRUE,Peperomia rotundifolia,1
Aechmea ornata,TRUE,TRUE,Aechmea ornata,1
Encyclia patens,TRUE,TRUE,Encyclia patens,1
Epidendrum coronatum,TRUE,TRUE,Epidendrum coronatum,1
Aechmea fulgens,TRUE,TRUE,Aechmea fulgens,1
Philodendron fragrantissimum,TRUE,TRUE,Philodendron fragrantissimum,1
Vriesea gigantea,TRUE,TRUE,Vriesea gigantea,1
Epidendrum rigidum,TRUE,TRUE,Epidendrum rigidum,1
Vriesea friburgensis,TRUE,TRUE,Vriesea friburgensis,1
Aechmea distichantha,TRUE,TRUE,Aechmea distichantha,1
Aechmea recurvata,TRUE,TRUE,Aechmea recurvata,1
Peperomia catharinae,TRUE,TRUE,Peperomia catharinae,1
Pleopeltis hirsutissima,TRUE,TRUE,Pleopeltis hirsutissima,1
Stelis intermedia,TRUE,TRUE,Stelis intermedia,1
Vriesea flammea,TRUE,TRUE,Vriesea flammea,1
Rhipsalis pacheco-leonis,TRUE,TRUE,Rhipsalis pacheco-leonis,1
Nematanthus lanceolatus,TRUE,TRUE,Nematanthus lanceolatus,1
Pleopeltis pleopeltidis,TRUE,TRUE,Pleopeltis pleopeltidis,1
Vriesea platynema,TRUE,TRUE,Vriesea platynema,1
Peperomia catharinae,TRUE,TRUE,Peperomia catharinae,1
