original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Elaphoglossum rigidum,NA,NA,accepted,GBIF:8713668,elaphoglossum rigidum,species,accepted,GBIF:8713668,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Elaphoglossum,rigidum,NA,2651032,7289969,Urb. (Aubl.),stiff tonguefern
Gomesa longicornu,NA,NA,accepted,GBIF:5951155,gomesa longicornu,species,accepted,GBIF:5951155,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gomesa,longicornu,NA,2851004,5322234,M.W.Chase & N.H.Williams (Mutel),NA
Anthurium pentaphyllum,NA,NA,accepted,GBIF:2873047,anthurium pentaphyllum,species,accepted,GBIF:2873047,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,pentaphyllum,NA,2872218,NA,G.Don (Aubl.),miyaibo
Tillandsia loliacea,NA,NA,accepted,GBIF:2695286,tillandsia loliacea,species,accepted,GBIF:2695286,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,loliacea,NA,8279994,NA,Mart. ex Schult. & Schult.f.,cravo do mato
Pleopeltis hirsutissima,NA,NA,accepted,GBIF:4029985,pleopeltis hirsutissima,species,accepted,GBIF:4029985,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,hirsutissima,NA,2650485,NA,de la Sota (Raddi),NA
Aechmea distichantha,NA,NA,accepted,GBIF:2698018,aechmea distichantha,species,accepted,GBIF:2698018,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,distichantha,NA,2697812,NA,Lem.,NA
Tillandsia streptocarpa,NA,NA,accepted,GBIF:2695421,tillandsia streptocarpa,species,accepted,GBIF:2695421,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,streptocarpa,NA,8279994,NA,Baker,NA
Henicodium geniculatum,NA,NA,accepted,GBIF:2678149,henicodium geniculatum,species,accepted,GBIF:2678149,Plantae,Bryophyta,Bryopsida,Leucodontales,Pterobryaceae,Henicodium,geniculatum,NA,2678148,NA,"W.R.Buck, 1989",henicodium moss
Pleopeltis pleopeltidis,NA,NA,accepted,GBIF:4028814,pleopeltis pleopeltidis,species,accepted,GBIF:4028814,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,pleopeltidis,NA,2650485,NA,de la Sota (Fée),NA
Leptotes bicolor,NA,NA,accepted,GBIF:5310500,leptotes bicolor,species,accepted,GBIF:5310500,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Leptotes,bicolor,NA,2803252,NA,Lindl.,NA
Acianthera hygrophila,NA,NA,accepted,GBIF:2839428,acianthera hygrophila,species,accepted,GBIF:2839428,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,hygrophila,NA,7848554,NA,Pridgeon & M.W.Chase (Barb.Rodr.),NA
Hymenophyllum polyanthos,NA,NA,accepted,GBIF:8051570,hymenophyllum polyanthos,species,accepted,GBIF:8051570,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,polyanthos,NA,2651287,7944425,Sw. (Sw.),좀처녀이끼
Cattleya coccinea,NA,NA,accepted,GBIF:2811951,cattleya coccinea,species,accepted,GBIF:2811951,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,coccinea,NA,2800821,NA,Lindl.,NA
Cattleya coccinea,NA,NA,accepted,GBIF:2811951,cattleya coccinea,species,accepted,GBIF:2811951,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,coccinea,NA,2800821,NA,Lindl.,NA
Billbergia nutans,NA,NA,accepted,GBIF:2693788,billbergia nutans,species,accepted,GBIF:2693788,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,nutans,NA,2693699,NA,H.Wendl. ex Regel,queens tears
Epidendrum secundum,NA,NA,accepted,GBIF:5319755,epidendrum secundum,species,accepted,GBIF:5319755,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,secundum,NA,5297341,2830442,Jacq.,thicket star orchid
Aechmea burle-marxii,aechmea burle marxii,NA,accepted | wasMisspelled,GBIF:2698286,aechmea burle marxii,species,accepted,GBIF:2698286,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,burle-marxii,NA,2697812,2698287,E.Pereira,NA
Campyloneurum rigidum,NA,NA,accepted,GBIF:4024021,campyloneurum rigidum,species,accepted,GBIF:4024021,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Campyloneurum,rigidum,NA,7500358,NA,J.Sm.,NA
Serpocaulon catharinae,NA,NA,accepted,GBIF:4024085,serpocaulon catharinae,species,accepted,GBIF:4024085,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Serpocaulon,catharinae,NA,7126636,NA,A.R.Sm. (Langsd. & Fisch.),NA
Aechmea purpureorosea,NA,NA,accepted,GBIF:2698164,aechmea purpureorosea,species,accepted,GBIF:2698164,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,purpureorosea,NA,2697812,2698170,Wawra (Hook.),NA
Octomeria fibrifera,NA,NA,accepted,GBIF:2817094,octomeria fibrifera,species,accepted,GBIF:2817094,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Octomeria,fibrifera,NA,2816973,NA,Schltr.,NA
Philodendron fragrantissimum,NA,NA,accepted,GBIF:2870944,philodendron fragrantissimum,species,accepted,GBIF:2870944,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,fragrantissimum,NA,2861312,2870952,G.Don (Hook.),shortstem philodendron
Phlegmariurus fontinaloides,NA,NA,accepted,GBIF:8066544,phlegmariurus fontinaloides,species,accepted,GBIF:8066544,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Phlegmariurus,fontinaloides,NA,7641693,7286672,B.Øllg. (Spring),NA
Vriesea platynema,NA,NA,accepted,GBIF:5288935,vriesea platynema,species,accepted,GBIF:5288935,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,platynema,NA,2699764,NA,Gaudich.,NA
Billbergia nutans,NA,NA,accepted,GBIF:2693788,billbergia nutans,species,accepted,GBIF:2693788,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Billbergia,nutans,NA,2693699,NA,H.Wendl. ex Regel,queens tears
